x,y,ID,NAME,CATE,lat,long
482225,969810,25023336,평택서부문화예술회관,공연장,연극극장,126.92013313192462,36.99016073719403
482225,969805,1267253470,평택서부 문화예술회관 대공연장,공연장,연극극장,126.92013315076696,36.990142715533665
482184,969739,1968862135,평택서부 문화예술회관 소공연장,공연장,연극극장,126.91994917851565,36.98990470552818
525398,970110,21135309,평택남부문예회관,공연장,연극극장,127.11412019666493,36.99121405023388
525460,970044,21159134,평택남부문예회관 소공연장,공연장,연극극장,127.11439842293733,36.990975896458984
525390,970087,21159132,평택남부문예회관 대공연장,공연장,연극극장,127.11408412671699,36.99113118524548
525024,971366,990840159,뉴코아소극장 평택점,공연장,연극극장,127.11244637938631,36.99574268806583
525037,971315,24878892,투엘필름,공연장,연극극장,127.1125045245363,36.99555881212617
532652,970289,18397901,리베아트센터,공연장,연극극장,127.14671556579388,36.991823415280116
573202,975978,8002857,열린문화마당,공연장,연극극장,127.32900566107409,37.01196308439981
633502,971468,846468166,소극장 하다,공연장,연극극장,127.59988521496685,36.99464777338464
664725,972005,496711241,신니면게이트볼장 야외공연장,공연장,연극극장,127.74019347189761,36.995791244736616
690085,966952,1752934941,우륵세계음악집,공연장,연극극장,127.85393455527505,36.97681530306353
701737,970133,27562813,충주세계무술공원 메인무대,공연장,연극극장,127.90641000410565,36.987891256167885
701399,970597,27562824,충주세계무술공원 수련무대,공연장,연극극장,127.90491134275773,36.989575044332256
706500,970553,897796789,(사단)한국향토음악인협회,공연장,연극극장,127.92782615852494,36.98923955820309
559291,982553,12455417,태평무전수관,문화시설,127.26656628466392,37.03581804875096
568998,981447,19418281,안성남사당공연장,공연장,연극극장,127.31019121107327,37.031725674461555
568817,981370,26976584,안성마춤남사당놀이,공연,연극,127.30937638259938,37.03145027092864
568770,981611,1278756084,안성맞춤랜드 숲속공연장,관광지부속시설,127.30916861134972,37.03231944769963
514466,990799,8632953,평택북부문예회관,공연장,연극극장,127.06506332680831,37.06582067631786
514465,990808,1504391727,평택북부문예회관 소공연장,공연장,연극극장,127.06505885684246,37.065853117369294
514472,990804,1246760413,평택북부문예회관 대공연장,공연장,연극극장,127.06509032822437,37.06583868294908
515471,991262,23184054,부락산분수공원 야외공연장,공원시설물,127.06958500886937,37.067486895504686
539047,989269,8384631,산장휴게소 공연장,공연장,연극극장,127.17560757294099,37.06019397700626
579925,989075,17579995,동아방송예술대학교 야외공연장,공연장,연극극장,127.35944402204609,37.059080166786174
600449,988505,8579166,죽산용설공연장,공연장,연극극장,127.45173139416373,37.05671020811009
600506,988538,1657802180,극단서라벌,공연장,연극극장,127.4519884283273,37.056828169787416
594049,990806,17571330,두원공과대학교 노천극장,공연장,연극극장,127.42299659297974,37.065109561342105
647844,1005927,22704592,감곡야외공연장,공연장,연극극장,127.66541019750663,37.118496635305405
