"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"강원도 강릉시 강동면 모전리","3**","단독","8m미만","49.44","179","202104","12","1,620","1995","버당길",""
"강원도 강릉시 강동면 모전리","4**","단독","8m미만","158.95","615","202012","24","28,414","2017","범울재길",""
"강원도 강릉시 강동면 산성우리","3**","단독","8m미만","29.5","84","202108","26","3,000","1995","율곡로",""
"강원도 강릉시 강동면 산성우리","4*","단독","-","112.08","826","202106","2","17,000","null","null","20210608"
"강원도 강릉시 강동면 상시동리","1**","단독","8m미만","101.88","326","202010","21","11,500","2011","와천로",""
"강원도 강릉시 강동면 상시동리","3**","단독","8m미만","96.48","579","202105","15","17,000","1997","독송길",""
"강원도 강릉시 강동면 상시동리","1**","단독","8m미만","162.2","670","202012","16","25,528","2005","와천로",""
"강원도 강릉시 강동면 심곡리","1**","단독","12m미만","38.08","122","202107","14","10,000","1997","헌화로",""
"강원도 강릉시 강동면 심곡리","1**","단독","12m미만","52.74","350","202102","25","39,000","2002","헌화로",""
"강원도 강릉시 강동면 안인리","3**","단독","8m미만","99.1","521","202011","30","17,700","2012","원장봉길",""
"강원도 강릉시 강동면 안인진리","2**","단독","8m미만","65.4","387","202104","30","9,000","2014","율곡로",""
"강원도 강릉시 강동면 안인진리","2**","단독","8m미만","782.29","647","202107","26","125,000","2018","율곡로",""
"강원도 강릉시 강동면 언별리","1***","다가구","8m미만","97.85","572","202010","5","27,000","2014","단경로",""
"강원도 강릉시 강동면 언별리","7**","단독","8m미만","91.53","294","202107","14","17,000","1999","정감1길",""
"강원도 강릉시 강동면 언별리","1**","단독","12m미만","93.6","382","202102","5","14,400","2017","윗장작골길",""
"강원도 강릉시 강동면 언별리","6**","단독","8m미만","79.21","461","202106","10","12,000","2015","정감1길",""
"강원도 강릉시 강동면 임곡리","4**","단독","8m미만","78.88","598","202101","7","20,700","2012","임곡로",""
"강원도 강릉시 강동면 정동진리","2**","다가구","12m미만","200.59","298","202109","28","27,900","1997","헌화로",""
"강원도 강릉시 강동면 정동진리","4**","단독","8m미만","66","114","202104","19","1,300","2000","분소골길",""
"강원도 강릉시 강동면 정동진리","2**","단독","8m미만","78.16","241","202109","6","7,000","1981","정동3길",""
"강원도 강릉시 강동면 정동진리","2**","단독","8m미만","136.45","515","202011","30","25,000","1981","헌화로",""
"강원도 강릉시 강동면 정동진리","2**","단독","8m미만","136.45","515","202011","30","25,000","1999","헌화로",""
"강원도 강릉시 강동면 정동진리","5**","단독","25m미만","468.38","1421","202104","26","199,000","2018","율곡로",""
"강원도 강릉시 강동면 하시동리","4**","단독","8m미만","121.41","893","202105","3","24,000","1993","시동길",""
"강원도 강릉시 강문동","1**","단독","8m미만","31.93","136","202102","4","32,800","1925","창해로362번길",""
"강원도 강릉시 견소동","2**","단독","12m미만","77.67","133","202012","24","52,000","2009","창해로",""
