"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202010","15","17,500","8","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202010","22","15,000","7","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202010","27","16,800","12","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202011","5","16,500","6","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202011","6","13,000","13","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202011","6","13,200","4","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202011","12","13,500","8","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202011","17","16,500","9","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202011","17","12,900","8","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202011","21","16,000","11","1997","경강로2539번길 8","20210119"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202011","23","18,200","3","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202012","3","17,000","13","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202012","5","13,800","7","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202012","9","18,000","13","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","202012","11","10,000","13","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202012","11","12,800","3","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","202012","14","11,000","7","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202012","14","11,000","7","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202012","16","14,200","1","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202012","18","14,700","13","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","116.175","202101","14","22,300","3","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202101","15","15,700","11","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202101","19","17,700","15","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202101","19","18,250","12","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202101","19","17,400","11","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","43.38","202101","23","12,000","11","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","202101","27","10,800","15","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.93","202102","2","18,000","7","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202102","5","13,500","12","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202102","5","14,200","3","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202102","8","15,700","14","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202102","9","19,100","10","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202102","9","19,100","10","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","202102","25","9,200","8","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","202103","11","10,900","3","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202103","12","14,000","1","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202103","12","18,300","15","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","202103","13","10,450","9","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","43.38","202103","15","11,000","3","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202103","15","18,000","13","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","202103","17","10,500","3","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202103","21","13,900","7","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","43.38","202103","24","10,500","15","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.93","202103","27","17,500","13","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202103","27","14,700","14","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202104","3","14,700","10","1997","경강로2539번길 8",""
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202104","10","12,500","4","1997","경강로2539번길 8",""
