"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"경기도 가평군 가평읍 개곡리","3**","단독","8m미만","136.05","290","202010","15","12,000","2012","당목가일길",""
"경기도 가평군 가평읍 개곡리","7**","단독","8m미만","180.4","438","202101","15","22,000","1997","당목가일길",""
"경기도 가평군 가평읍 개곡리","7**","단독","8m미만","180.4","438","202102","19","22,000","1997","당목가일길",""
"경기도 가평군 가평읍 개곡리","1**","단독","8m미만","50.42","648","202102","27","8,815","1900","당목가일길","20210427"
"경기도 가평군 가평읍 개곡리","1**","단독","8m미만","50.42","648","202104","27","8,820","1900","당목가일길",""
"경기도 가평군 가평읍 경반리","5**","단독","8m미만","114.12","645","202012","29","25,900","2000","경반안로",""
"경기도 가평군 가평읍 경반리","5**","단독","8m미만","114.12","645","202012","29","26,000","2000","경반안로","20210215"
"경기도 가평군 가평읍 금대리","4*","다가구","8m미만","333.61","1726","202010","13","75,411","2003","북한강변로",""
"경기도 가평군 가평읍 금대리","3**","단독","12m미만","229.02","315","202105","3","106,000","2019","북한강변로",""
"경기도 가평군 가평읍 금대리","3**","단독","12m미만","229.6","337","202103","16","100,000","2019","null",""
"경기도 가평군 가평읍 금대리","3**","단독","12m미만","229.6","337","202103","23","100,000","2019","null",""
"경기도 가평군 가평읍 금대리","5**","단독","8m미만","199.08","396","202107","1","33,841","1998","북한강변로",""
"경기도 가평군 가평읍 금대리","5*","단독","8m미만","110.8","835","202105","18","27,000","2013","북한강변로",""
"경기도 가평군 가평읍 금대리","8*","단독","8m미만","628.02","898","202103","31","264,326","2008","북한강변로",""
"경기도 가평군 가평읍 달전리","6**","단독","8m미만","146.18","236.6","202011","27","44,000","2015","동연재로",""
"경기도 가평군 가평읍 달전리","3**","단독","12m미만","62.48","281","202102","15","25,720","1970","강산길",""
"경기도 가평군 가평읍 달전리","2**","단독","8m미만","154.76","424","202107","30","57,000","2021","동연재로",""
"경기도 가평군 가평읍 달전리","2**","단독","8m미만","162.12","439","202103","25","53,000","2021","동연재로",""
"경기도 가평군 가평읍 달전리","3**","단독","8m미만","68.6","483","202109","9","21,000","1980","달전로31번길","20210928"
"경기도 가평군 가평읍 달전리","3**","단독","8m미만","68.6","483","202109","9","21,000","1980","달전로31번길",""
"경기도 가평군 가평읍 대곡리","5**","단독","8m미만","39.1","202","202109","13","16,400","2018","석봉로3번길",""
"경기도 가평군 가평읍 대곡리","1**","단독","25m미만","81.66","202","202103","18","16,500","1978","비석거리길",""
"경기도 가평군 가평읍 대곡리","3**","단독","8m미만","107.82","372","202011","9","25,000","1980","석봉로",""
"경기도 가평군 가평읍 대곡리","2**","단독","8m미만","208.52","379","202101","4","26,000","1988","새말옛로",""
"경기도 가평군 가평읍 대곡리","3**","단독","8m미만","132.5","412","202109","20","64,000","2018","석봉로77번길",""
"경기도 가평군 가평읍 대곡리","5**","단독","8m미만","99.4","595","202010","19","32,010","2014","석봉로3번길",""
"경기도 가평군 가평읍 두밀리","*","다가구","8m미만","198.4","574","202010","7","37,367","2014","태봉두밀로",""
"경기도 가평군 가평읍 두밀리","1**","단독","8m미만","56.12","218","202107","1","13,000","2019","태봉두밀로406번길",""
"경기도 가평군 가평읍 두밀리","1**","단독","8m미만","56.42","277","202109","5","13,000","2014","태봉두밀로406번길",""
"경기도 가평군 가평읍 두밀리","1**","단독","8m미만","56.42","300","202108","28","14,600","2014","태봉두밀로406번길",""
"경기도 가평군 가평읍 두밀리","1**","단독","8m미만","56.42","300","202108","28","15,600","2014","태봉두밀로406번길","20211004"
"경기도 가평군 가평읍 두밀리","1**","단독","8m미만","45.92","318","202010","10","11,900","2014","태봉두밀로406번길",""
"경기도 가평군 가평읍 두밀리","1**","단독","8m미만","55.13","320","202107","31","10,300","2014","태봉두밀로406번길",""
"경기도 가평군 가평읍 두밀리","5**","단독","8m미만","98.43","330","202104","9","16,450","1999","태봉두밀로596번길",""
"경기도 가평군 가평읍 두밀리","1**","단독","8m미만","76.01","367","202104","15","17,615","2011","태봉두밀로406번길","20210531"
"경기도 가평군 가평읍 두밀리","1**","단독","8m미만","76.01","367","202105","31","17,615","2011","태봉두밀로406번길",""
"경기도 가평군 가평읍 두밀리","4*","단독","8m미만","54.94","396","202011","20","14,300","2016","태봉두밀로",""
"경기도 가평군 가평읍 두밀리","1**","단독","8m미만","138.19","422","202106","2","15,600","2003","태봉두밀로",""
"경기도 가평군 가평읍 두밀리","5**","단독","8m미만","181.96","721","202104","19","22,400","1997","태봉두밀로596번길",""
"경기도 가평군 가평읍 마장리","3**","단독","8m미만","47.55","352","202103","5","9,000","2009","물안산길",""
"경기도 가평군 가평읍 마장리","3**","단독","8m미만","47.55","352","202010","6","9,000","2009","물안산길","20210224"
"경기도 가평군 가평읍 마장리","8**","단독","8m미만","123.01","355","202102","26","29,600","2020","아랫마장길",""
"경기도 가평군 가평읍 마장리","6*","단독","8m미만","84.28","443","202107","14","27,200","2018","null",""
"경기도 가평군 가평읍 마장리","6**","단독","8m미만","67.3","454","202010","26","20,000","2015","아랫마장길",""
"경기도 가평군 가평읍 복장리","6**","단독","8m미만","77.25","258","202010","7","2,800","1989","상지로",""
"경기도 가평군 가평읍 복장리","6**","단독","8m미만","78.24","270","202105","7","9,000","1999","상지로",""
"경기도 가평군 가평읍 복장리","2**","단독","8m미만","66.6","327","202108","7","15,000","1996","복장포길",""
"경기도 가평군 가평읍 복장리","5**","단독","8m미만","125.35","496","202107","9","8,500","1999","학익동길",""
"경기도 가평군 가평읍 복장리","8*","단독","8m미만","98.5","636","202109","23","34,926","2007","호반로",""
"경기도 가평군 가평읍 복장리","3**","단독","8m미만","106.74","863","202103","13","22,000","2008","학익동길",""
"경기도 가평군 가평읍 복장리","2**","단독","8m미만","99.6","1470","202108","26","21,657","2012","상지로",""
"경기도 가평군 가평읍 상색리","6*","단독","8m미만","154.68","396","202011","5","16,598","2000","연갈길",""
"경기도 가평군 가평읍 상색리","3**","단독","8m미만","60.7","651","202109","3","25,000","1985","경춘로",""
"경기도 가평군 가평읍 승안리","1*","단독","8m미만","26.1","87","202106","10","3,900","1970","계량촌길",""
"경기도 가평군 가평읍 승안리","1*","단독","8m미만","69.5","194","202105","1","10,800","1980","계량촌길",""
"경기도 가평군 가평읍 승안리","6*","단독","12m미만","107.35","295","202107","27","13,500","1954","용추로",""
"경기도 가평군 가평읍 승안리","6**","단독","8m미만","136.03","422","202108","23","27,700","2017","용추로",""
"경기도 가평군 가평읍 승안리","2*","단독","8m미만","94.14","485","202102","20","19,300","1981","계량촌길",""
"경기도 가평군 가평읍 읍내리","5**","단독","8m미만","74.01","198","202101","11","23,000","1990","향교로27번길",""
"경기도 가평군 가평읍 읍내리","3**","단독","12m미만","62.23","213","202108","6","10,538","1982","자라목2길",""
"경기도 가평군 가평읍 읍내리","3**","단독","8m미만","37.83","229","202109","17","14,000","1900","null",""
"경기도 가평군 가평읍 읍내리","7**","단독","12m미만","99.95","335","202106","15","47,000","2021","석봉로239번길",""
"경기도 가평군 가평읍 하색리","7**","다가구","12m미만","182.6","682","202103","13","52,000","2014","태봉두밀로",""
"경기도 가평군 가평읍 하색리","7**","다가구","8m미만","421.02","1465","202104","30","109,000","2014","태봉두밀로",""
"경기도 가평군 가평읍 하색리","3*","단독","8m미만","61.82","232","202012","15","3,500","1980","경춘로",""
"경기도 가평군 가평읍 하색리","6**","단독","8m미만","79","399","202106","1","18,600","2020","태봉안길",""
"경기도 가평군 가평읍 하색리","6**","단독","8m미만","211.94","495","202104","13","31,000","2016","태봉안길",""
"경기도 가평군 가평읍 하색리","6**","단독","8m미만","211.94","495","202104","13","40,000","2016","태봉안길","20210416"
"경기도 가평군 가평읍 하색리","4**","단독","8m미만","88.95","501","202104","18","15,200","1990","태봉안길",""
"경기도 가평군 가평읍 하색리","7**","단독","8m미만","199.82","558","202103","13","51,600","2014","태봉두밀로",""
"경기도 가평군 북면 도대리","3**","다가구","8m미만","148.49","283","202108","31","43,664","2017","가화로",""
"경기도 가평군 북면 도대리","3**","다가구","8m미만","149.43","294","202103","3","49,489","2017","가화로",""
"경기도 가평군 북면 도대리","3**","다가구","8m미만","148.27","299","202103","3","50,000","2017","가화로",""
"경기도 가평군 북면 도대리","3**","다가구","8m미만","148.49","338","202108","31","44,834","2017","가화로",""
"경기도 가평군 북면 도대리","3**","단독","8m미만","99.78","367","202012","29","23,000","2004","오동골길",""
"경기도 가평군 북면 도대리","3**","단독","8m미만","90.54","443","202010","30","22,739","2016","가화로",""
"경기도 가평군 북면 도대리","3**","단독","8m미만","105.76","449","202011","2","15,479","2009","가화로",""
"경기도 가평군 북면 도대리","4**","단독","8m미만","99.8","524","202012","12","20,970","2017","가화로",""
"경기도 가평군 북면 도대리","3**","단독","8m미만","126.69","637","202108","9","37,500","2007","오동골길",""
"경기도 가평군 북면 도대리","1**","단독","8m미만","49.9","655","202105","15","15,000","1900","오목골길","20210902"
"경기도 가평군 북면 도대리","1**","단독","8m미만","145.6","755","202104","15","28,000","2014","오목골길",""
"경기도 가평군 북면 도대리","3**","단독","8m미만","195.94","979","202103","31","37,900","2004","오동골길",""
"경기도 가평군 북면 목동리","8**","단독","8m미만","42","242","202107","8","6,600","1900","목동복지로10번길",""
"경기도 가평군 북면 목동리","3**","단독","-","81.1","312.67","202011","23","6,300","2020","멱골로",""
"경기도 가평군 북면 목동리","7**","단독","8m미만","38.01","324","202102","19","9,600","1900","가화로",""
"경기도 가평군 북면 목동리","7**","단독","8m미만","45.21","357","202010","13","6,000","1900","보안벚꽃길",""
"경기도 가평군 북면 목동리","4**","단독","8m미만","73.78","396","202103","4","15,600","1997","싸리재길",""
"경기도 가평군 북면 목동리","6**","단독","12m미만","98.73","575","202011","30","23,000","2017","null",""
"경기도 가평군 북면 목동리","3**","단독","8m미만","91.88","806","202109","13","24,000","2013","멱골로",""
"경기도 가평군 북면 목동리","2**","단독","8m미만","194","1408","202010","15","62,200","2014","멱골로272번길",""
"경기도 가평군 북면 백둔리","4**","단독","8m미만","135.02","251","202108","25","16,000","2010","백둔로560번길",""
"경기도 가평군 북면 백둔리","4**","단독","8m미만","22.95","278","202108","25","5,000","2010","백둔로560번길",""
"경기도 가평군 북면 백둔리","1*","단독","12m미만","172.6","328","202107","30","29,500","2002","백둔로",""
"경기도 가평군 북면 백둔리","2**","단독","8m미만","82.7","346","202012","29","9,920","2017","백둔로342번길",""
"경기도 가평군 북면 백둔리","4**","단독","8m미만","84.65","380","202106","1","8,450","2010","백둔로560번길",""
"경기도 가평군 북면 백둔리","4**","단독","8m미만","84.65","380","202010","15","8,050","2010","백둔로560번길",""
"경기도 가평군 북면 백둔리","4**","단독","8m미만","101.56","553","202104","14","17,300","1996","백둔로560번길",""
"경기도 가평군 북면 백둔리","4**","단독","8m미만","101.56","553","202103","22","17,300","1996","백둔로560번길",""
"경기도 가평군 북면 백둔리","7**","단독","8m미만","156.17","570","202104","5","23,850","2002","백둔로650번길",""
"경기도 가평군 북면 백둔리","6**","단독","8m미만","138.69","660","202103","24","8,500","1996","백둔로",""
"경기도 가평군 북면 백둔리","7**","단독","8m미만","166.68","702","202010","19","76,000","2005","백둔로650번길",""
"경기도 가평군 북면 백둔리","4**","단독","8m미만","132.66","778","202106","3","48,955","2005","백둔로",""
"경기도 가평군 북면 소법리","5*","단독","8m미만","97.1","208","202108","13","7,500","1900","화악산로356번길",""
"경기도 가평군 북면 소법리","4**","단독","8m미만","97.74","605","202101","29","19,000","1996","손일로",""
"경기도 가평군 북면 이곡리","5**","단독","8m미만","192.75","439","202101","4","16,450","1999","동기안길",""
"경기도 가평군 북면 이곡리","1*","단독","8m미만","111.63","537","202102","1","25,000","2017","이곡둑길",""
"경기도 가평군 북면 이곡리","*","단독","8m미만","114.69","556","202105","3","16,000","2012","석장모루길5번길",""
"경기도 가평군 북면 이곡리","1*","단독","8m미만","89.24","2264","202103","9","33,700","1974","이곡둑길","20210427"
"경기도 가평군 북면 이곡리","1*","단독","8m미만","89.24","2605","202103","9","44,000","1974","이곡둑길",""
