"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","4","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","37.2","202109","30","9,800","4","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","52.55","202109","30","13,900","5","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","52.55","202109","30","13,900","5","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","51.78","202109","30","13,700","5","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","5","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","5","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","5","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","52.55","202109","30","13,900","8","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","51.78","202109","30","13,700","7","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","37.2","202109","30","9,800","7","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","37.2","202109","30","9,800","10","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","9","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","9","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","9","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","52.55","202109","30","13,900","9","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","51.78","202109","30","13,700","8","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","8","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","8","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","8","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","52.55","202109","30","13,900","8","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","37.2","202109","30","9,800","8","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","52.55","202109","30","13,900","9","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","51.78","202109","30","13,700","9","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","37.2","202109","30","9,800","9","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","52.55","202109","30","13,900","10","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","10","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","10","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","10","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","52.55","202109","30","13,900","10","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","51.78","202109","30","13,700","10","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","4","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","26.57","202109","30","7,900","4","2019","조종새싹로 6",""
"경기도 가평군 조종면 현리","273-14","273","14","(273-14)","52.55","202109","30","13,900","3","2019","조종새싹로 6",""
