"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"경상남도 거제시 거제면 남동리","2*","단독","12m미만","59.5","71","202109","28","3,800","1960","읍내로7길",""
"경상남도 거제시 거제면 남동리","1**","단독","8m미만","29.75","119","202011","13","5,700","1965","읍내로7안길",""
"경상남도 거제시 거제면 내간리","7**","단독","8m미만","39.67","231","202012","6","6,800","1935","송곡1길",""
"경상남도 거제시 거제면 내간리","3**","단독","8m미만","52.9","255","202102","1","4,600","1964","내간2길",""
"경상남도 거제시 거제면 내간리","1**","단독","8m미만","39.67","277","202104","25","10,350","1975","내간2길",""
"경상남도 거제시 거제면 내간리","9**","단독","8m미만","87","298","202107","2","2,000","1997","송곡1길",""
"경상남도 거제시 거제면 내간리","6**","단독","8m미만","202.61","391","202011","22","17,500","2011","내간2길",""
"경상남도 거제시 거제면 내간리","3**","단독","8m미만","123.18","583","202109","16","38,350","2018","내간2길",""
"경상남도 거제시 거제면 내간리","8**","단독","8m미만","149.62","618","202105","14","20,000","2009","송곡1길",""
"경상남도 거제시 거제면 내간리","3**","단독","8m미만","131.42","650","202101","5","19,000","2013","내간1길",""
"경상남도 거제시 거제면 명진리","5**","단독","8m미만","88.23","271","202103","30","9,800","2014","명진4길",""
"경상남도 거제시 거제면 명진리","6**","단독","8m미만","79.34","673","202106","20","21,500","1995","동상명진길",""
"경상남도 거제시 거제면 법동리","6**","단독","8m미만","46.2","154","202012","21","5,000","2020","고당1길",""
"경상남도 거제시 거제면 법동리","2**","단독","8m미만","46.28","261","202103","19","6,950","1939","산달1길",""
"경상남도 거제시 거제면 법동리","9**","단독","8m미만","49.26","270","202012","21","8,700","1965","법동2길",""
"경상남도 거제시 거제면 법동리","4**","단독","12m미만","198.47","638","202107","15","15,500","2009","법동어구로",""
"경상남도 거제시 거제면 서상리","1**","단독","8m미만","124.14","715","202107","22","33,000","2016","동상3길",""
"경상남도 거제시 거제면 서정리","7**","다가구","8m미만","221.74","134","202010","13","14,750","2011","읍내로13길",""
"경상남도 거제시 거제면 서정리","1**","다가구","8m미만","213.52","506","202106","12","29,000","2009","서정1길",""
"경상남도 거제시 거제면 서정리","1**","다가구","8m미만","213.52","506","202106","12","29,000","2009","서정1길","20210701"
"경상남도 거제시 거제면 서정리","7**","단독","12m미만","72.73","224.6","202012","12","19,300","1930","읍내로",""
"경상남도 거제시 거제면 서정리","1**","단독","8m미만","197.16","652","202104","9","54,200","2014","서정1길",""
"경상남도 거제시 거제면 소랑리","3**","단독","8m미만","56.19","152","202106","15","3,000","1940","소랑1길",""
"경상남도 거제시 거제면 소랑리","3**","단독","8m미만","56.2","251","202106","18","6,100","2020","소랑1길",""
"경상남도 거제시 거제면 오수리","9**","단독","8m미만","56.2","91","202106","24","3,900","1981","죽림1길",""
"경상남도 거제시 거제면 오수리","9**","단독","8m미만","56.93","165","202107","14","5,000","2017","죽림1길",""
"경상남도 거제시 거제면 오수리","9**","단독","8m미만","69.42","198","202107","31","7,000","1972","죽림1길",""
"경상남도 거제시 거제면 오수리","6**","단독","8m미만","184.79","489","202012","29","34,130","2018","오수2길",""
"경상남도 거제시 거제면 옥산리","6**","단독","8m미만","103.62","118","202104","26","13,900","1994","화원1길",""
"경상남도 거제시 거제면 옥산리","1**","단독","8m미만","69.42","235","202103","13","6,300","1955","서정옥산길",""
"경상남도 거제시 거제면 옥산리","6**","단독","8m미만","36.36","255","202105","8","11,440","1950","서정옥산길",""
"경상남도 거제시 거제면 옥산리","5**","단독","8m미만","62.8","315","202011","20","11,000","1991","화원2길",""
"경상남도 거제시 거제면 옥산리","1**","단독","8m미만","150.9","327","202104","28","19,500","2012","서정옥산길",""
"경상남도 거제시 거제면 옥산리","3**","단독","8m미만","79.62","339","202104","8","19,000","2015","읍내로",""
"경상남도 거제시 거제면 옥산리","1**","단독","8m미만","88.87","450","202105","11","21,700","1996","동림길",""
"경상남도 거제시 거제면 옥산리","9**","단독","12m미만","192.35","642","202109","27","45,000","2017","외간옥산1길",""
"경상남도 거제시 거제면 옥산리","9**","단독","12m미만","129.51","669","202101","23","33,000","2017","외간옥산1길",""
"경상남도 거제시 거제면 외간리","4**","단독","8m미만","42.98","228","202106","4","5,480","1935","외간1길",""
"경상남도 거제시 거제면 외간리","5**","단독","8m미만","118.13","246","202010","3","22,930","2019","외간1길",""
"경상남도 거제시 거제면 외간리","5**","단독","8m미만","92.62","258","202107","9","23,900","2019","외간1길",""
"경상남도 거제시 거제면 외간리","5**","단독","8m미만","54.53","268","202103","19","18,000","2019","외간1길",""
"경상남도 거제시 거제면 외간리","5**","단독","8m미만","118.13","314","202103","30","24,000","2019","외간1길",""
"경상남도 거제시 거제면 외간리","4**","단독","8m미만","33.06","317","202105","31","11,500","1935","외간1길",""
"경상남도 거제시 거제면 외간리","9*","단독","8m미만","42.98","334","202106","4","8,020","1978","null",""
"경상남도 거제시 거제면 외간리","5**","단독","8m미만","202.6","1076","202106","23","53,000","2019","외간1길",""
"경상남도 거제시 고현동","4**","다가구","8m미만","415.95","239","202108","20","78,600","2010","계룡로10길",""
"경상남도 거제시 고현동","1**","다가구","8m미만","495.48","280","202104","30","37,000","2003","동문천로",""
"경상남도 거제시 고현동","1***","다가구","8m미만","642.61","324.2","202107","3","64,000","2014","계룡로9길",""
"경상남도 거제시 고현동","1***","다가구","8m미만","697.07","329","202105","4","65,500","2014","계룡로9길",""
"경상남도 거제시 고현동","1***","다가구","8m미만","697.15","329","202104","27","65,500","2014","계룡로9길",""
"경상남도 거제시 고현동","1***","다가구","8m미만","697.37","329.1","202104","27","65,500","2014","계룡로9길",""
"경상남도 거제시 고현동","1***","다가구","8m미만","697.45","329.1","202104","27","65,500","2014","계룡로9길",""
"경상남도 거제시 고현동","1**","다가구","25m미만","647.95","371","202105","31","92,000","2012","동문천로",""
"경상남도 거제시 고현동","7**","단독","12m미만","126","126","202103","18","20,000","1986","고현로4길",""
"경상남도 거제시 고현동","6**","단독","8m미만","154.74","139","202103","1","27,000","1993","거제중앙로15길",""
"경상남도 거제시 고현동","7**","단독","8m미만","74.54","148","202101","18","16,000","1983","거제중앙로13길",""
"경상남도 거제시 고현동","2**","단독","8m미만","81.9","152","202012","7","12,000","1979","동문1길",""
"경상남도 거제시 고현동","7**","단독","8m미만","74.54","154","202011","9","11,000","1983","거제중앙로13길",""
"경상남도 거제시 고현동","6**","단독","8m미만","138.03","239","202102","19","30,000","1981","고현로2길",""
"경상남도 거제시 고현동","7**","단독","12m미만","73.55","264","202106","23","23,000","1983","고현로",""
"경상남도 거제시 남부면 갈곶리","7*","다가구","8m미만","471.09","185","202105","10","46,700","2004","해금강3길",""
"경상남도 거제시 남부면 갈곶리","3**","다가구","8m미만","231.41","509.8","202011","9","42,000","2006","도장포2길",""
"경상남도 거제시 남부면 갈곶리","1**","단독","8m미만","56","106","202103","3","2,700","1974","해금강2길",""
"경상남도 거제시 남부면 갈곶리","2**","단독","8m미만","138.26","188.2","202102","6","19,250","1995","도장포2길",""
"경상남도 거제시 남부면 갈곶리","3**","단독","8m미만","69","261","202107","15","50,000","2014","함목길",""
"경상남도 거제시 남부면 갈곶리","3**","단독","8m미만","199.45","778","202103","8","118,570","1994","해금강로",""
"경상남도 거제시 남부면 다대리","3**","다가구","8m미만","317.37","228","202010","22","22,500","2017","다대7길",""
"경상남도 거제시 남부면 다대리","3**","다가구","8m미만","337.11","235","202010","22","46,500","2017","다대7길",""
"경상남도 거제시 남부면 다대리","1**","단독","8m미만","65","227","202102","2","6,000","1970","다대4길",""
"경상남도 거제시 남부면 다포리","1**","단독","12m미만","123","157.1","202103","19","7,000","1973","거제남서로",""
"경상남도 거제시 남부면 다포리","2**","단독","8m미만","81.42","176","202108","10","10,000","1989","다포3길",""
"경상남도 거제시 남부면 다포리","2**","단독","8m미만","49.4","188.2","202102","16","9,500","1979","다포3길",""
"경상남도 거제시 남부면 다포리","2**","단독","12m미만","40","197.3","202011","21","9,500","1955","다포4길",""
"경상남도 거제시 남부면 다포리","3*","단독","8m미만","276.4","425","202106","24","23,362","1995","거제남서로",""
"경상남도 거제시 남부면 저구리","3**","다가구","8m미만","314","216","202104","8","41,000","2004","명사길",""
"경상남도 거제시 남부면 저구리","6**","다가구","8m미만","447.93","302","202108","26","85,000","2009","대포길",""
"경상남도 거제시 남부면 저구리","6**","다가구","8m미만","353.02","1398","202103","18","125,000","2016","대포길",""
"경상남도 거제시 남부면 저구리","6**","단독","8m미만","67","144","202104","10","16,000","1969","대포길",""
"경상남도 거제시 남부면 저구리","1*","단독","8m미만","128.51","144","202010","17","6,700","1954","저구1길",""
"경상남도 거제시 남부면 저구리","2**","단독","8m미만","50","176","202105","21","11,200","1988","명사1길",""
"경상남도 거제시 남부면 저구리","2**","단독","8m미만","85.07","281","202103","12","17,000","1955","명사1길",""
"경상남도 거제시 남부면 저구리","1**","단독","8m미만","133.15","415","202103","4","10,000","1998","남부해안로",""
