"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경상남도 거제시 거제면 동상리","633-5","0633","0005","동백","45.36","42.65","202105","7","5,200","2","1988","동상명진길 13-3",""
"경상남도 거제시 거제면 서정리","737","0737","0000","흥진주택","53.88","66.25","202012","2","5,150","3","1987","읍내로13길 33-2",""
"경상남도 거제시 거제면 오수리","627-1","0627","0001","그린빌","73.17","89.37","202109","9","12,000","3","2013","오수2길 36",""
"경상남도 거제시 고현동","822-19","0822","0019","계룡(A)","52.94","42","202109","15","4,450","4","1983","고현로 85-2",""
"경상남도 거제시 고현동","822-18","0822","0018","계룡(B)","38.23","37","202105","27","4,000","4","1983","고현로 85-2",""
"경상남도 거제시 고현동","822-18","0822","0018","계룡(B)","49.95","46","202108","23","5,000","2","1983","고현로 85-2","20211012"
"경상남도 거제시 고현동","545-11","0545","0011","계룡리더스빌","193.7435","346.78","202104","4","37,500","1","2008","계룡로11길 17-36",""
"경상남도 거제시 고현동","545-11","0545","0011","계룡리더스빌","193.7435","346.78","202106","29","35,500","1","2008","계룡로11길 17-36",""
"경상남도 거제시 고현동","545-11","0545","0011","계룡리더스빌","193.7435","346.78","202107","27","37,000","4","2008","계룡로11길 17-36",""
"경상남도 거제시 고현동","961-115","0961","0115","고려빌라","65.88","86.9","202012","28","10,050","3","1985","서문로6길 16",""
"경상남도 거제시 고현동","744","0744","0000","고현파크빌라","62.52","45.27","202106","17","8,300","1","1995","거제중앙로19길 21",""
"경상남도 거제시 고현동","427","0427","0000","국민주택(1동)","47.61","78.28","202101","11","5,000","1","1984","거제중앙로8길 9",""
"경상남도 거제시 고현동","427","0427","0000","국민주택(1동)","47.61","78.28","202101","20","5,700","3","1984","거제중앙로8길 9",""
"경상남도 거제시 고현동","427","0427","0000","국민주택(1동)","47.61","78.28","202109","27","6,000","3","1984","거제중앙로8길 9",""
"경상남도 거제시 고현동","756-5","0756","0005","대일(1)","34.92","37.58","202012","3","3,000","3","1982","고현로4길 5",""
"경상남도 거제시 고현동","756-5","0756","0005","대일(1)","34.92","37.58","202012","5","5,000","2","1982","고현로4길 5",""
"경상남도 거제시 고현동","756-5","0756","0005","대일(1)","34.92","37.62","202012","5","5,000","1","1982","고현로4길 5",""
"경상남도 거제시 고현동","748-1","0748","0001","덕산(가)","59.76","53.05","202102","18","5,750","1","1983","거제중앙로19길 29",""
"경상남도 거제시 고현동","748-1","0748","0001","덕산(가)","59.76","53.05","202107","26","7,500","1","1983","거제중앙로19길 29",""
"경상남도 거제시 고현동","261","0261","0000","방주빌라(2차)","97.38","66.58","202105","17","10,000","3","1997","거제중앙로12길 12-1",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","76.57","136.9","202010","15","10,100","1","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","84.92","150.54","202011","17","12,500","4","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","59.92","109.7","202011","30","8,100","3","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","84.92","150.54","202011","30","12,600","2","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","76.57","136.9","202012","8","11,500","2","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","84.92","150.54","202101","16","13,000","2","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","84.92","150.54","202102","23","15,500","1","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","59.92","109.7","202103","6","11,700","3","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","59.92","109.7","202103","9","8,500","2","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","76.57","136.9","202103","11","11,500","1","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","59.92","109.7","202103","11","10,000","3","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","84.92","150.54","202103","24","13,500","4","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","59.92","109.7","202104","9","9,000","3","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","84.92","150.54","202108","6","14,900","3","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","59.92","109.7","202108","27","10,400","3","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","987-10","0987","0010","세림주택","80.37","48.24","202012","22","8,400","4","2002","중곡1로 90-1",""
"경상남도 거제시 고현동","987-10","0987","0010","세림주택","47.7","31.19","202012","22","4,800","3","2002","중곡1로 90-1",""
"경상남도 거제시 고현동","987-10","0987","0010","세림주택","47.7","31.19","202012","22","4,800","3","2002","중곡1로 90-1",""
"경상남도 거제시 고현동","987-10","0987","0010","세림주택","27.54","18","202012","22","3,600","3","2002","중곡1로 90-1",""
"경상남도 거제시 고현동","987-10","0987","0010","세림주택","47.7","31.19","202012","22","4,800","3","2002","중곡1로 90-1",""
"경상남도 거제시 고현동","987-10","0987","0010","세림주택","47.7","31.19","202012","22","4,800","3","2002","중곡1로 90-1",""
"경상남도 거제시 고현동","1085","1085","0000","신원아침도시헤리티지(201동)","114.79","93.19","202103","15","34,500","5","2014","계룡로9길 21-5",""
"경상남도 거제시 고현동","1086","1086","0000","신원아침도시헤리티지(202동)","128.36","101.31","202109","28","38,300","5","2014","계룡로9길 21-4",""
"경상남도 거제시 고현동","1086","1086","0000","신원아침도시헤리티지(202동)","128.36","101.31","202109","28","38,300","5","2014","계룡로9길 21-4","20211029"
"경상남도 거제시 고현동","1087","1087","0000","신원아침도시헤리티지(203동)","93.1","79.53","202101","13","26,000","4","2014","계룡로9길 21-3",""
"경상남도 거제시 고현동","1087","1087","0000","신원아침도시헤리티지(203동)","93.1","79.53","202102","6","26,500","4","2014","계룡로9길 21-3",""
"경상남도 거제시 고현동","134-1","0134","0001","신현맨션(나)","63.51","52","202010","12","7,600","3","1984","고현로4길 40",""
"경상남도 거제시 고현동","826-10","0826","0010","연합빌라(2)","75.48","54.13","202011","23","9,500","1","1996","고현로 73-8",""
"경상남도 거제시 고현동","835-2","0835","0002","연합빌라(A,B)","77.13","59.7","202011","7","10,500","2","1998","고현로 73-8",""
"경상남도 거제시 고현동","826-5","0826","0005","연합빌라(가,나)","92.43","69.58","202108","23","12,500","3","1996","고현로 73-8",""
"경상남도 거제시 고현동","161-11","0161","0011","오복아트빌라","50.35","44","202103","31","6,000","1","1999","거제중앙로13길 39",""
"경상남도 거제시 고현동","159-13","0159","0013","유경베스트빌라","100.59","44.46","202104","6","13,000","3","2000","고현로2길 51",""
"경상남도 거제시 고현동","695-2","0695","0002","정우하이츠빌라","84.3","60.96","202108","18","8,800","4","2003","고현로2길 38",""
"경상남도 거제시 남부면 갈곶리","98-9","0098","0009","(98-9)","41.62","52.67","202012","20","6,300","3","2016","해금강로 267-2",""
"경상남도 거제시 남부면 갈곶리","98-9","0098","0009","(98-9)","41.62","52.67","202012","20","6,300","3","2016","해금강로 267-2",""
"경상남도 거제시 능포동","220-1","0220","0001","능포국민주택","56.52","41","202012","24","4,300","2","1985","능포로4길 20-7",""
