"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경상남도 거제시 고현동","978-10","978","10","고현동 주상복합","28.75","202010","9","6,500","15","2012","거제중앙로 1930-10",""
"경상남도 거제시 고현동","978-10","978","10","고현동 주상복합","34.75","202011","12","9,000","9","2012","거제중앙로 1930-10",""
"경상남도 거제시 고현동","978-10","978","10","고현동 주상복합","30.52","202012","15","6,513","6","2012","거제중앙로 1930-10",""
"경상남도 거제시 고현동","113-1","113","1","나인스카이시티","30.33","202108","12","3,300","10","2005","거제중앙로17길 10",""
"경상남도 거제시 고현동","630","630","0","동안오피스텔","39.06","202011","27","3,500","3","2000","거제중앙로15길 31-6",""
"경상남도 거제시 고현동","630","630","0","동안오피스텔","39.06","202012","25","4,000","4","2000","거제중앙로15길 31-6",""
"경상남도 거제시 고현동","81-3","81","3","영진오피스텔","32.58","202105","13","2,550","5","2000","거제중앙로16길 17",""
"경상남도 거제시 고현동","29-16","29","16","우리빌딩","38","202108","20","3,350","7","2003","고현천로 38",""
"경상남도 거제시 고현동","692","692","0","진성마인빌","36.56","202107","21","3,300","1","2003","고현로4길 23",""
"경상남도 거제시 고현동","159-1","159","1","휴엔하임오피스텔","24.89","202101","25","5,000","7","2015"," ",""
"경상남도 거제시 고현동","159-1","159","1","휴엔하임오피스텔","24.89","202102","22","5,200","12","2015"," ",""
"경상남도 거제시 고현동","159-1","159","1","휴엔하임오피스텔","76.08","202103","24","9,836","3","2015"," ",""
"경상남도 거제시 고현동","159-1","159","1","휴엔하임오피스텔","76.08","202105","11","11,500","11","2015"," ",""
"경상남도 거제시 고현동","159-1","159","1","휴엔하임오피스텔","24.89","202106","3","5,500","3","2015"," ",""
"경상남도 거제시 고현동","159-1","159","1","휴엔하임오피스텔","24.89","202107","17","5,300","10","2015"," ",""
"경상남도 거제시 상동동","476-15","476","15","유경아이파크텔","25.62","202101","9","1,900","2","2001","계룡로 54",""
"경상남도 거제시 상동동","476-15","476","15","유경아이파크텔","25.62","202109","9","2,600","2","2001","계룡로 54",""
"경상남도 거제시 아주동","1341-1","1341","1","아주팰리스","41.61","202105","3","5,000","2","2017","아주1로 105-5",""
"경상남도 거제시 아주동","397","397","0","휴먼오피스텔","23.74","202010","12","2,000","4","2003","아주로1길 19",""
"경상남도 거제시 아주동","397","397","0","휴먼오피스텔","74.67","202101","27","3,800","5","2003","아주로1길 19",""
"경상남도 거제시 아주동","397","397","0","휴먼오피스텔","23.74","202105","3","1,500","4","2003","아주로1길 19",""
"경상남도 거제시 아주동","397","397","0","휴먼오피스텔","21.06","202108","24","1,650","2","2003","아주로1길 19",""
"경상남도 거제시 아주동","397","397","0","휴먼오피스텔","21.06","202108","24","1,650","4","2003","아주로1길 19",""
"경상남도 거제시 아주동","397","397","0","휴먼오피스텔","21.06","202108","24","1,650","4","2003","아주로1길 19",""
"경상남도 거제시 아주동","397","397","0","휴먼오피스텔","27.54","202108","24","1,650","3","2003","아주로1길 19",""
"경상남도 거제시 아주동","397","397","0","휴먼오피스텔","21.06","202108","24","1,650","2","2003","아주로1길 19",""
"경상남도 거제시 연초면 오비리","1166-14","1166","14","	(1166-14)	","27.53","202109","27","2,300","5","2003","소오비길 45",""
"경상남도 거제시 연초면 죽토리","327","327","0","신우희가로","69.3","202010","19","7,200","10","2006","죽토로 2",""
"경상남도 거제시 연초면 죽토리","327","327","0","신우희가로","70.23","202107","30","9,500","8","2006","죽토로 2",""
"경상남도 거제시 옥포동","553-33","553","33","C.S BeverlyHills3","89.09","202012","8","7,600","4","2005","옥포성안로 27",""
"경상남도 거제시 옥포동","556-11","556","11","미진 타워 펠리스","62","202101","19","6,600","13","2006","거제대로 3696",""
"경상남도 거제시 옥포동","556-11","556","11","미진 타워 펠리스","62","202102","23","6,600","10","2006","거제대로 3696",""
"경상남도 거제시 옥포동","556-11","556","11","미진 타워 펠리스","62","202103","22","6,600","8","2006","거제대로 3696",""
"경상남도 거제시 옥포동","556-11","556","11","미진 타워 펠리스","62","202103","26","6,600","7","2006","거제대로 3696",""
"경상남도 거제시 옥포동","556-11","556","11","미진 타워 펠리스","62","202104","9","6,600","17","2006","거제대로 3696",""
"경상남도 거제시 옥포동","556-11","556","11","미진 타워 펠리스","62","202104","29","6,600","6","2006","거제대로 3696",""
"경상남도 거제시 옥포동","556-11","556","11","미진 타워 펠리스","62","202104","29","6,600","5","2006","거제대로 3696",""
"경상남도 거제시 옥포동","556-11","556","11","미진 타워 펠리스","55.99","202107","28","6,000","18","2006","거제대로 3696",""
"경상남도 거제시 옥포동","556-11","556","11","미진 타워 펠리스","62","202108","5","6,500","4","2006","거제대로 3696",""
"경상남도 거제시 옥포동","529-14","529","14","보광 SANCTUARY 3차","82.45","202101","29","22,500","4","2016","옥포대첩로 17",""
"경상남도 거제시 옥포동","529-14","529","14","보광 SANCTUARY 3차","82.45","202107","7","17,000","13","2016","옥포대첩로 17",""
"경상남도 거제시 옥포동","529-13","529","13","보광센츄어리2","84.07","202104","26","13,200","9","2015","옥포대첩로 19",""
"경상남도 거제시 옥포동","529-13","529","13","보광센츄어리2","84.07","202106","7","13,700","12","2015","옥포대첩로 19",""
"경상남도 거제시 옥포동","546-15","546","15","성평리빙타운","30.26","202109","14","2,000","1","1999","거제대로 3740",""
"경상남도 거제시 옥포동","529-9","529","9","에이원오피스텔","42.16","202102","27","8,600","2","2015","옥포대첩로 25",""
"경상남도 거제시 옥포동","536-1","536","1","월드빌라Ⅱ","50.68","202011","2","5,500","7","2005","옥포대첩로2길 1",""
"경상남도 거제시 옥포동","551-9","551","9","이던필하우스","43.7","202107","20","6,000","3","2013","옥포대첩로2길 64",""
"경상남도 거제시 장승포동","342-1","342","1","	(342-1)	","40.61","202106","11","3,900","6","2009","신부로 42-14",""
"경상남도 거제시 장승포동","607-21","607","21","한일오피스텔","35.19","202102","25","2,500","3","1998","거제대로 3000",""
"경상남도 거제시 장승포동","607-21","607","21","한일오피스텔","35.19","202103","1","2,600","7","1998","거제대로 3000",""
"경상남도 거제시 장평동","313-1","313","1","비버리힐즈 스위트","59","202104","1","19,000","7","2015","장평로10길 5-1",""
"경상남도 거창군 거창읍 김천리","255-10","255","10","금천아뜨리에","33.48","202107","19","4,200","2","2005","거함대로3길 27","20210728"
"경상남도 거창군 거창읍 김천리","255-10","255","10","금천아뜨리에","33.48","202107","28","4,200","2","2005","거함대로3길 27",""
"경상남도 거창군 거창읍 김천리","255-10","255","10","금천아뜨리에","33.48","202107","28","4,200","2","2005","거함대로3길 27",""
"경상남도 거창군 거창읍 대동리","null","0","0","지앤지 오피스텔","56.76","202105","12","8,000","6","2011"," ",""
"경상남도 거창군 거창읍 대평리","1187","1187","0","참좋은","55.65","202011","4","5,500","6","2007","거창대로 29",""
"경상남도 거창군 거창읍 대평리","1187","1187","0","참좋은","55.65","202107","20","6,250","12","2007","거창대로 29",""
"경상남도 거창군 거창읍 상림리","144","144","0","한성시티빌","54.79","202104","3","6,600","3","2008","강변로 127",""
"경상남도 거창군 거창읍 송정리","231-6","231","6","	(231-6)	","44.42","202012","1","8,500","3","2013","강남로 66",""
"경상남도 거창군 거창읍 송정리","248-2","248","2","송화오피스텔","52.56","202010","8","4,300","2","1999","강남로1길 49",""
"경상남도 거창군 거창읍 송정리","248-2","248","2","송화오피스텔","26.65","202101","19","2,300","4","1999","강남로1길 49",""
"경상남도 거창군 거창읍 송정리","248-2","248","2","송화오피스텔","26.65","202103","18","3,200","2","1999","강남로1길 49",""
