"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"경상북도 경산시 갑제동","5**","단독","8m미만","116.38","395","202012","4","41,500","2019","갑제마을8길",""
"경상북도 경산시 갑제동","5**","단독","8m미만","116.38","395","202010","26","41,500","2019","갑제마을8길","20201204"
"경상북도 경산시 갑제동","5**","단독","8m미만","116.38","403","202010","26","41,000","2019","갑제마을8길",""
"경상북도 경산시 갑제동","5**","단독","8m미만","116.38","420","202011","10","40,000","2018","갑제마을8길",""
"경상북도 경산시 계양동","6**","다가구","8m미만","230.41","140.3","202011","21","23,500","1995","원효로26길",""
"경상북도 경산시 계양동","6**","다가구","8m미만","164.32","155.6","202104","12","20,000","1994","원효로26길",""
"경상북도 경산시 계양동","6*","다가구","8m미만","154.99","156","202104","16","25,000","1986","중방로",""
"경상북도 경산시 계양동","6**","다가구","12m미만","356.84","169.7","202107","12","51,500","2018","원효로26길",""
"경상북도 경산시 계양동","8**","다가구","25m미만","398.93","203.3","202010","27","137,500","2020","남매공원로2길",""
"경상북도 경산시 계양동","8**","다가구","12m미만","478.12","257.8","202108","3","140,000","2019","남매공원로2길",""
"경상북도 경산시 계양동","6**","다가구","12m미만","478.14","337.1","202012","15","41,600","2009","장산로50길",""
"경상북도 경산시 계양동","6**","다가구","12m미만","552.61","356","202103","5","89,500","2013","원효로32길",""
"경상북도 경산시 계양동","6**","다가구","25m미만","649.67","433.6","202106","14","180,000","2018","원효로32길",""
"경상북도 경산시 계양동","6**","다가구","12m미만","726.3","536.2","202012","29","162,489","2020","원효로26길",""
"경상북도 경산시 계양동","2**","단독","8m미만","97.59","162","202103","22","15,200","1983","대학로42길",""
"경상북도 경산시 계양동","2**","단독","25m미만","222.36","164","202109","7","55,000","2016","중방로",""
"경상북도 경산시 계양동","2**","단독","8m미만","77.49","171","202012","7","53,000","1983","대학로42길","20210316"
"경상북도 경산시 계양동","6*","단독","25m미만","64.96","377","202101","20","89,500","2014","중방로",""
"경상북도 경산시 남방동","2**","단독","8m미만","21.32","225","202010","22","11,500","1941","남방길",""
"경상북도 경산시 남방동","2**","단독","8m미만","241.6","466","202109","15","41,500","1996","진등길",""
"경상북도 경산시 남산면 갈지리","1**","단독","25m미만","35","256","202102","2","7,500","1987","갈지로",""
"경상북도 경산시 남산면 경리","5**","단독","8m미만","144.72","338","202108","25","34,300","2017","하남로",""
"경상북도 경산시 남산면 경리","4**","단독","8m미만","90.1","544","202107","24","25,000","1973","경리길6길",""
"경상북도 경산시 남산면 반곡리","2**","단독","8m미만","137.33","504","202010","30","38,800","2018","반지길",""
"경상북도 경산시 남산면 반곡리","2**","단독","8m미만","102.21","573","202106","22","33,000","2018","반지길",""
"경상북도 경산시 남산면 반곡리","2**","단독","8m미만","114.04","773","202106","22","38,370","2018","반지길",""
"경상북도 경산시 남산면 사월리","1**","단독","8m미만","160.97","412","202101","15","30,500","2017","서원길",""
"경상북도 경산시 남산면 사월리","6**","단독","8m미만","198.15","660","202105","11","49,960","2001","프라임밸리길",""
"경상북도 경산시 남산면 산양리","4*","단독","25m미만","31","81","202108","31","6,000","1940","산양길",""
"경상북도 경산시 남산면 산양리","4*","단독","8m미만","55.8","173","202106","10","5,000","1975","산양길",""
"경상북도 경산시 남산면 산양리","1**","단독","8m미만","59.5","240","202010","16","12,500","1979","산양2길",""
"경상북도 경산시 남산면 상대리","8*","단독","8m미만","160.74","354","202107","1","50,000","2017","상대마루1길",""
"경상북도 경산시 남산면 상대리","2**","단독","8m미만","148.07","392","202010","25","38,500","2018","상대마루1길","20201117"
"경상북도 경산시 남산면 상대리","2**","단독","8m미만","148.07","392","202010","25","38,000","2018","상대마루1길",""
"경상북도 경산시 남산면 상대리","2**","단독","8m미만","81.33","446","202106","14","30,300","2017","상대마루1길",""
"경상북도 경산시 남산면 안심리","1**","단독","12m미만","152.43","692","202101","29","20,900","2011","성산로",""
"경상북도 경산시 남산면 연하리","*","단독","-","158.9","443","202105","27","43,000","2021","우검길",""
"경상북도 경산시 남산면 우검리","2**","단독","8m미만","117.22","480","202101","20","34,000","2020","대왕로",""
"경상북도 경산시 남산면 인흥리","8*","단독","8m미만","116.3","218","202108","30","9,100","1979","인흥1길",""
"경상북도 경산시 남산면 전지리","6**","단독","8m미만","45.6","433","202106","1","12,950","1993","반지길17길",""
"경상북도 경산시 남산면 전지리","*","단독","8m미만","198.09","634","202101","23","49,700","2001","프라임밸리길",""
"경상북도 경산시 남산면 전지리","*","단독","8m미만","198.09","650","202012","26","40,000","2001","프라임밸리길","20210209"
"경상북도 경산시 남산면 전지리","*","단독","8m미만","198.09","650","202012","26","40,000","2001","프라임밸리길",""
"경상북도 경산시 남산면 전지리","*","단독","8m미만","198.09","657","202101","26","49,700","2001","프라임밸리길",""
"경상북도 경산시 남산면 조곡리","2**","단독","8m미만","40.9","268","202012","18","6,100","1907","조곡길",""
"경상북도 경산시 남산면 하대리","1**","단독","8m미만","41.4","83","202102","9","5,221","1983","상대로",""
"경상북도 경산시 남산면 하대리","2**","단독","8m미만","95.82","231","202103","17","14,400","1995","하남로",""
"경상북도 경산시 남산면 하대리","1**","단독","8m미만","33.8","469","202107","15","14,910","1911","하대3길",""
"경상북도 경산시 남천면 금곡리","2**","단독","8m미만","86.54","443","202104","5","10,000","2013","금곡1길",""
"경상북도 경산시 남천면 대명리","1**","단독","8m미만","140.67","304","202011","1","25,800","1962","대명길17길",""
"경상북도 경산시 남천면 대명리","1**","단독","8m미만","98.35","306","202104","28","5,100","1996","대명길",""
"경상북도 경산시 남천면 대명리","2**","단독","8m미만","99.66","350","202011","5","14,600","2007","대명길",""
"경상북도 경산시 남천면 산전리","4**","단독","8m미만","99.67","231","202103","31","8,000","1902","산전길",""
"경상북도 경산시 남천면 산전리","3**","단독","8m미만","127.42","331","202108","16","21,000","2005","금성산길",""
"경상북도 경산시 남천면 산전리","4**","단독","8m미만","123.27","469","202109","9","30,000","2005","비녀길",""
"경상북도 경산시 남천면 산전리","3**","단독","8m미만","215.04","805","202103","22","46,000","2015","금성산길",""
"경상북도 경산시 남천면 삼성리","9**","단독","8m미만","43.35","223.3","202101","5","13,300","2013","문화마을2길",""
"경상북도 경산시 남천면 삼성리","9**","단독","8m미만","98.14","314.7","202104","18","25,700","2013","문화마을1길",""
"경상북도 경산시 남천면 삼성리","9**","단독","8m미만","90.88","339.1","202105","15","29,600","2013","문화마을2길",""
"경상북도 경산시 남천면 삼성리","3**","단독","8m미만","217.49","608","202012","1","15,000","1965","연화길",""
"경상북도 경산시 남천면 송백리","3*","단독","12m미만","189.06","408","202102","15","19,500","1995","상대로",""
"경상북도 경산시 남천면 신방리","5*","단독","8m미만","81.81","712","202010","28","24,250","2017","관방로",""
"경상북도 경산시 남천면 하도리","6**","단독","8m미만","97.74","164.42","202101","8","9,500","1993","하도로",""
"경상북도 경산시 남천면 하도리","1**","단독","8m미만","133.9","512","202109","18","15,000","1991","하도로",""
"경상북도 경산시 남천면 하도리","2**","단독","8m미만","167.38","574","202109","9","41,700","2015","하도로",""
"경상북도 경산시 남천면 협석리","1**","단독","8m미만","115.51","124","202104","19","15,000","1991","협석길",""
"경상북도 경산시 남천면 협석리","2**","단독","8m미만","94.22","294","202108","23","15,000","1981","협석길",""
"경상북도 경산시 남천면 협석리","4**","단독","8m미만","170.74","347","202010","14","22,500","1983","협석1길",""
"경상북도 경산시 내동","1**","단독","8m미만","51.55","241","202105","12","13,400","1977","어봉지길",""
"경상북도 경산시 대동","3*","다가구","8m미만","397.15","205","202105","7","109,000","2014","대동안길",""
"경상북도 경산시 대동","2*","다가구","8m미만","624.3","250","202011","8","75,000","2004","대학로59길",""
"경상북도 경산시 대정동","6**","단독","8m미만","55.8","159","202108","23","21,050","1983","대정길",""
"경상북도 경산시 대평동","4**","다가구","12m미만","371.35","245.7","202104","22","66,500","2005","경안로67길",""
"경상북도 경산시 대평동","1**","단독","8m미만","58.31","119","202104","12","27,300","1969","경안로",""
"경상북도 경산시 대평동","4**","단독","12m미만","80.64","209.2","202103","22","29,300","2006","대평길1길",""
"경상북도 경산시 대평동","1**","단독","8m미만","43.63","264","202105","14","49,000","1920","경안로","20210531"
"경상북도 경산시 대평동","1**","단독","8m미만","43.63","264","202105","21","49,000","1920","경안로","20210531"
"경상북도 경산시 백천동","5**","다가구","12m미만","335.03","223.7","202103","22","55,000","2014","경청로218길",""
"경상북도 경산시 백천동","5**","다가구","12m미만","349.35","233.5","202106","19","92,000","2015","경청로219길",""
"경상북도 경산시 백천동","5**","다가구","25m미만","350.86","235","202012","30","65,500","2006","경청로219길",""
"경상북도 경산시 백천동","5**","다가구","12m미만","359.8","241.3","202011","25","54,500","2007","경청로219길","20210224"
"경상북도 경산시 백천동","5**","다가구","12m미만","359.8","241.3","202011","25","54,500","2007","경청로219길",""
"경상북도 경산시 백천동","5**","다가구","25m미만","398.72","268.3","202011","9","75,000","2008","백천동로",""
"경상북도 경산시 백천동","5**","다가구","12m미만","399.36","271.1","202105","10","74,750","2013","백천동로",""
"경상북도 경산시 백천동","5**","단독","12m미만","323.03","216.4","202011","25","36,000","2006","경청로217길",""
"경상북도 경산시 백천동","2**","단독","8m미만","208.19","298","202108","5","40,000","2013","샘골길",""
"경상북도 경산시 사동","5**","다가구","8m미만","150.76","172.2","202104","21","20,000","1991","계양로16길",""
"경상북도 경산시 사동","9*","다가구","25m미만","334.81","226.8","202109","24","67,000","2015","백양로29길",""
"경상북도 경산시 사동","5**","다가구","12m미만","569.72","264.9","202101","26","93,000","2015","원효로34길",""
"경상북도 경산시 사동","6**","다가구","12m미만","465.33","281.5","202107","20","105,920","2021","백양로35길",""
"경상북도 경산시 사동","5**","다가구","8m미만","563.47","288.2","202103","25","88,000","2017","계양로16길",""
"경상북도 경산시 사동","5**","단독","8m미만","159.33","155.6","202105","5","19,500","1994","원효로40길",""
"경상북도 경산시 사동","6**","단독","12m미만","87.36","176.9","202102","15","20,000","2007","백양로38길",""
"경상북도 경산시 사동","3**","단독","12m미만","149.48","218.6","202011","20","59,900","2015","솔숲길8길",""
"경상북도 경산시 사동","2**","단독","12m미만","159.5","237.4","202011","23","55,000","2013","솔숲길4길",""
"경상북도 경산시 사동","2**","단독","12m미만","198.7","237.4","202105","5","56,000","2014","솔숲길4길",""
"경상북도 경산시 사동","3**","단독","25m미만","99.84","246.3","202106","20","49,000","2016","솔숲길12길",""
"경상북도 경산시 사동","9*","단독","12m미만","186.71","255","202010","29","75,000","2015","백양로29길",""
"경상북도 경산시 사동","5**","단독","12m미만","224.16","442.4","202105","28","65,000","1986","원효로40길",""
"경상북도 경산시 사동","3**","단독","12m미만","290.82","450","202104","9","101,500","2014","솔숲길8길",""
