"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경상북도 경산시 계양동","662","0662","0000","(662-0)","82.2053","48.47","202011","1","18,000","2","2014","원효로26길 9",""
"경상북도 경산시 계양동","117-1","0117","0001","국제","76.18","80.75","202012","21","7,800","4","1994","계양로 183-1",""
"경상북도 경산시 계양동","687-17","0687","0017","금강도운계양1차B","36.855","39.36","202101","28","2,700","1","1995","계양로8길 23",""
"경상북도 경산시 계양동","687-17","0687","0017","금강도운계양1차B","32.1","34.59","202104","15","2,500","2","1995","계양로8길 23",""
"경상북도 경산시 계양동","676-12","0676","0012","다온빌라트A동","63.7973","46.01","202103","24","16,000","5","2015","원효로26길 31-8",""
"경상북도 경산시 계양동","668-11","0668","0011","대삼","75.63","60.58","202105","11","7,650","1","1995","계양로16길 41",""
"경상북도 경산시 계양동","688-4","0688","0004","도심","75.21","48.13","202012","21","8,500","3","1995","계양로8길 37",""
"경상북도 경산시 계양동","682-5","0682","0005","동우","75.4","64.24","202102","24","10,200","1","1994","계양로8길 15",""
"경상북도 경산시 계양동","682-11","0682","0011","동우(682-11)","75.4","64.25","202107","31","10,300","1","1994","계양로8길 17",""
"경상북도 경산시 계양동","667","0667","0000","두창퀸스(가)","76.11","50.33","202105","25","7,800","4","1997","원효로28길 5-2",""
"경상북도 경산시 계양동","692-4","0692","0004","보광드림빌","71.0966","57.38","202104","19","9,100","3","2003","원효로32길 60",""
"경상북도 경산시 계양동","661-13","0661","0013","신성황실빌라A동","76.61","61.41","202109","10","10,000","2","1999","원효로26길 8-3",""
"경상북도 경산시 계양동","686-9","0686","0009","연안2차","76.11","49.65","202105","4","8,500","1","1996","계양로8길 26",""
"경상북도 경산시 계양동","670-15","0670","0015","은성A","76.04","42.32","202102","17","9,400","1","1997","원효로28길 16",""
"경상북도 경산시 계양동","674-1","0674","0001","천광(1차)","70.64","52.8","202108","25","7,000","2","1995","원효로26길 19-4",""
"경상북도 경산시 계양동","674-1","0674","0001","천광(1차)","70.64","52.8","202109","24","7,300","2","1995","원효로26길 19-4",""
"경상북도 경산시 계양동","659-10","0659","0010","현대광명","71.9965","52.5","202106","2","9,100","2","2004","원효로22길 4",""
"경상북도 경산시 백천동","501","0501","0000","리버캐슬","65.29","58.87","202109","12","13,500","3","2017","경청로215길 17-1",""
"경상북도 경산시 백천동","115-8","0115","0008","유스빌리지101동","67.18","48.29","202107","8","16,400","5","2015","백천길 13-6",""
"경상북도 경산시 백천동","115-61","0115","0061","유스빌리지102동103동","66.165","52.88","202011","25","15,000","4","2015","백천길 13-8",""
"경상북도 경산시 백천동","104","0104","0000","행복담은마을101동,102동","67.7","44.62","202103","5","13,400","2","2015","경청로224길 7",""
"경상북도 경산시 백천동","104-9","0104","0009","행복담은마을105동,106동","67.61","57.5","202104","3","15,000","4","2016","경청로224길 11",""
"경상북도 경산시 백천동","104-9","0104","0009","행복담은마을105동,106동","67.61","57.5","202104","8","16,000","2","2016","경청로224길 11",""
"경상북도 경산시 사동","567-9","0567","0009","금강도운","40.8","19.84","202012","18","2,500","3","1995","원효로40길 11-16",""
"경상북도 경산시 사동","599-4","0599","0004","덕영","76.61","60.46","202102","16","7,800","4","1997","원효로40길 48-2",""
"경상북도 경산시 사동","591-7","0591","0007","미진","62.43","37.57","202012","7","4,700","3","1994","계양로8길 75",""
"경상북도 경산시 사동","591-7","0591","0007","미진","47.3","28.46","202107","23","4,000","4","1994","계양로8길 75",""
"경상북도 경산시 사동","602-6","0602","0006","승리","75.05","62.24","202107","24","7,200","4","1994","원효로40길 57-3",""
"경상북도 경산시 사동","567-18","0567","0018","연안장미101동","67.36","34.76","202103","25","5,500","1","1997","원효로42길 16",""
"경상북도 경산시 사동","567-17","0567","0017","연안장미102동","68.91","48.04","202105","1","6,300","1","1997","원효로40길 17-9",""
"경상북도 경산시 사동","4","0004","0000","청담빌리지","77.1258","46.31","202010","13","14,800","5","2014","백양로 98",""
"경상북도 경산시 사동","4","0004","0000","청담빌리지","81.577","48.98","202107","3","16,500","4","2014","백양로 98",""
"경상북도 경산시 사동","2","0002","0000","청담힐즈","80.4531","47.27","202011","19","17,300","5","2016","백양로 100-25",""
"경상북도 경산시 사동","2","0002","0000","청담힐즈","80.9038","47.53","202105","17","17,000","3","2016","백양로 100-25",""
"경상북도 경산시 사동","572-11","0572","0011","코리아빌101동","76.55","49.87","202010","25","11,400","4","1997","원효로34길 18",""
"경상북도 경산시 사동","572-10","0572","0010","코리아빌102동","76.61","57.89","202101","14","9,300","4","1998","원효로34길 16",""
"경상북도 경산시 사동","572-3","0572","0003","코리아빌103동","76.61","57.89","202102","10","9,600","2","1998","원효로34길 14",""
"경상북도 경산시 사동","603-10","0603","0010","황토방A","76.5","47.93","202105","11","9,200","3","1997","원효로42길 59-1",""
"경상북도 경산시 사동","603-4","0603","0004","황토방B","76.5","50.5","202107","20","9,000","1","1997","원효로42길 59",""
"경상북도 경산시 사정동","16-21","0016","0021","경남빌라트102","75.79","43.9","202105","14","7,000","1","2002","경산로30길 6-6",""
"경상북도 경산시 사정동","16","0016","0000","경남타운101","70.74","39.57","202102","23","9,200","4","2002","경산로30길 6-4","20210309"
"경상북도 경산시 사정동","16","0016","0000","경남타운101","70.74","39.57","202102","23","9,200","4","2002","경산로30길 6-4",""
"경상북도 경산시 사정동","22-4","0022","0004","미화","43.2","30.75","202103","27","6,000","4","1982","경산로 157",""
"경상북도 경산시 사정동","22-4","0022","0004","미화","54.01","32.07","202108","13","6,400","3","1982","경산로 157",""
"경상북도 경산시 사정동","85-3","0085","0003","에스지펠리체","64.305","46.5","202010","30","16,300","5","2015","중앙로2길 16",""
"경상북도 경산시 사정동","85-3","0085","0003","에스지펠리체","64.719","46.8","202011","25","15,800","5","2015","중앙로2길 16",""
"경상북도 경산시 사정동","85-3","0085","0003","에스지펠리체","65.672","47.49","202105","11","15,700","2","2015","중앙로2길 16",""
"경상북도 경산시 사정동","85-3","0085","0003","에스지펠리체","65.518","47.38","202107","12","15,800","4","2015","중앙로2길 16","20210722"
"경상북도 경산시 사정동","85-3","0085","0003","에스지펠리체","65.518","47.38","202107","12","15,800","4","2015","중앙로2길 16",""
"경상북도 경산시 사정동","254-1","0254","0001","조은사람조은집","62.99","70.54","202010","3","15,100","2","2015","삼성현로37길 5",""
"경상북도 경산시 사정동","254-1","0254","0001","조은사람조은집","62.99","70.54","202108","31","16,000","2","2015","삼성현로37길 5",""
"경상북도 경산시 사정동","132","0132","0000","청담포레","84.8844","67.44","202010","30","19,000","3","2016","장산로1길 45-8",""
"경상북도 경산시 사정동","132","0132","0000","청담포레","84.6025","67.21","202012","3","18,000","3","2016","장산로1길 45-8",""
"경상북도 경산시 사정동","132","0132","0000","청담포레","84.8844","67.44","202106","28","22,800","5","2016","장산로1길 45-8",""
"경상북도 경산시 삼남동","29","0029","0000","남광빌라(라)","69.83","35.77","202102","8","5,000","1","1992","경안로 92-2",""
"경상북도 경산시 삼남동","60","0060","0000","삼신하이츠","75.74","50.74","202011","25","8,500","1","1997","경안로21길 15",""
"경상북도 경산시 삼남동","60","0060","0000","삼신하이츠","69.58","46.61","202103","6","6,500","3","1997","경안로21길 15",""
"경상북도 경산시 삼북동","277-15","0277","0015","다채움(277-15)","68.4268","71.45","202010","3","13,000","5","2015","장산로25길 16",""
"경상북도 경산시 서상동","11-7","0011","0007","(11-7)","50.7","33.59","202106","30","2,000","2","1983","중앙로16길 38-1",""
"경상북도 경산시 서상동","11-7","0011","0007","(11-7)","42.6","28.23","202107","12","2,500","2","1983","중앙로16길 38-1",""
"경상북도 경산시 압량읍 부적리","489","0489","0000","성미(489-0)","48.36","44.72","202011","12","7,940","3","1980"," 2-1",""
