"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"광주광역시 광산구 고룡동","8**","단독","8m미만","75.6","208","202011","13","8,900","2000","벽파정길",""
"광주광역시 광산구 고룡동","8**","단독","8m미만","83.7","430","202011","10","17,500","2005","벽파정길",""
"광주광역시 광산구 고룡동","6**","단독","8m미만","95","460","202105","3","22,100","2015","창암길",""
"광주광역시 광산구 고룡동","4**","단독","8m미만","82.99","530","202011","20","21,000","2000","null",""
"광주광역시 광산구 광산동","6**","단독","8m미만","77.76","241","202104","21","6,300","1993","고봉로",""
"광주광역시 광산구 광산동","6**","단독","8m미만","48.04","252","202103","9","7,000","1990","임곡연계길",""
"광주광역시 광산구 광산동","5**","단독","8m미만","107.93","416","202106","20","18,200","1990","광곡길",""
"광주광역시 광산구 광산동","6**","단독","8m미만","59.92","595","202105","13","11,000","1950","광곡길",""
"광주광역시 광산구 광산동","8*","단독","8m미만","131.01","636","202102","23","23,850","2010","오룡동길",""
"광주광역시 광산구 광산동","2**","단독","12m미만","99.5","655","202010","12","22,770","2015","고봉로",""
"광주광역시 광산구 광산동","4**","단독","8m미만","72.6","929","202103","19","23,885","1935","광곡길",""
"광주광역시 광산구 내산동","3**","단독","8m미만","97.04","691","202101","4","20,000","1997","쌍내길",""
"광주광역시 광산구 도산동","1***","다가구","12m미만","530.41","354.5","202101","24","150,000","2019","남동길30번길",""
"광주광역시 광산구 도산동","1***","다가구","12m미만","530.41","354.5","202012","30","146,000","2019","남동길30번길",""
"광주광역시 광산구 도산동","1***","단독","8m미만","41.32","66","202106","2","35,000","2021","상무대로",""
"광주광역시 광산구 도산동","1***","단독","8m미만","54.45","89","202109","3","21,600","1974","상무대로",""
"광주광역시 광산구 도산동","9**","단독","12m미만","125.24","109","202102","1","15,500","1990","상도산길",""
"광주광역시 광산구 도산동","8**","단독","12m미만","60.9","129","202103","25","19,300","2009","송도로212번길",""
"광주광역시 광산구 도산동","9**","단독","8m미만","78.21","131","202010","25","18,500","1983","송도로181번길",""
"광주광역시 광산구 도산동","1***","단독","12m미만","148.77","132","202012","16","20,000","2000","송도로114번길",""
"광주광역시 광산구 도산동","1***","단독","25m미만","73.9","134","202103","13","25,000","1980","송도로85번길",""
"광주광역시 광산구 도산동","9**","단독","8m미만","54.21","138","202105","26","12,000","1978","도산신송길",""
"광주광역시 광산구 도산동","9**","단독","12m미만","112.71","144","202010","27","21,600","1981","송도로","20201230"
"광주광역시 광산구 도산동","9**","단독","12m미만","112.71","144","202012","30","21,600","1981","송도로",""
"광주광역시 광산구 도산동","1***","단독","8m미만","99.24","146","202012","29","6,000","1986","신도산길",""
"광주광역시 광산구 도산동","8**","단독","8m미만","54.36","149","202012","3","9,000","1975","송도로212번길",""
"광주광역시 광산구 도산동","1***","단독","8m미만","79.76","149","202106","28","13,500","2019","서도산길50번길",""
"광주광역시 광산구 도산동","8**","단독","25m미만","154.64","155","202108","19","45,500","1994","송도로",""
"광주광역시 광산구 도산동","8**","단독","8m미만","109.56","168","202103","6","19,000","1981","상도산길7번길",""
"광주광역시 광산구 도산동","1***","단독","8m미만","163.8","168","202103","26","18,600","1989","서도산길",""
"광주광역시 광산구 도산동","8**","단독","12m미만","69.84","171","202105","27","30,000","1975","송도로212번길",""
"광주광역시 광산구 도산동","8**","단독","8m미만","63.81","172","202105","28","20,000","1975","송도로212번길",""
"광주광역시 광산구 도산동","1***","단독","8m미만","29.75","179","202106","25","16,500","2021","서도산길",""
"광주광역시 광산구 도산동","1***","단독","8m미만","93.34","179","202108","18","15,000","1989","송도로85번길",""
"광주광역시 광산구 도산동","7**","단독","8m미만","87.35","181","202103","30","21,759","1991","송도로",""
"광주광역시 광산구 도산동","7**","단독","8m미만","87.35","184","202103","30","21,800","1991","송도로","20210429"
"광주광역시 광산구 도산동","1***","단독","8m미만","64.99","195","202105","1","20,500","1975","서도산길",""
"광주광역시 광산구 도산동","8**","단독","8m미만","74.04","198","202105","26","17,000","1968","송도로208번길",""
"광주광역시 광산구 도산동","7**","단독","8m미만","57.18","205","202012","14","20,000","1920","송도로182번길",""
"광주광역시 광산구 도산동","8**","단독","8m미만","106.08","270","202109","7","36,765","1981","송도로212번길",""
"광주광역시 광산구 도산동","9**","단독","8m미만","129.6","277","202101","11","50,000","2006","상도산길21번길",""
"광주광역시 광산구 도산동","7**","단독","8m미만","55.2","294","202104","22","25,000","1954","송도로162번길",""
"광주광역시 광산구 도산동","1***","단독","8m미만","91.72","324","202012","4","34,300","1979","서도산길",""
"광주광역시 광산구 도산동","1***","단독","8m미만","46.61","413","202106","2","100,000","2021","상무대로",""
"광주광역시 광산구 도산동","1***","단독","25m이상","236.52","496","202105","24","65,000","1980","상무대로",""
"광주광역시 광산구 도산동","1***","단독","25m이상","112.48","567","202109","3","136,800","2011","상무대로",""
"광주광역시 광산구 도산동","1***","단독","8m미만","124.78","612","202012","7","59,000","1983","서도산길","20201223"
