"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","39.15","202011","13","6,800","5","1990","송도로 143",""
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","31.59","202011","22","4,900","10","1990","송도로 143","20201126"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","31.59","202011","22","4,900","10","1990","송도로 143",""
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","39.15","202012","14","6,000","3","1990","송도로 143",""
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","39.15","202101","8","5,800","9","1990","송도로 143",""
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","31.59","202103","4","4,700","6","1990","송도로 143",""
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","39.15","202104","5","6,800","2","1990","송도로 143",""
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","59.31","202104","18","8,800","9","1990","송도로 143",""
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","31.59","202107","3","5,500","8","1990","송도로 143",""
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","59.31","202108","6","8,000","2","1990","송도로 143",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202010","7","18,300","3","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202010","16","18,200","10","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202010","19","18,350","2","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202010","27","19,100","11","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202010","29","18,000","6","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202011","4","18,700","6","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202011","6","18,300","12","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202012","11","20,500","10","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202101","10","19,700","10","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202101","29","20,000","7","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202102","7","18,000","1","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202103","10","18,000","1","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202106","30","19,500","3","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202108","2","19,500","12","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202109","10","21,300","3","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202109","10","21,300","3","2000","송도로182번길 55","20210930"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202109","11","21,300","2","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202109","15","20,900","10","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","84.98","202109","18","20,200","1","2000","송도로182번길 55",""
"광주광역시 광산구 도산동","820","0820","0000","대주피오레2차","84.7575","202011","29","20,800","8","2001","송도로182번길 16-3",""
"광주광역시 광산구 도산동","820","0820","0000","대주피오레2차","84.7575","202103","2","20,900","13","2001","송도로182번길 16-3",""
"광주광역시 광산구 도산동","820","0820","0000","대주피오레2차","84.7575","202103","22","16,250","1","2001","송도로182번길 16-3",""
"광주광역시 광산구 도산동","820","0820","0000","대주피오레2차","84.7575","202103","29","20,500","12","2001","송도로182번길 16-3",""
"광주광역시 광산구 도산동","820","0820","0000","대주피오레2차","84.7575","202107","26","22,500","2","2001","송도로182번길 16-3",""
"광주광역시 광산구 도산동","820","0820","0000","대주피오레2차","84.7575","202109","4","21,000","4","2001","송도로182번길 16-3",""
"광주광역시 광산구 도산동","1138-1","1138","0001","무등파크맨션","59.88","202101","18","8,600","4","1994","도산로 3",""
"광주광역시 광산구 도산동","1138-1","1138","0001","무등파크맨션","59.88","202105","24","9,200","4","1994","도산로 3","20210720"
"광주광역시 광산구 도산동","1138-1","1138","0001","무등파크맨션","59.88","202105","25","8,800","6","1994","도산로 3",""
"광주광역시 광산구 도산동","1138-1","1138","0001","무등파크맨션","59.88","202106","2","9,000","2","1994","도산로 3",""
"광주광역시 광산구 도산동","1138-1","1138","0001","무등파크맨션","59.88","202106","2","9,400","9","1994","도산로 3",""
"광주광역시 광산구 도산동","1138-1","1138","0001","무등파크맨션","59.88","202107","26","9,200","4","1994","도산로 3",""
"광주광역시 광산구 도산동","1138-1","1138","0001","무등파크맨션","59.88","202108","17","8,950","5","1994","도산로 3",""
"광주광역시 광산구 도산동","1138-1","1138","0001","무등파크맨션","59.88","202109","9","8,600","3","1994","도산로 3",""
"광주광역시 광산구 도산동","1138-1","1138","0001","무등파크맨션","59.88","202109","30","8,500","1","1994","도산로 3",""
"광주광역시 광산구 도산동","56-5","0056","0005","보경해피드림","84.9546","202011","11","20,800","15","2006","송도로212번길 54",""
"광주광역시 광산구 도산동","56-5","0056","0005","보경해피드림","84.9546","202011","13","19,300","8","2006","송도로212번길 54",""
"광주광역시 광산구 도산동","56-5","0056","0005","보경해피드림","84.9546","202012","20","20,500","12","2006","송도로212번길 54",""
"광주광역시 광산구 도산동","56-5","0056","0005","보경해피드림","84.9546","202103","6","19,950","4","2006","송도로212번길 54",""
"광주광역시 광산구 도산동","56-5","0056","0005","보경해피드림","84.9546","202103","18","19,500","9","2006","송도로212번길 54",""
"광주광역시 광산구 도산동","56-5","0056","0005","보경해피드림","84.9546","202104","30","20,500","11","2006","송도로212번길 54",""
"광주광역시 광산구 도산동","56-5","0056","0005","보경해피드림","84.9546","202108","23","20,800","12","2006","송도로212번길 54",""
"광주광역시 광산구 도산동","1298-3","1298","0003","삼라극동마이다스","39.69","202011","9","7,200","4","1998","남동길 18-10",""
"광주광역시 광산구 도산동","1298-3","1298","0003","삼라극동마이다스","39.69","202104","13","7,800","8","1998","남동길 18-10",""
