"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"광주광역시 광산구 송정동","845-10","845","10","송정역 한국아델리움 더 씨티","26.9","202104","20","11,280","8","2021","송정로15번길 27",""
"광주광역시 광산구 송정동","845-10","845","10","송정역 한국아델리움 더 씨티","49.21","202104","29","21,800","5","2021","송정로15번길 27",""
"광주광역시 광산구 송정동","845-10","845","10","송정역 한국아델리움 더 씨티","20.67","202106","29","8,400","6","2021","송정로15번길 27","20210630"
"광주광역시 광산구 송정동","845-10","845","10","송정역 한국아델리움 더 씨티","20.67","202108","5","8,500","6","2021","송정로15번길 27",""
"광주광역시 광산구 송정동","845-10","845","10","송정역 한국아델리움 더 씨티","20.67","202108","13","8,500","6","2021","송정로15번길 27",""
"광주광역시 광산구 송정동","929-9","929","9","중앙센트럴시티","64.83","202103","1","18,000","12","2018","평동로1120번길 12",""
"광주광역시 광산구 송정동","859-3","859","3","현대디에코1차","26.62","202011","10","7,000","11","2016"," ",""
"광주광역시 광산구 송정동","859-3","859","3","현대디에코1차","26.62","202102","15","8,000","11","2016"," ",""
"광주광역시 광산구 송정동","859-3","859","3","현대디에코1차","26.62","202103","15","7,700","14","2016"," ",""
"광주광역시 광산구 송정동","859-7","859","7","현대디에코2차","26.62","202109","27","7,550","12","2016"," ",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","25.9","202011","21","3,650","4","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","30.8","202101","6","3,500","7","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","25.9","202103","12","5,000","8","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","25.9","202103","12","5,000","7","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","38.85","202103","31","6,000","2","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","38.85","202103","31","6,000","4","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","38.85","202103","31","6,000","6","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","38.85","202103","31","6,000","8","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","25.9","202103","31","5,000","8","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","25.9","202103","31","5,000","7","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","25.9","202103","31","5,000","5","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","25.9","202103","31","5,000","2","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","25.9","202103","31","5,000","2","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","25.9","202109","9","4,000","5","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","689-5","689","5","	(689-5)	","54.6","202103","9","12,000","4","2014","임방울대로825번길 60-26",""
"광주광역시 광산구 쌍암동","689-5","689","5","	(689-5)	","36.27","202106","21","6,500","8","2014","임방울대로825번길 60-26",""
"광주광역시 광산구 쌍암동","689-5","689","5","	(689-5)	","36.27","202106","21","6,500","8","2014","임방울대로825번길 60-26",""
"광주광역시 광산구 쌍암동","689-5","689","5","	(689-5)	","36.27","202106","21","6,500","8","2014","임방울대로825번길 60-26",""
"광주광역시 광산구 쌍암동","689-5","689","5","	(689-5)	","36.27","202106","21","6,500","6","2014","임방울대로825번길 60-26",""
"광주광역시 광산구 쌍암동","689-5","689","5","	(689-5)	","36.27","202109","1","6,500","9","2014","임방울대로825번길 60-26",""
"광주광역시 광산구 쌍암동","689-5","689","5","	(689-5)	","36.27","202109","30","6,500","12","2014","임방울대로825번길 60-26",""
"광주광역시 광산구 쌍암동","689-5","689","5","	(689-5)	","36.27","202109","30","6,500","9","2014","임방울대로825번길 60-26",""
"광주광역시 광산구 쌍암동","685-10","685","10","로얄오피스텔(685-10)","30.81","202010","21","3,200","4","2003","임방울대로825번길 22-17",""
"광주광역시 광산구 쌍암동","685-10","685","10","로얄오피스텔(685-10)","30.81","202010","26","3,300","2","2003","임방울대로825번길 22-17",""
"광주광역시 광산구 쌍암동","685-10","685","10","로얄오피스텔(685-10)","30.81","202104","29","3,350","3","2003","임방울대로825번길 22-17",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","30.81","202010","13","3,400","4","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","30.81","202102","26","3,300","6","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","30.81","202103","15","4,100","9","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","30.81","202107","30","3,300","5","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","36.57","202108","24","4,000","7","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","30.81","202109","4","3,300","7","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","30.81","202109","27","3,450","3","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","72.15","202107","16","25,671","18","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-106","694","106","쌍암동 미르채 리버파크 오피스텔","23.74","202106","7","10,978","7","2021","월계로 235-8",""
"광주광역시 광산구 쌍암동","694-106","694","106","쌍암동 미르채 리버파크 오피스텔","23.74","202106","8","10,978","6","2021","월계로 235-8",""
"광주광역시 광산구 쌍암동","694-106","694","106","쌍암동 미르채 리버파크 오피스텔","29.09","202106","13","14,072","3","2021","월계로 235-8",""
"광주광역시 광산구 쌍암동","694-106","694","106","쌍암동 미르채 리버파크 오피스텔","29.09","202108","20","14,362","9","2021","월계로 235-8",""
"광주광역시 광산구 쌍암동","694-106","694","106","쌍암동 미르채 리버파크 오피스텔","49.55","202108","24","24,897","19","2021","월계로 235-8",""
"광주광역시 광산구 쌍암동","694-106","694","106","쌍암동 미르채 리버파크 오피스텔","29.09","202108","27","14,651","20","2021","월계로 235-8",""
"광주광역시 광산구 쌍암동","694-106","694","106","쌍암동 미르채 리버파크 오피스텔","49.55","202108","31","24,410","10","2021","월계로 235-8",""
"광주광역시 광산구 쌍암동","694-115","694","115","에드가(694-115)","27.54","202105","27","5,600","2","2013","월계로 223-17",""
"광주광역시 광산구 쌍암동","676-2","676","2","에이엠시티센트럴파크","39.47","202106","18","12,400","12","2015","첨단중앙로182번길 50",""
"광주광역시 광산구 쌍암동","676-2","676","2","에이엠시티센트럴파크","39.47","202106","23","12,400","14","2015","첨단중앙로182번길 50",""
"광주광역시 광산구 쌍암동","676-2","676","2","에이엠시티센트럴파크","39.47","202107","1","12,000","12","2015","첨단중앙로182번길 50","20211021"
"광주광역시 광산구 쌍암동","676-2","676","2","에이엠시티센트럴파크","39.47","202107","1","12,000","13","2015","첨단중앙로182번길 50",""
"광주광역시 광산구 쌍암동","676-2","676","2","에이엠시티센트럴파크","39.47","202107","20","11,660","14","2015","첨단중앙로182번길 50",""
"광주광역시 광산구 쌍암동","676-2","676","2","에이엠시티센트럴파크","39.47","202107","21","10,377","4","2015","첨단중앙로182번길 50",""
"광주광역시 광산구 쌍암동","676-2","676","2","에이엠시티센트럴파크","39.47","202108","18","12,545","13","2015","첨단중앙로182번길 50","20210820"
"광주광역시 광산구 쌍암동","676-2","676","2","에이엠시티센트럴파크","39.47","202108","18","13,800","13","2015","첨단중앙로182번길 50",""
"광주광역시 광산구 쌍암동","676-2","676","2","에이엠시티센트럴파크","39.47","202108","24","11,800","11","2015","첨단중앙로182번길 50",""
"광주광역시 광산구 쌍암동","676-2","676","2","에이엠시티센트럴파크","39.47","202109","24","13,000","9","2015","첨단중앙로182번길 50",""
"광주광역시 광산구 쌍암동","694-74","694","74","윤진리안채","29.98","202104","30","8,300","4","2017","첨단강변로99번길 21",""
"광주광역시 광산구 쌍암동","689-17","689","17","첨단 대라수 2차 주상복합","84.14","202105","6","24,500","10","2019","임방울대로825번길 22-54",""
"광주광역시 광산구 쌍암동","689-17","689","17","첨단 대라수 2차 주상복합","84.14","202107","30","23,500","13","2019","임방울대로825번길 22-54",""
"광주광역시 광산구 쌍암동","676-3","676","3","첨단센트럴파크2차","55.85","202102","15","19,100","4","2018","첨단중앙로170번길 87",""
"광주광역시 광산구 쌍암동","676-3","676","3","첨단센트럴파크2차","55.85","202102","24","16,030","4","2018","첨단중앙로170번길 87",""
"광주광역시 광산구 쌍암동","676-3","676","3","첨단센트럴파크2차","49.24","202103","6","17,000","4","2018","첨단중앙로170번길 87",""
"광주광역시 광산구 쌍암동","685-11","685","11","첨단센트럴파크3차","49.34","202109","23","15,900","7","2020","임방울대로825번길 22-19",""
"광주광역시 광산구 쌍암동","685-11","685","11","첨단센트럴파크3차","49.34","202109","23","15,900","7","2020","임방울대로825번길 22-19","20211021"
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202011","23","28,500","36","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202101","13","29,000","26","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202102","10","29,500","31","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202103","27","30,500","37","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202104","14","29,700","24","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202105","11","32,000","30","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.65","202105","14","32,500","20","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202105","15","31,500","23","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202105","28","32,000","29","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.65","202106","15","31,000","11","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202107","11","33,000","21","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202107","13","30,500","29","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202107","16","31,300","16","2019","첨단강변로 100",""
