"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"대구광역시 남구 대명동","2***","다가구","12m미만","50.24","33.06","202108","8","11,000","1991","명덕로16길",""
"대구광역시 남구 대명동","1**","다가구","8m미만","242.85","40.57","202105","3","49,500","1992","대명남1길",""
"대구광역시 남구 대명동","1*","다가구","8m미만","53.2","48","202103","19","7,500","1993","중앙대로38길",""
"대구광역시 남구 대명동","1*","다가구","8m미만","57.58","50","202012","5","8,000","1991","중앙대로40길",""
"대구광역시 남구 대명동","1*","다가구","12m미만","59.98","52","202012","17","13,480","1993","봉덕로1길",""
"대구광역시 남구 대명동","2***","다가구","8m미만","146.27","58.8","202101","12","10,850","1994","성당로48길",""
"대구광역시 남구 대명동","2***","다가구","8m미만","151.86","66.8","202103","16","12,000","1992","계명5길",""
"대구광역시 남구 대명동","1*","다가구","12m미만","111.54","69","202010","19","26,000","1993","중앙대로40길",""
"대구광역시 남구 대명동","2***","다가구","8m미만","75.72","70.1","202108","6","12,400","1992","명덕로18길",""
"대구광역시 남구 대명동","1**","다가구","12m미만","171.58","75","202105","10","58,400","1996","대명로58길",""
"대구광역시 남구 대명동","1**","다가구","12m미만","179.37","77","202105","10","60,000","1995","중앙대로21길",""
"대구광역시 남구 대명동","*","다가구","12m미만","159.24","80","202103","10","30,000","1993","봉덕로1길",""
"대구광역시 남구 대명동","1*","다가구","12m미만","160.53","81","202102","18","20,200","1992","중앙대로40길",""
"대구광역시 남구 대명동","2***","다가구","8m미만","190.65","84","202010","20","17,800","1992","계명3길",""
"대구광역시 남구 대명동","1**","다가구","8m미만","199.29","85","202012","9","100,000","1996","대명남1길",""
"대구광역시 남구 대명동","2**","다가구","12m미만","179.67","85.3","202105","3","60,000","1994","대명로58길",""
"대구광역시 남구 대명동","1**","다가구","8m미만","172.32","88","202105","10","51,560","1996","중앙대로21길",""
"대구광역시 남구 대명동","2***","다가구","8m미만","102.21","90","202010","31","20,400","1988","명덕로18길",""
"대구광역시 남구 대명동","2**","다가구","12m미만","199.5","91","202105","3","56,000","1995","대명로58길",""
"대구광역시 남구 대명동","1***","다가구","8m미만","129.12","92.6","202010","24","19,000","1995","현충로28길",""
"대구광역시 남구 대명동","3***","다가구","8m미만","95.66","94.5","202011","26","26,000","1991","두류공원로20길",""
"대구광역시 남구 대명동","2***","다가구","8m미만","134.92","94.5","202102","9","28,500","1993","양지북길",""
"대구광역시 남구 대명동","2***","다가구","8m미만","134.92","94.5","202102","9","28,500","1993","양지북길","20210409"
"대구광역시 남구 대명동","1**","다가구","12m미만","199.14","95","202105","10","60,000","1995","중앙대로21길",""
"대구광역시 남구 대명동","3***","다가구","8m미만","104.9","95.9","202011","16","22,700","1997","성당로30길",""
"대구광역시 남구 대명동","3***","다가구","8m미만","112.19","95.9","202108","2","23,200","1991","대경2길",""
"대구광역시 남구 대명동","3***","다가구","8m미만","95.7","96.2","202012","15","26,000","1996","양지로2길",""
"대구광역시 남구 대명동","2***","다가구","8m미만","185.98","97.5","202105","15","7,500","1993","성당로50길",""
"대구광역시 남구 대명동","3***","다가구","8m미만","108.26","97.9","202105","4","15,000","1994","양지로6길",""
