"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대구광역시 남구 대명동","3022-1","3022","0001","강남골든하이츠","83.56","202102","8","12,000","2","2002","양지남길 28",""
"대구광역시 남구 대명동","3022-1","3022","0001","강남골든하이츠","62.05","202105","1","15,500","8","2002","양지남길 28",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202010","7","24,000","3","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202010","8","26,350","5","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202010","15","24,800","3","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202010","24","24,200","2","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202010","26","28,000","8","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202011","2","25,000","10","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202011","20","26,600","9","1980","대명로 117","20210205"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202011","29","25,000","1","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202011","29","26,600","9","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202011","29","26,900","7","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202012","3","26,100","3","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202012","5","27,900","4","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202012","5","24,500","1","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202012","7","28,000","8","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202012","12","27,500","7","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202012","15","26,000","2","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202012","16","27,000","10","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202012","16","29,800","9","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202012","16","27,000","4","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202012","17","26,700","2","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202101","27","29,000","4","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202102","24","18,000","10","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202103","5","29,000","10","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202103","20","30,000","5","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202103","31","31,300","8","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202106","19","29,000","10","1980","대명로 117",""
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","202011","10","17,550","5","1983","대경길 258",""
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","202012","17","17,900","4","1983","대경길 258",""
"대구광역시 남구 대명동","3008","3008","0000","경북","71.28","202108","14","17,800","5","1983","대경길 258",""
"대구광역시 남구 대명동","1733-3","1733","0003","경일맨션","66.58","202010","25","11,000","3","1977","현충로 190",""
"대구광역시 남구 대명동","1733-3","1733","0003","경일맨션","69.75","202103","12","12,000","5","1977","현충로 190",""
"대구광역시 남구 대명동","1733-3","1733","0003","경일맨션","69.75","202105","3","13,500","4","1977","현충로 190",""
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","62.7492","202010","7","22,500","7","2016","성당로 138",""
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","84.8278","202012","16","26,800","4","2016","성당로 138",""
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","84.8278","202102","22","31,000","5","2016","성당로 138",""
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","84.8278","202102","22","31,000","5","2016","성당로 138","20210402"
"대구광역시 남구 대명동","3060","3060","0000","교대역 동서프라임36.5","76.244","202010","31","39,000","8","2017","이천로19길 81",""
"대구광역시 남구 대명동","3060","3060","0000","교대역 동서프라임36.5","84.9427","202011","4","41,800","3","2017","이천로19길 81",""
"대구광역시 남구 대명동","3060","3060","0000","교대역 동서프라임36.5","84.9427","202011","5","44,800","9","2017","이천로19길 81",""
"대구광역시 남구 대명동","3060","3060","0000","교대역 동서프라임36.5","84.3316","202011","7","43,900","3","2017","이천로19길 81",""
"대구광역시 남구 대명동","3060","3060","0000","교대역 동서프라임36.5","76.244","202011","14","38,000","3","2017","이천로19길 81",""
"대구광역시 남구 대명동","3060","3060","0000","교대역 동서프라임36.5","84.9427","202011","15","43,200","10","2017","이천로19길 81",""
"대구광역시 남구 대명동","3060","3060","0000","교대역 동서프라임36.5","84.3316","202011","15","46,500","8","2017","이천로19길 81",""
