"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210831 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대구광역시 남구 대명동","2247-2","2247","0002","(2247-2)","47","18.85","202109","29","9,500","3","1995","계명2길 42",""
"대구광역시 남구 대명동","2250-28","2250","0028","(2250-28)","39.03","22.82","202109","2","6,200","2","1993","계명4길 5-2",""
"대구광역시 남구 대명동","552-3","0552","0003","(552-3)","67.59","71.23","202109","16","21,800","2","2016","앞산순환로87길 8",""
"대구광역시 남구 대명동","487-4","0487","0004","대붕한빛촌","76.3","41.94","202109","12","18,300","3","1995","큰골4길 38",""
"대구광역시 남구 대명동","2538-13","2538","0013","백옥","59.76","23.04","202109","27","9,600","2","1996","명덕로16길 31",""
"대구광역시 남구 대명동","292-6","0292","0006","양지빌(292-6)","58.13","27.24","202109","1","30,000","4","2001","대명로53길 27-17","20210907"
"대구광역시 남구 대명동","292-6","0292","0006","양지빌(292-6)","81.84","38.32","202109","1","30,000","1","2001","대명로53길 27-17","20210907"
"대구광역시 남구 대명동","292-6","0292","0006","양지빌(292-6)","81.84","38.32","202109","7","21,000","1","2001","대명로53길 27-17","20211012"
"대구광역시 남구 대명동","292-6","0292","0006","양지빌(292-6)","58.13","27.24","202109","7","21,000","4","2001","대명로53길 27-17","20211012"
"대구광역시 남구 대명동","2014-59","2014","0059","영선상가","62.81","26.44","202109","16","12,300","3","1976","중앙대로46길 43",""
"대구광역시 남구 대명동","3014-35","3014","0035","장원선빌리지","74.98","51.63","202109","15","19,800","4","2002","대경5길 34-4",""
"대구광역시 남구 대명동","15-55","0015","0055","제2동호","26.75","10.29","202109","29","3,900","1","1995","영선시장2길 6-3",""
"대구광역시 남구 대명동","566-34","0566","0034","한일하이츠","55.68","37.12","202109","29","18,400","4","2006","앞산순환로81길 18-2",""
"대구광역시 남구 봉덕동","488-2","0488","0002","JD웰니스 이천","79.84","40.19","202109","17","28,300","3","2020","이천로 86",""
"대구광역시 남구 봉덕동","641-11","0641","0011","봉덕빌라(102동)","70.58","43.93","202109","30","13,500","4","1997","삼정4길 12-5",""
"대구광역시 달서구 감삼동","152-2","0152","0002","단독(152-2)","132.68","81.35","202109","6","63,890","1","1989","감삼3길 11-3",""
"대구광역시 달서구 감삼동","152-2","0152","0002","단독(152-2)","107.08","65.65","202109","6","51,550","2","1989","감삼3길 11-3",""
"대구광역시 달서구 대천동","541-9","0541","0009","이마트푸른마을101동","71.355","37.75","202108","31","21,000","4","2002","진천로 89-10",""
"대구광역시 달서구 두류동","827-1","0827","0001","건오2차","75.92","51.13","202109","26","16,500","4","2002","성당로51길 13",""
"대구광역시 달서구 본동","714-1","0714","0001","리치빌라트B동","76.25","56.75","202108","31","21,000","2","2002","구마로14북길 41",""
