"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대구광역시 남구 대명동","137-4","137","4","ADOS 오피스텔","29.5","202011","19","14,800","5","2020","대명로57길 28",""
"대구광역시 남구 대명동","2276-27","2276","27","글로리빌리지","62.09","202105","18","18,000","3","2019","명덕로10길 5",""
"대구광역시 남구 대명동","2282-48","2282","48","리더스빌","51.68","202101","5","18,000","2","2021","명덕로10길 37",""
"대구광역시 남구 대명동","2282-48","2282","48","리더스빌","48.94","202103","9","18,600","3","2021","명덕로10길 37",""
"대구광역시 남구 대명동","2282-48","2282","48","리더스빌","48.94","202107","9","18,800","2","2021","명덕로10길 37",""
"대구광역시 남구 대명동","2014-211","2014","211","리치카운티","69.39","202106","1","36,500","7","null","중앙대로42길 46-6",""
"대구광역시 남구 대명동","2014-211","2014","211","리치카운티","69.39","202107","6","37,000","10","null","중앙대로42길 46-6",""
"대구광역시 남구 대명동","3047-7","3047","7","스카이파크빌로텔","44.24","202107","30","8,300","5","2004","두류공원로 119",""
"대구광역시 남구 대명동","177-6","177","6","아리랑빌라트","84.97","202105","3","56,000","2","null","대명남1길 35",""
"대구광역시 남구 대명동","177-6","177","6","아리랑빌라트","84.97","202105","3","56,000","2","null","대명남1길 35",""
"대구광역시 남구 대명동","1118-1","1118","1","앞산 삼정그린코아 트라이시티","27.42","202104","12","13,350","21","2021","대명역2길 70",""
"대구광역시 남구 대명동","1118-1","1118","1","앞산 삼정그린코아 트라이시티","27.42","202104","28","13,150","5","2021","대명역2길 70",""
"대구광역시 남구 대명동","1118-1","1118","1","앞산 삼정그린코아 트라이시티","27.42","202107","26","12,000","20","2021","대명역2길 70",""
"대구광역시 남구 대명동","1118-1","1118","1","앞산 삼정그린코아 트라이시티","29.18","202107","27","12,530","15","2021","대명역2길 70",""
"대구광역시 남구 대명동","145-4","145","4","챠밍오퓨런스","63.56","202010","5","8,000","5","2003","대명로 290",""
"대구광역시 남구 대명동","145-4","145","4","챠밍오퓨런스","63.56","202101","12","11,000","6","2003","대명로 290",""
"대구광역시 남구 대명동","145-4","145","4","챠밍오퓨런스","65.44","202101","19","8,800","3","2003","대명로 290",""
"대구광역시 남구 대명동","145-4","145","4","챠밍오퓨런스","65.44","202103","13","13,000","3","2003","대명로 290",""
"대구광역시 남구 대명동","145-4","145","4","챠밍오퓨런스","44.46","202105","7","10,500","10","2003","대명로 290",""
"대구광역시 남구 대명동","145-4","145","4","챠밍오퓨런스","46.8","202107","6","12,000","10","2003","대명로 290",""
"대구광역시 남구 봉덕동","862","862","0","강변 코오롱 하늘채","35.15","202101","15","9,700","3","2008","봉덕로 134",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","56.13","202010","17","17,300","7","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","56.13","202010","23","15,000","13","2012","봉덕로 135","20201105"
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","56.13","202010","23","16,000","13","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","40.02","202011","6","13,800","11","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202011","30","11,500","12","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202012","12","11,300","11","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202102","10","10,300","4","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202102","14","11,400","9","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202102","27","10,000","5","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202103","6","10,700","5","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","56.13","202104","22","17,500","12","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202104","22","11,500","6","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202105","4","10,600","8","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202105","10","11,400","11","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202106","28","11,300","8","2012","봉덕로 135",""
"대구광역시 남구 봉덕동","1635","1635","0","강변 효성 백년가약","38.82","202107","19","10,100","2","2012","봉덕로 135",""
