"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"대전광역시 대덕구 대화동","3*","다가구","8m미만","56.03","40","202010","30","6,000","1997","대화9길",""
"대전광역시 대덕구 대화동","3*","다가구","8m미만","104.39","76","202012","23","10,000","1996","대화7길",""
"대전광역시 대덕구 대화동","3*","단독","8m미만","39.58","72.5","202109","16","7,000","1985","동심1길",""
"대전광역시 대덕구 대화동","3*","단독","12m미만","43.4","82","202101","15","12,500","1992","대화9길",""
"대전광역시 대덕구 대화동","3*","단독","8m미만","47.88","84","202011","16","3,650","1985","늘봄3길","20201203"
"대전광역시 대덕구 대화동","3*","단독","12m미만","43.87","99","202101","19","15,000","1971","대화8길",""
"대전광역시 대덕구 대화동","3*","단독","8m미만","19.83","106","202109","14","12,000","1960","동심5길",""
"대전광역시 대덕구 대화동","2**","단독","8m미만","51.44","108","202011","24","11,900","1959","동심1길",""
"대전광역시 대덕구 대화동","3*","단독","8m미만","39.67","112","202010","28","11,100","1900","동심1길",""
"대전광역시 대덕구 대화동","3*","단독","8m미만","63.69","119","202103","15","16,400","1994","동심2길",""
"대전광역시 대덕구 대화동","3*","단독","8m미만","52.57","120","202105","28","15,000","1985","동심1길",""
