"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 대덕구 대화동","34","0034","0000","YH드림타운C동","54.24","202105","3","15,400","3","2003","대화1길 17-1",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","202011","4","8,400","2","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","202012","11","12,500","5","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","202102","26","15,500","4","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","202104","20","12,000","1","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","202104","23","15,900","2","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","202106","21","16,300","2","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","202108","28","18,950","1","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","202109","14","20,000","3","1978","대전로 1247",""
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","71.9","202011","9","13,500","2","1985","대화로 19",""
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","71.96","202011","16","10,200","2","1985","대화로 19",""
