"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 대덕구 대화동","16-221","0016","0221","(16-221)","54.42","32.79","202106","25","10,000","1","1990","대화13길 11",""
"대전광역시 대덕구 대화동","243-7","0243","0007","243-7","63.67","146.35","202107","5","6,000","1","1979","동심1길 97",""
"대전광역시 대덕구 대화동","34-30","0034","0030","YH드림타운B동","72.17","34.13","202102","24","13,700","4","2003","대화1길 19",""
"대전광역시 대덕구 대화동","34-30","0034","0030","YH드림타운B동","72.17","34.13","202102","25","13,700","4","2003","대화1길 19",""
"대전광역시 대덕구 대화동","36-25","0036","0025","가든다세대주택(36-25)","44.84","48.88","202107","24","15,000","2","1983","대화15길 91-3",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","20.16","8.67","202105","21","2,200","5","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","25.92","11.14","202105","21","2,800","3","2002","대오길 56","20210728"
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","25.86","11.12","202105","21","2,800","4","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","25.86","11.12","202105","21","2,800","3","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","25.86","11.12","202105","21","2,800","2","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","21.24","9.13","202105","21","2,300","2","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","21.96","9.44","202105","21","2,400","3","2002","대오길 56","20210728"
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","25.92","11.14","202105","21","2,800","5","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","21.96","9.44","202105","21","2,400","2","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","20.16","8.67","202105","21","2,200","2","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","25.92","11.14","202105","21","2,900","2","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","21.96","9.44","202105","21","2,400","4","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","20.16","8.67","202105","21","2,200","4","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","25.92","11.14","202105","21","2,800","4","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","21.24","9.13","202105","21","2,300","3","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","20.16","8.67","202105","21","2,200","3","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","25.92","11.14","202105","21","2,800","3","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","21.96","9.44","202105","21","2,400","3","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","21.24","9.13","202105","21","2,300","3","2002","대오길 56","20210728"
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","20.16","8.67","202105","21","2,200","3","2002","대오길 56","20210728"
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","21.24","9.13","202105","21","2,200","4","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","21.24","9.13","202105","21","2,800","5","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","47.82","20.56","202105","21","4,700","5","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","25.92","11.14","202107","20","5,900","2","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","25.92","11.14","202107","30","3,000","5","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-612","0035","0612","그레이스빌","20.16","8.67","202108","14","5,700","4","2002","대오길 56",""
"대전광역시 대덕구 대화동","35-495","0035","0495","금성백조A동","61.005","46.49","202010","21","9,500","2","1983","동심5길 38",""
"대전광역시 대덕구 대화동","35-495","0035","0495","금성백조A동","68.75","52.39","202011","18","10,300","1","1983","동심5길 38",""
"대전광역시 대덕구 대화동","35-495","0035","0495","금성백조A동","70.995","54.13","202012","14","11,000","3","1983","동심5길 38",""
