"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 대덕구 신탄진동","117-30","117","30","(117-30)","84.39","202103","8","17,800","8","2019","신탄진로834번길 15",""
"대전광역시 대덕구 신탄진동","117-30","117","30","(117-30)","79.87","202103","13","17,500","9","2019","신탄진로834번길 15",""
"대전광역시 대덕구 신탄진동","138-9","138","9","트윈스아파트","69.36","202101","11","15,500","2","2018","신탄진로796번길 51",""
"대전광역시 대덕구 신탄진동","138-9","138","9","트윈스아파트","79.71","202102","23","18,000","2","2018","신탄진로796번길 51",""
"대전광역시 대덕구 중리동","251-1","251","1","(251-1)","26.8","202101","11","5,500","6","2008","한밭대로 1158",""
"대전광역시 대덕구 중리동","251-1","251","1","(251-1)","58.47","202101","16","10,000","7","2008","한밭대로 1158",""
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","202104","7","6,500","3","1991","대전로867번길 52",""
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","202104","29","4,700","4","1991","대전로867번길 52",""
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","202104","29","4,700","4","1991","대전로867번길 52",""
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","202104","29","4,700","3","1991","대전로867번길 52",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","30.38","202102","17","900","10","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","39.24","202102","19","1,200","10","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","30.73","202102","19","900","15","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","39.24","202103","11","1,140","17","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","39.24","202103","11","1,140","12","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","30.38","202105","17","900","5","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","39.24","202105","20","1,230","17","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","44.69","202105","20","1,230","17","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","58.86","202105","29","1,680","5","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","30.73","202105","31","900","12","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","39.24","202106","2","1,140","8","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","45.78","202106","15","1,700","7","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","39.24","202106","15","1,600","11","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","45.78","202106","18","1,540","15","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","83.67","202108","25","2,500","9","1992","동서대로1572번길 173",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","48.59","202010","8","3,250","5","1991","용운로 163",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","45.24","202010","25","3,500","8","1991","용운로 163",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","48.59","202010","27","3,700","6","1991","용운로 163",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","48.59","202012","24","3,250","5","1991","용운로 163",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","48.59","202101","5","3,400","8","1991","용운로 163",""
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","202011","11","9,000","5","2018","도안남로 146",""
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","202104","10","8,450","4","2018","도안남로 146",""
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","202109","11","8,900","5","2018","도안남로 146",""
"대전광역시 서구 도마동","172-25","172","25","이든 듀플렉스빌","59.66","202105","14","21,305","6","2020","도산로 59",""
"대전광역시 서구 도마동","172-25","172","25","이든 듀플렉스빌","59.66","202105","18","22,069","8","2020","도산로 59",""
"대전광역시 서구 도마동","172-25","172","25","이든 듀플렉스빌","31.53","202105","18","12,802","6","2020","도산로 59",""
"대전광역시 서구 도마동","172-25","172","25","이든 듀플렉스빌","59.66","202105","18","21,687","7","2020","도산로 59",""
"대전광역시 서구 도마동","172-25","172","25","이든 듀플렉스빌","59.66","202105","29","22,833","10","2020","도산로 59",""
"대전광역시 서구 도마동","172-25","172","25","이든 듀플렉스빌","31.53","202106","1","13,184","8","2020","도산로 59",""
"대전광역시 서구 도마동","172-25","172","25","이든 듀플렉스빌","31.53","202106","4","12,552","5","2020","도산로 59",""
