"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"부산광역시 강서구 강동동","3***","단독","8m미만","35.37","129","202107","12","10,000","1926","원앙길",""
"부산광역시 강서구 강동동","6**","단독","8m미만","88.6","172","202011","20","22,500","1970","낙동북로135번길",""
"부산광역시 강서구 강동동","1***","단독","8m미만","93.88","200","202102","2","24,000","1925","제도로1002번가길","20210209"
"부산광역시 강서구 강동동","6**","단독","8m미만","98.51","216","202103","9","20,000","1982","낙동북로138번길",""
"부산광역시 강서구 강동동","6**","단독","8m미만","98.51","216","202103","9","20,000","1982","낙동북로138번길","20210330"
"부산광역시 강서구 강동동","6**","단독","8m미만","98.64","268","202102","22","50,749","2002","낙동북로138번길",""
"부산광역시 강서구 강동동","6**","단독","8m미만","98.64","268","202102","22","50,749","2002","낙동북로138번길","20210430"
"부산광역시 강서구 강동동","7**","단독","8m미만","33.39","281","202103","8","36,000","1941","제도로1041번나길",""
"부산광역시 강서구 강동동","1***","단독","8m미만","61.82","340","202102","19","27,000","1967","null",""
"부산광역시 강서구 강동동","3***","단독","8m미만","162.59","426","202104","2","51,600","1997","강동중곡2길",""
