"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"부산광역시 강서구 대저1동","2338-2","2338","2","태원더블루원","64.68","202108","23","17,700","6","2017","대저로 286",""
"부산광역시 강서구 대저1동","2338-2","2338","2","태원더블루원","67.62","202109","17","18,000","6","2017","대저로 286",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","29.44","202012","28","13,811","23","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","29.44","202102","17","13,646","24","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","41.74","202102","24","17,908","17","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202102","25","22,649","12","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202102","25","22,648","12","2020","명지국제7로 37","20210323"
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","50.71","202103","10","19,473","21","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202103","11","22,770","9","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","95.09","202104","5","23,017","13","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202104","8","23,001","8","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","95.09","202104","9","23,138","10","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","95.09","202104","12","23,017","14","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202104","12","22,891","14","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","29.44","202104","16","13,536","18","2020","명지국제7로 37","20210527"
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","29.44","202104","16","13,536","18","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","50.71","202104","29","19,473","22","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202105","24","23,111","9","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","29.44","202105","28","14,800","25","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202106","1","22,209","12","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202108","2","22,308","9","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202108","2","21,747","11","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202108","19","19,222","3","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202108","20","19,519","8","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202108","20","19,431","11","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202109","3","19,035","13","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202109","3","19,035","12","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202109","3","19,134","7","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","29.44","202109","3","11,788","19","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","29.44","202109","27","11,909","23","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","29.44","202109","28","11,788","17","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","95.09","202109","30","26,570","9","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202010","5","8,900","12","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","36.18","202011","18","13,500","14","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202011","19","6,500","15","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202012","1","6,000","19","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202012","26","5,800","19","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202012","30","5,500","18","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202102","16","6,100","19","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","36.18","202102","27","13,300","18","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202104","16","5,350","11","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202104","18","5,900","13","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202105","20","5,000","11","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202106","14","6,000","8","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202106","29","6,300","18","2015","명지오션시티9로 50",""
