"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"세종특별자치시 고운동","2***","단독","-","121.44","310.7","202107","28","61,538","2021","null",""
"세종특별자치시 고운동","1***","단독","25m미만","256.64","332","202101","9","133,000","2021","고운서4길",""
"세종특별자치시 고운동","1***","단독","12m미만","249.97","341","202011","19","124,000","2015","만남1북로","20210104"
"세종특별자치시 금남면 국곡리","2*","단독","8m미만","76.81","288","202105","14","18,000","2000","국곡길",""
"세종특별자치시 금남면 금천리","2**","단독","8m미만","76.08","440","202012","24","20,000","1944","금천1길",""
"세종특별자치시 금남면 금천리","2**","단독","8m미만","80","1253","202010","5","39,560","2010","금천1길",""
"세종특별자치시 금남면 달전리","3**","단독","8m미만","99.27","459","202101","16","32,500","1999","문절사길",""
"세종특별자치시 금남면 달전리","3**","단독","-","92.31","549","202105","20","16,600","1956","null",""
"세종특별자치시 금남면 대박리","3**","단독","8m미만","157.05","362","202011","5","41,700","2015","청운가길",""
"세종특별자치시 금남면 대박리","3**","단독","8m미만","157.05","362","202011","5","41,700","2015","청운가길","20210128"
"세종특별자치시 금남면 대박리","3**","단독","8m미만","121.63","521","202012","28","52,000","2015","청운가길",""
"세종특별자치시 금남면 도남리","1**","단독","8m미만","171.82","399","202104","7","32,391","2013","도남2길",""
"세종특별자치시 금남면 도남리","2**","단독","8m미만","180.13","551","202012","24","67,100","2004","도남1길",""
"세종특별자치시 금남면 도암리","3**","단독","8m미만","116.8","356","202103","22","15,000","1990","도암2길",""
"세종특별자치시 금남면 두만리","3**","단독","8m미만","126.96","394","202106","18","45,270","2014","두만길",""
"세종특별자치시 금남면 두만리","3**","단독","8m미만","114.37","397","202011","2","30,000","2004","두만길",""
"세종특별자치시 금남면 두만리","1**","단독","8m미만","166.97","453","202108","14","55,000","1996","두만산동길",""
"세종특별자치시 금남면 발산리","1**","단독","12m미만","131.64","330","202011","17","56,000","2010","발산3길",""
"세종특별자치시 금남면 봉암리","1**","단독","8m미만","99.98","242","202101","30","26,000","2002","진동길",""
"세종특별자치시 금남면 성강리","4**","단독","8m미만","154.5","377","202108","27","13,800","2000","null",""
"세종특별자치시 금남면 성덕리","3**","단독","8m미만","140.13","554","202012","14","30,700","1985","성덕2길",""
"세종특별자치시 금남면 성덕리","2**","단독","8m미만","62.81","559","202011","16","22,800","1928","성덕도암길","20210319"
"세종특별자치시 금남면 성덕리","2**","단독","8m미만","62.81","559","202011","16","22,800","1928","성덕도암길",""
"세종특별자치시 금남면 영곡리","3**","단독","8m미만","126.84","196","202104","5","14,160","2004","호병골길",""
