"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202011","20","52,800","4","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202011","21","53,900","8","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202011","23","48,000","3","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","105.6138","202011","26","87,000","11","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202012","17","50,000","4","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","105.6138","202012","19","77,000","5","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202101","20","54,000","14","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202101","26","51,900","17","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202102","7","54,000","10","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202102","10","52,800","13","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","105.6138","202103","2","90,000","3","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202103","3","54,300","10","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202104","17","50,500","4","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202105","2","52,300","16","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202105","3","52,000","14","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","105.7788","202105","18","85,000","17","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","84.9544","202105","25","66,000","15","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","84.9544","202105","29","66,500","9","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","84.6663","202106","25","88,000","1","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","84.9544","202107","3","67,500","18","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","84.9544","202107","28","66,500","16","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202108","24","47,500","2","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","84.9544","202108","28","72,500","17","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","59.6506","202108","31","49,700","7","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","84.9544","202108","31","74,000","15","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","84.9544","202109","2","68,500","8","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","84.9544","202109","2","70,000","5","2019","밝은뜰로 15",""
"세종특별자치시 고운동","2111","2111","0000","가락마을 19단지","84.9544","202109","18","72,000","13","2019","밝은뜰로 15",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202011","3","65,000","22","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202011","21","67,100","10","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202011","27","69,500","14","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202012","4","69,500","11","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","59.8338","202012","15","52,800","13","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202012","18","67,000","10","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202012","23","68,700","15","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202012","23","64,400","2","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202012","28","70,000","11","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","59.8338","202101","17","52,000","16","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","59.8338","202102","4","52,000","11","2015","만남로 190","20210225"
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","59.8338","202102","4","52,000","11","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202102","23","64,000","5","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202102","27","69,800","22","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202103","13","68,500","17","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","59.8338","202104","10","48,500","4","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202104","10","66,500","14","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202104","12","63,000","4","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202104","13","64,000","4","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202104","15","64,000","22","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","59.9897","202104","24","49,000","8","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202105","9","69,000","16","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202105","13","69,500","14","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","59.9897","202105","21","47,000","8","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","84.9895","202108","21","62,500","1","2015","만남로 190",""
"세종특별자치시 고운동","1396","1396","0000","가락마을 20단지(호반베르디움5차)","59.8338","202109","4","50,000","9","2015","만남로 190",""
"세종특별자치시 고운동","1731","1731","0000","가락마을 2단지","107.1433","202011","25","82,000","14","2019","마음로 49",""
"세종특별자치시 고운동","1731","1731","0000","가락마을 2단지","107.1433","202012","3","96,500","8","2019","마음로 49",""
"세종특별자치시 고운동","1731","1731","0000","가락마을 2단지","111.3013","202102","3","88,500","8","2019","마음로 49",""
"세종특별자치시 고운동","1731","1731","0000","가락마을 2단지","107.1433","202104","2","88,500","8","2019","마음로 49",""
"세종특별자치시 고운동","1731","1731","0000","가락마을 2단지","111.3059","202108","7","89,500","9","2019","마음로 49",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","73.713","202011","21","51,000","3","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","73.713","202012","17","55,800","19","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","84.9837","202012","26","66,000","10","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","84.9837","202101","13","65,000","14","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","59.9907","202101","20","49,900","17","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","59.9907","202101","20","53,200","11","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","73.713","202102","6","54,900","5","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","73.713","202102","6","57,500","3","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","84.9837","202102","7","66,000","12","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","59.9907","202102","24","52,000","27","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","84.9837","202104","13","68,500","19","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","59.9907","202104","26","45,800","10","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","84.9837","202105","8","64,000","10","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","59.9907","202107","8","52,000","22","2016","마음로 152",""
"세종특별자치시 고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","59.9907","202107","9","51,300","19","2016","마음로 152",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","84.606","202010","28","58,000","13","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","84.606","202011","4","63,000","20","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","59.655","202011","12","48,000","6","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","59.655","202011","14","47,000","6","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","84.606","202011","14","65,000","26","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","84.606","202011","28","61,000","9","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","84.606","202012","12","60,000","3","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","59.655","202101","3","47,500","3","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","59.655","202101","16","49,000","8","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","84.606","202102","27","62,200","5","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","59.655","202103","1","49,900","14","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","84.606","202103","14","61,500","3","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","59.655","202104","9","45,700","3","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","84.606","202104","25","62,500","22","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","84.606","202105","1","62,000","9","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","59.655","202107","22","44,850","12","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","84.606","202108","9","59,000","27","2015","마음로 182",""
"세종특별자치시 고운동","1401","1401","0000","가락마을13단지(대광로제비앙)","84.606","202108","14","58,500","23","2015","마음로 182",""
"세종특별자치시 고운동","1403","1403","0000","가락마을14단지(우남퍼스트빌)","107.5986","202010","14","70,000","16","2020","마음안로 131",""
"세종특별자치시 고운동","1403","1403","0000","가락마을14단지(우남퍼스트빌)","107.5986","202011","8","72,000","10","2020","마음안로 131",""
"세종특별자치시 고운동","1393","1393","0000","가락마을15단지(중흥파크뷰)","59.9917","202011","25","51,900","13","2015","마음안로 190",""
"세종특별자치시 고운동","1393","1393","0000","가락마을15단지(중흥파크뷰)","73.9816","202101","9","58,800","9","2015","마음안로 190",""
"세종특별자치시 고운동","1393","1393","0000","가락마을15단지(중흥파크뷰)","59.9917","202102","26","51,000","2","2015","마음안로 190",""
"세종특별자치시 고운동","1393","1393","0000","가락마을15단지(중흥파크뷰)","59.9917","202103","17","47,000","11","2015","마음안로 190",""
"세종특별자치시 고운동","1393","1393","0000","가락마을15단지(중흥파크뷰)","59.9917","202104","20","50,500","11","2015","마음안로 190",""
"세종특별자치시 고운동","1393","1393","0000","가락마을15단지(중흥파크뷰)","73.9816","202104","24","59,000","3","2015","마음안로 190",""
"세종특별자치시 고운동","1393","1393","0000","가락마을15단지(중흥파크뷰)","73.9816","202105","1","68,000","18","2015","마음안로 190",""
"세종특별자치시 고운동","1393","1393","0000","가락마을15단지(중흥파크뷰)","59.9917","202108","23","47,000","2","2015","마음안로 190",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","84.8788","202010","12","60,000","25","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","84.8788","202011","14","61,000","25","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","59.9964","202011","21","49,000","4","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","84.8788","202011","22","65,800","22","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","59.9964","202011","27","51,000","17","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","84.8788","202012","12","65,000","4","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","59.8399","202103","1","50,000","7","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","84.8668","202103","6","65,000","18","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","59.9964","202103","19","52,200","13","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","59.8399","202104","15","48,000","4","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","59.9964","202107","24","47,500","8","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","84.8668","202108","29","67,500","7","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","59.9964","202109","5","47,000","4","2015","만남로 187",""
"세종특별자치시 고운동","1395","1395","0000","가락마을16단지(에듀그린)","59.9964","202109","25","48,000","11","2015","만남로 187",""
"세종특별자치시 고운동","1386","1386","0000","가락마을17단지(골드클래스)","59.9159","202010","8","50,000","16","2015","마음안1로 167",""
"세종특별자치시 고운동","1386","1386","0000","가락마을17단지(골드클래스)","59.9881","202010","23","43,000","3","2015","마음안1로 167",""
"세종특별자치시 고운동","1386","1386","0000","가락마을17단지(골드클래스)","59.9881","202010","26","47,000","4","2015","마음안1로 167",""
"세종특별자치시 고운동","1386","1386","0000","가락마을17단지(골드클래스)","59.9159","202011","15","40,200","10","2015","마음안1로 167","20201217"
"세종특별자치시 고운동","1386","1386","0000","가락마을17단지(골드클래스)","59.9809","202011","16","48,000","8","2015","마음안1로 167",""
"세종특별자치시 고운동","1386","1386","0000","가락마을17단지(골드클래스)","59.9159","202011","17","47,900","4","2015","마음안1로 167",""
