"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"세종특별자치시 금남면 도남리","95","0095","0000","금강의휴양림마을(프로방스빌)","54.342","41.32","202011","18","13,800","1","2015","도남2길 2",""
"세종특별자치시 금남면 도남리","95","0095","0000","금강의휴양림마을(프로방스빌)","54.342","41.32","202011","28","17,000","4","2015","도남2길 2",""
"세종특별자치시 금남면 도남리","95","0095","0000","금강의휴양림마을(프로방스빌)","52.182","39.68","202012","22","22,000","1","2015","도남2길 2",""
"세종특별자치시 금남면 도남리","95","0095","0000","금강의휴양림마을(프로방스빌)","52.182","39.68","202101","24","16,500","2","2015","도남2길 2","20210625"
"세종특별자치시 금남면 도남리","95","0095","0000","금강의휴양림마을(프로방스빌)","52.182","39.68","202106","30","22,000","3","2015","도남2길 2",""
"세종특별자치시 금남면 도남리","97","0097","0000","금강휴양림마을(프로방스빌)","56.07","50.94","202010","8","5,000","1","2015","도남2길 12",""
"세종특별자치시 금남면 용포리","144","0144","0000","금남주택","41.13","24.15","202011","25","5,000","1","1987","용포느티나무길 14","20201208"
"세종특별자치시 금남면 용포리","107","0107","0000","금융주택(107)","59.2","40","202101","21","7,100","4","1991","용포쑥티1길 24-1",""
"세종특별자치시 금남면 용포리","107","0107","0000","금융주택(107)","59.2","40","202101","23","9,000","3","1991","용포쑥티1길 24-1",""
"세종특별자치시 금남면 용포리","107","0107","0000","금융주택(107)","59.2","40","202101","23","11,000","4","1991","용포쑥티1길 24-1",""
"세종특별자치시 금남면 용포리","107","0107","0000","금융주택(107)","59.2","40","202103","30","10,800","4","1991","용포쑥티1길 24-1",""
"세종특별자치시 금남면 용포리","107","0107","0000","금융주택(107)","59.2","40","202107","10","8,600","2","1991","용포쑥티1길 24-1",""
"세종특별자치시 금남면 용포리","148-4","0148","0004","금융주택(148-4)","56.61","41.78","202012","22","7,900","4","1992","용포중앙1길 18",""
"세종특별자치시 금남면 용포리","53-2","0053","0002","학산빌라","68.09","58.39","202010","22","9,000","4","1995","용포쑥티2길 5-5",""
"세종특별자치시 금남면 용포리","53-2","0053","0002","학산빌라","61.44","51.19","202012","10","8,900","4","1995","용포쑥티2길 5-5",""
"세종특별자치시 금남면 용포리","53-2","0053","0002","학산빌라","65.4","55.56","202012","14","9,000","3","1995","용포쑥티2길 5-5",""
"세종특별자치시 금남면 용포리","53-2","0053","0002","학산빌라","65.4","55.56","202103","8","9,416","3","1995","용포쑥티2길 5-5",""
"세종특별자치시 금남면 용포리","53-2","0053","0002","학산빌라","65.4","55.56","202103","30","12,900","3","1995","용포쑥티2길 5-5",""
"세종특별자치시 금남면 용포리","53-2","0053","0002","학산빌라","64.325","55.16","202107","9","12,000","4","1995","용포쑥티2길 5-5",""
"세종특별자치시 금남면 용포리","53-2","0053","0002","학산빌라","77.79","66.08","202108","22","15,000","3","1995","용포쑥티2길 5-5",""
"세종특별자치시 도담동","674","0674","0000","까사누보","22.686","8.48","202101","4","10,450","4","2015","보듬3로 8-23",""
"세종특별자치시 도담동","674","0674","0000","까사누보","22.7964","8.48","202101","27","11,000","4","2015","보듬3로 8-23",""
"세종특별자치시 도담동","674","0674","0000","까사누보","22.686","8.48","202103","12","9,450","4","2015","보듬3로 8-23",""
"세종특별자치시 도담동","674","0674","0000","까사누보","22.686","8.48","202103","17","10,400","4","2015","보듬3로 8-23",""
