"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"울산광역시 남구 달동","5**","다가구","8m미만","112.17","99","202012","3","28,000","1984","번영로153번길",""
"울산광역시 남구 달동","6**","다가구","8m미만","167.73","141.8","202107","13","27,700","1989","삼산로107번길",""
"울산광역시 남구 달동","5**","다가구","12m미만","171.28","144.4","202011","4","67,000","1990","번영로153번길",""
"울산광역시 남구 달동","6**","다가구","12m미만","272.49","146.7","202105","18","74,000","2014","신정로78번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","271.09","148.9","202108","23","113,000","2018","왕생로10번길",""
"울산광역시 남구 달동","5**","다가구","12m미만","165.98","151.5","202011","6","62,000","1985","삼산로155번길",""
"울산광역시 남구 달동","6**","다가구","8m미만","166.04","165","202010","22","37,000","1985","번영로163번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","258.78","166.7","202104","22","80,000","1994","번영로156번길",""
"울산광역시 남구 달동","5**","다가구","12m미만","336.94","169.4","202101","21","96,000","2017","신정로88번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","339.7","171.1","202010","16","103,000","2017","번영로75번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","339.7","171.1","202010","16","103,000","2017","번영로75번길","20210126"
"울산광역시 남구 달동","5**","다가구","12m미만","187.42","179.6","202105","30","36,000","1989","신정로58번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","361.61","181.5","202106","6","154,000","2017","신정로20번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","360.76","182.3","202102","3","143,000","2017","신정로20번길",""
"울산광역시 남구 달동","1**","다가구","12m미만","380.86","191","202103","17","142,000","2015","삼산로144번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","386.37","193.8","202102","6","162,500","2019","번영로75번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","387.54","194","202101","27","150,000","2020","번영로75번길",""
"울산광역시 남구 달동","8**","다가구","8m미만","399.7","195.2","202103","23","83,500","2009","중앙로186번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","395.12","198.3","202011","2","140,500","2002","신정로34번길",""
"울산광역시 남구 달동","8**","다가구","12m미만","471.93","198.3","202107","13","110,000","2012","중앙로156번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","315.71","200","202011","4","68,000","2002","신정로38번길",""
"울산광역시 남구 달동","8**","다가구","12m미만","454.12","200.6","202011","28","116,000","2014","중앙로166번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","400.68","201.1","202011","25","70,500","2002","신정로34번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","247.97","202.4","202107","18","97,000","1993","왕생로100번길",""
"울산광역시 남구 달동","5**","다가구","12m미만","398.3","204.3","202104","1","114,000","2013","삼산로169번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","380.35","205","202104","21","87,500","2006","번영로180번길",""
"울산광역시 남구 달동","1***","다가구","8m미만","328.7","205.3","202101","14","96,800","1994","왕생로20번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","405.6","207.3","202012","30","158,500","2017","삼산중로131번길",""
"울산광역시 남구 달동","1***","다가구","12m미만","418.58","208.2","202011","25","160,000","2007","번영로180번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","421.11","208.9","202103","8","76,000","1999","신정로38번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","332.88","209","202011","13","100,000","2001","신정로34번길",""
"울산광역시 남구 달동","1**","다가구","8m미만","347.22","209","202103","6","93,000","2004","신정로34번길",""
