"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"울산광역시 남구 달동","865-1","0865","0001","강남맨션","71.27","202012","7","12,000","1","1980","삼산로77번길 18",""
"울산광역시 남구 달동","865-1","0865","0001","강남맨션","69.03","202107","19","9,950","5","1980","삼산로77번길 18",""
"울산광역시 남구 달동","638-2","0638","0002","광명아트빌","82.8799","202010","7","19,900","4","2005","돋질로102번길 5-10",""
"울산광역시 남구 달동","638-2","0638","0002","광명아트빌","82.8799","202106","3","19,000","5","2005","돋질로102번길 5-10",""
"울산광역시 남구 달동","883-7","0883","0007","구룡유토빌","63.48","202011","18","17,100","10","2004","중앙로166번길 14",""
"울산광역시 남구 달동","641-2","0641","0002","내일네스트","81.5355","202010","26","16,200","4","2007","돋질로102번길 13",""
"울산광역시 남구 달동","641-2","0641","0002","내일네스트","81.5355","202011","18","15,500","3","2007","돋질로102번길 13",""
"울산광역시 남구 달동","641-2","0641","0002","내일네스트","84.7973","202106","7","18,000","5","2007","돋질로102번길 13",""
"울산광역시 남구 달동","879-1","0879","0001","늘안애","82.7488","202103","24","27,800","10","2018","돋질로76번길 12",""
"울산광역시 남구 달동","879-1","0879","0001","늘안애","82.7488","202103","24","27,800","10","2018","돋질로76번길 12",""
"울산광역시 남구 달동","879-1","0879","0001","늘안애","83.5112","202104","19","27,800","15","2018","돋질로76번길 12",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.76","202010","8","24,900","13","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.76","202010","15","18,000","3","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.76","202010","16","24,250","20","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.76","202010","17","25,000","4","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.76","202010","26","26,350","12","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","76.02","202010","28","31,300","11","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.76","202010","31","25,400","9","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.76","202011","7","24,000","4","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.76","202011","10","25,500","12","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.76","202011","10","25,700","7","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","76.02","202011","14","29,000","4","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.76","202011","14","25,400","4","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","76.02","202011","15","31,700","17","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","76.02","202011","16","31,800","16","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","76.02","202011","17","36,900","11","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.925","202011","18","25,700","6","1999","중앙로128번길 54",""
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.76","202011","18","25,600","11","1999","중앙로128번길 54","20210122"
"울산광역시 남구 달동","809-1","0809","0001","달동SKVIEW","59.925","202011","18","25,700","6","1999","중앙로128번길 54","20201215"
