"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","57.01","29.96","202012","28","21,500","3","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","53.27","28.05","202012","28","20,800","4","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","57.01","29.96","202012","28","21,900","5","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","55.4","29.1","202012","28","21,650","4","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","57.01","29.96","202012","28","21,300","2","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","53.27","28.05","202012","28","20,500","4","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","57.01","29.96","202012","28","21,900","4","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","55.4","29.1","202012","28","21,650","5","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","51.27","26.98","202012","28","20,000","5","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","51.27","26.98","202012","28","19,700","5","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","55.4","29.1","202012","28","21,100","2","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","53.27","28.05","202012","28","20,300","2","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","53.27","28.05","202012","28","19,900","2","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","53.27","28.05","202012","28","20,100","3","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","53.27","28.05","202012","28","20,500","3","2020","중앙로176번길 19",""
"울산광역시 남구 달동","871-7","0871","0007","(871-7)","55.4","29.1","202012","28","21,300","3","2020","중앙로176번길 19",""
"울산광역시 남구 달동","633-13","0633","0013","(목화빌라)","70.97","44.63","202108","11","12,500","3","1995","중앙로166번길 57-9",""
"울산광역시 남구 달동","625-8","0625","0008","L-PARK","65.74","28.28","202011","10","20,690","8","2017","신정로 66",""
"울산광역시 남구 달동","625-8","0625","0008","L-PARK","65.74","28.28","202103","19","19,000","5","2017","신정로 66",""
"울산광역시 남구 달동","641-7","0641","0007","강남빌리지","71.28","37.56","202103","12","12,800","4","2002","중앙로166번길 43-17",""
"울산광역시 남구 달동","871-19","0871","0019","강산아이빌","37.62","18.75","202107","20","6,500","3","2002","삼산로83번길 39",""
"울산광역시 남구 달동","596-6","0596","0006","경동빌라","143.531","99.73","202012","15","32,000","2","1992","신정로58번길 13",""
"울산광역시 남구 달동","1274-24","1274","0024","고속유성빌라A동","69.6","58.3","202101","9","11,900","1","1997","번영로94번길 17",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","31.0414","15.24","202109","8","7,400","4","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","27.8714","13.68","202109","8","7,000","3","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","29.5184","14.49","202109","8","7,000","4","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","27.8714","13.68","202109","8","6,500","5","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","31.0414","15.24","202109","8","7,100","5","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","47.2325","23.18","202109","8","9,000","5","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","27.8714","13.68","202109","8","7,000","2","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","31.0414","15.24","202109","8","7,500","2","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","31.0414","15.24","202109","8","7,200","2","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","29.5184","14.49","202109","8","7,100","2","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","27.8714","13.68","202109","8","7,000","4","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","29.5184","14.49","202109","8","7,000","3","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","31.0414","15.24","202109","8","7,200","3","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","31.0414","15.24","202109","8","7,500","3","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","1305-25","1305","0025","골든뷰B","31.0414","15.24","202109","8","7,100","4","2012","삼산중로6번길 14-1",""
"울산광역시 남구 달동","618-15","0618","0015","국신빌라A동","76.1","39.43","202107","30","16,900","2","1997","돋질로140번길 2",""
"울산광역시 남구 달동","618-13","0618","0013","국신빌라B동","72.72","45.63","202107","7","15,000","4","1998","신정로88번길 4",""
"울산광역시 남구 달동","1287-2","1287","0002","남산빌라(가,나동)","46.47","34.64","202106","23","12,000","1","1992","삼산중로5번길 7",""
"울산광역시 남구 달동","1287-2","1287","0002","남산빌라(가,나동)","69.24","47.61","202106","29","12,000","3","1992","삼산중로5번길 7",""
"울산광역시 남구 달동","864-18","0864","0018","다움빌라","74.33","49.42","202109","29","16,000","2","2003","삼산로83번길 16",""
"울산광역시 남구 달동","882-2","0882","0002","대원맨숀","72.66","37.73","202103","29","14,300","1","1979","중앙로166번길 8",""
"울산광역시 남구 달동","884-4","0884","0004","동광연립","59.37","50.41","202102","27","14,750","2","1978","중앙로156번길 12",""
"울산광역시 남구 달동","611-16","0611","0016","동부햇살채","68.611","40.67","202105","3","21,800","4","2015","신정로68번길 13",""
"울산광역시 남구 달동","939-4","0939","0004","동원파크홈","59.32","38.18","202103","10","14,500","4","2002","신정로33번길 17",""
"울산광역시 남구 달동","634-29","0634","0029","동인그린빌B동","74.675","39.29","202011","23","15,000","2","2002","삼산로125번길 36",""
"울산광역시 남구 달동","592-7","0592","0007","반천","60.99","36.68","202106","5","8,400","4","1980","신정로54번길 14",""
"울산광역시 남구 달동","642-3","0642","0003","복성코아트1차","71.96","31.81","202102","5","11,800","4","2002","삼산로93번길 16-13",""
"울산광역시 남구 달동","638-12","0638","0012","삼흥원룸","29.4","12.49","202012","1","4,400","4","1997","신정로87번길 24",""
"울산광역시 남구 달동","638-12","0638","0012","삼흥원룸","29.4","12.49","202102","8","3,800","4","1997","신정로87번길 24",""
"울산광역시 남구 달동","638-12","0638","0012","삼흥원룸","29.4","12.49","202103","10","4,400","2","1997","신정로87번길 24",""
"울산광역시 남구 달동","638-12","0638","0012","삼흥원룸","29.4","12.49","202105","26","4,300","3","1997","신정로87번길 24",""
"울산광역시 남구 달동","638-12","0638","0012","삼흥원룸","29.4","12.49","202105","28","3,900","3","1997","신정로87번길 24",""
"울산광역시 남구 달동","638-4","0638","0004","삼흥원룸A동","29.4","11.53","202104","13","4,500","3","1997","신정로87번길 28",""
"울산광역시 남구 달동","586-2","0586","0002","송암아트빌라","131.5","83.18","202104","14","28,500","3","1993","신정로58번길 33",""
"울산광역시 남구 달동","613-23","0613","0023","송암파크빌라에이동","37.3","22.4","202104","27","7,000","1","1992","번영로173번길 33",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","27.847","15.93","202108","30","4,560","4","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","27.847","15.93","202108","30","4,560","2","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","30.6335","17.51","202108","30","4,960","4","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","30.4435","17.41","202108","30","4,860","4","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","27.847","15.93","202108","30","4,560","1","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","28.3435","16.21","202108","30","4,610","1","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","34.3035","19.62","202108","30","5,520","1","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","28.3435","16.21","202108","30","4,610","2","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","28.3435","16.21","202108","30","4,610","3","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","36.2535","20.74","202108","30","5,810","3","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","36.2535","20.74","202108","30","5,810","2","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","36.2535","20.74","202108","30","5,810","3","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","28.3435","16.21","202108","30","4,610","3","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","27.847","15.93","202108","30","4,560","3","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","36.2535","20.74","202108","30","5,810","2","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","28.3435","16.21","202108","30","4,610","1","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","34.3035","19.62","202108","30","5,520","1","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","1274-3","1274","0003","스카이원룸","28.3435","16.21","202108","30","4,610","2","2001","달삼로10번길 9-14",""
"울산광역시 남구 달동","630-49","0630","0049","신신빌라B동","57.78","27.78","202104","30","10,500","5","2002","삼산로125번길 19",""
"울산광역시 남구 달동","865-7","0865","0007","양지빌라","73.9","41.85","202109","29","17,300","4","2002","삼산로83번길 13",""
"울산광역시 남구 달동","639-8","0639","0008","우농빌라","68.23","30.41","202101","7","15,500","5","2003","신정로87번길 30",""
"울산광역시 남구 달동","639-8","0639","0008","우농빌라","67.25","29.98","202104","19","16,500","3","2003","신정로87번길 30",""
"울산광역시 남구 달동","1389-1","1389","0001","월평빌라","70.53","45.7","202106","11","19,000","1","1993","삼산로94번길 19",""
"울산광역시 남구 달동","616-11","0616","0011","육일상가","46.8","34.67","202012","28","7,000","3","1980","돋질로 136",""
"울산광역시 남구 달동","611-1","0611","0001","주영주택","45.01","30.3","202011","20","7,000","3","1986","번영로163번길 25",""
"울산광역시 남구 달동","611-1","0611","0001","주영주택","45.01","30.3","202012","12","3,900","1","1986","번영로163번길 25",""
"울산광역시 남구 달동","611-1","0611","0001","주영주택","43.36","29.2","202108","24","11,100","2","1986","번영로163번길 25",""
"울산광역시 남구 달동","1280-1","1280","0001","진영파크빌라(A,B)동","64.22","39.27","202010","25","11,500","1","1992","왕생로20번길 2",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.64","15.38","202106","4","5,000","1","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.64","15.38","202106","4","5,000","4","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.64","15.38","202106","4","5,000","1","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.64","15.38","202106","4","5,000","2","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.64","15.38","202106","4","5,000","2","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.715","15.43","202106","4","5,000","2","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.715","15.43","202106","4","5,000","4","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.64","15.38","202106","4","5,000","3","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.64","15.38","202106","4","5,000","3","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.715","15.43","202106","4","5,000","3","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.715","15.43","202106","4","5,000","3","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.64","15.38","202106","4","5,000","4","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.715","15.43","202106","4","5,000","4","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1346-3","1346","0003","파라다이스","26.715","15.43","202106","4","5,000","2","2002","왕생로77번길 9",""
"울산광역시 남구 달동","1281-15","1281","0015","파크빌리지B동","26.31","17.4","202107","18","6,000","3","2001","왕생로10번길 15",""
"울산광역시 남구 달동","1281-15","1281","0015","파크빌리지B동","23.925","15.8","202107","18","4,500","1","2001","왕생로10번길 15",""
"울산광역시 남구 달동","1281-15","1281","0015","파크빌리지B동","23.925","15.8","202107","18","4,500","1","2001","왕생로10번길 15",""
"울산광역시 남구 달동","1281-15","1281","0015","파크빌리지B동","26.31","17.4","202107","18","6,000","2","2001","왕생로10번길 15",""
"울산광역시 남구 달동","1281-15","1281","0015","파크빌리지B동","26.31","17.4","202107","18","6,000","4","2001","왕생로10번길 15",""
"울산광역시 남구 달동","1281-15","1281","0015","파크빌리지B동","23.925","15.8","202107","18","4,500","4","2001","왕생로10번길 15",""
"울산광역시 남구 달동","1281-15","1281","0015","파크빌리지B동","23.925","15.8","202107","18","4,500","4","2001","왕생로10번길 15",""
"울산광역시 남구 달동","1281-15","1281","0015","파크빌리지B동","23.925","15.8","202107","18","4,500","4","2001","왕생로10번길 15",""
"울산광역시 남구 달동","1281-15","1281","0015","파크빌리지B동","23.925","15.8","202107","18","4,500","3","2001","왕생로10번길 15",""
"울산광역시 남구 달동","1281-15","1281","0015","파크빌리지B동","23.925","15.8","202107","18","4,500","3","2001","왕생로10번길 15",""
