"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 울산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"울산광역시 남구 달동","619-5","619","5","(619-5)","32.48","202104","5","8,300","6","2015","신정로 70",""
"울산광역시 남구 달동","619-5","619","5","(619-5)","32.48","202104","21","7,500","4","2015","신정로 70",""
"울산광역시 남구 달동","619-5","619","5","(619-5)","32.48","202105","27","9,000","4","2015","신정로 70",""
"울산광역시 남구 달동","619-5","619","5","(619-5)","33.46","202106","2","8,000","10","2015","신정로 70","20210929"
"울산광역시 남구 달동","619-5","619","5","(619-5)","32.48","202108","13","9,500","9","2015","신정로 70",""
"울산광역시 남구 달동","619-5","619","5","(619-5)","33.46","202109","29","8,100","10","2015","신정로 70",""
"울산광역시 남구 달동","881-10","881","10","(881-10)","47.67","202108","1","25,000","4","2020","중앙로 158",""
"울산광역시 남구 달동","1326-2","1326","2","동산오피스텔","28.6","202012","3","4,500","13","2003","돋질로 204",""
"울산광역시 남구 달동","1326-2","1326","2","동산오피스텔","28.6","202101","15","4,800","13","2003","돋질로 204",""
"울산광역시 남구 달동","1326-2","1326","2","동산오피스텔","28.6","202103","18","4,600","7","2003","돋질로 204",""
"울산광역시 남구 달동","1326-2","1326","2","동산오피스텔","28.6","202104","5","4,900","15","2003","돋질로 204",""
"울산광역시 남구 달동","1326-2","1326","2","동산오피스텔","28.6","202105","10","5,200","8","2003","돋질로 204",""
"울산광역시 남구 달동","1326-2","1326","2","동산오피스텔","28.6","202106","9","5,000","3","2003","돋질로 204",""
"울산광역시 남구 달동","1326-2","1326","2","동산오피스텔","28.6","202108","31","5,000","10","2003","돋질로 204",""
"울산광역시 남구 달동","578-1","578","1","번영로 코아루 더 클래식","22.59","202011","20","8,900","3","2017","번영로 167",""
"울산광역시 남구 달동","578-1","578","1","번영로 코아루 더 클래식","22.59","202104","15","9,900","5","2017","번영로 167",""
"울산광역시 남구 달동","578-1","578","1","번영로 코아루 더 클래식","22.59","202104","15","9,900","4","2017","번영로 167",""
"울산광역시 남구 달동","578-1","578","1","번영로 코아루 더 클래식","30.08","202105","6","13,500","4","2017","번영로 167",""
"울산광역시 남구 달동","630-5","630","5","스타팰리스 NO.1","84.09","202011","23","27,000","2","2018"," ",""
"울산광역시 남구 달동","630-5","630","5","스타팰리스 NO.1","84.09","202011","25","26,500","2","2018"," ",""
"울산광역시 남구 달동","1302-2","1302","2","우진 더 퍼스트클래스","27.02","202104","29","13,850","16","2020","달삼로84번길 18",""
"울산광역시 남구 달동","1364-1","1364","1","울산 센트럴자이","33.27","202101","14","13,900","16","2015","삼산로 231",""
"울산광역시 남구 달동","1364-1","1364","1","울산 센트럴자이","33.39","202103","29","13,000","23","2015","삼산로 231",""
"울산광역시 남구 달동","1364-1","1364","1","울산 센트럴자이","33.31","202105","3","12,900","24","2015","삼산로 231",""
"울산광역시 남구 달동","1364-1","1364","1","울산 센트럴자이","33.27","202105","7","14,400","18","2015","삼산로 231",""
"울산광역시 남구 달동","1364-1","1364","1","울산 센트럴자이","33.39","202105","20","14,000","10","2015","삼산로 231",""
"울산광역시 남구 달동","625-8","625","8","제1동","84.54","202103","18","18,660","4","2017","신정로 66",""
"울산광역시 남구 달동","1309-11","1309","11","한영오피스텔B동","48","202101","13","6,800","8","2003","꽃대나리로95번길 13",""
