"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"인천광역시 강화군 강화읍 갑곳리","3**","단독","8m미만","84.58","133","202012","24","11,050","1986","갑룡길56번길",""
"인천광역시 강화군 강화읍 갑곳리","3**","단독","8m미만","85.75","144","202101","14","18,000","1987","갑룡길70번길",""
"인천광역시 강화군 강화읍 갑곳리","3**","단독","12m미만","84.4","148","202104","24","19,000","1987","갑룡길70번길",""
"인천광역시 강화군 강화읍 갑곳리","3**","단독","8m미만","180.26","161","202105","22","18,500","1987","갑룡길62번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","126.95","230","202105","31","39,500","2021","강화대로216번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","126.95","230","202105","31","39,500","2021","강화대로216번길","20210729"
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","126.95","233","202106","17","40,000","2021","강화대로216번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","138.41","239","202101","17","36,500","2019","강화대로216번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","143.04","244","202101","17","36,600","2019","강화대로216번길","20210215"
"인천광역시 강화군 강화읍 갑곳리","1**","단독","12m미만","108.62","250","202103","23","37,140","2004","강화대로312번길",""
"인천광역시 강화군 강화읍 갑곳리","6*","단독","8m미만","192.92","279","202101","27","53,500","2020","갑룡길73번길",""
"인천광역시 강화군 강화읍 갑곳리","6*","단독","-","173.62","282","202012","10","52,000","2020","갑룡길73번길",""
"인천광역시 강화군 강화읍 갑곳리","6*","단독","-","186.05","282","202012","30","49,000","2020","갑룡길73번길",""
"인천광역시 강화군 강화읍 갑곳리","6*","단독","8m미만","174.96","285","202012","8","49,000","2020","갑룡길73번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","108.47","292","202106","22","29,600","2016","강화대로216번길",""
"인천광역시 강화군 강화읍 갑곳리","4**","단독","8m미만","108.47","292","202109","29","30,800","2016","강화대로216번길",""
"인천광역시 강화군 강화읍 갑곳리","9**","단독","8m미만","45.06","328","202103","9","13,300","1977","강화대로175번길",""
"인천광역시 강화군 강화읍 갑곳리","3**","단독","12m미만","609.9","408","202103","5","100,000","1996","강화대로312번길",""
"인천광역시 강화군 강화읍 갑곳리","5**","단독","8m미만","192.01","595","202010","30","39,846","2015","강화대로215번길",""
"인천광역시 강화군 강화읍 관청리","9**","다가구","12m미만","86.08","216","202106","17","20,000","2005","송악길",""
"인천광역시 강화군 강화읍 관청리","8**","단독","12m미만","41.99","92","202105","13","7,400","1965","송악길",""
"인천광역시 강화군 강화읍 관청리","5**","단독","8m미만","53.12","109","202109","15","9,000","1968","강화대로430번길",""
"인천광역시 강화군 강화읍 관청리","8**","단독","8m미만","48.57","116","202012","21","15,400","1980","궁골길5번길",""
"인천광역시 강화군 강화읍 관청리","6**","단독","8m미만","113.27","118","202012","8","8,000","2001","북문4길",""
"인천광역시 강화군 강화읍 관청리","9**","단독","8m미만","51.48","129","202108","9","11,700","2001","향교길",""
"인천광역시 강화군 강화읍 관청리","9**","단독","8m미만","45.76","139","202102","16","12,500","1976","향교길",""
"인천광역시 강화군 강화읍 관청리","9**","단독","8m미만","49.18","139","202010","5","12,300","1975","향교길",""
"인천광역시 강화군 강화읍 관청리","1**","단독","8m미만","73.98","141","202012","23","17,500","1980","강화대로",""
"인천광역시 강화군 강화읍 관청리","3*","단독","8m미만","88.08","147","202103","1","14,000","1993","새말길8번길",""
"인천광역시 강화군 강화읍 관청리","6**","단독","8m미만","87.01","149","202012","8","11,300","2021","관청길",""
"인천광역시 강화군 강화읍 관청리","9**","단독","12m미만","41.5","154","202012","7","6,500","2000","송악길",""
"인천광역시 강화군 강화읍 관청리","2**","단독","8m미만","54.28","188","202106","1","12,200","1976","새말길15번길",""
"인천광역시 강화군 강화읍 관청리","3**","단독","8m미만","64.44","188","202107","10","14,341","2010","북문길42번길",""
"인천광역시 강화군 강화읍 관청리","8**","단독","8m미만","128.06","188","202102","1","22,000","1981","송악길14번길",""
"인천광역시 강화군 강화읍 관청리","2**","단독","8m미만","152.38","198","202104","25","20,000","1986","동문안길45번길",""
"인천광역시 강화군 강화읍 관청리","5**","단독","8m미만","86.34","202","202101","29","23,500","2016","관청길55번길",""
"인천광역시 강화군 강화읍 관청리","7**","단독","8m미만","85.68","205","202109","7","27,700","1981","궁골길11번길",""
"인천광역시 강화군 강화읍 관청리","1**","단독","8m미만","31.23","215","202011","25","7,000","1955","동문로",""
"인천광역시 강화군 강화읍 관청리","9**","단독","8m미만","52.02","261","202102","16","16,000","1976","향교길",""
"인천광역시 강화군 강화읍 관청리","4*","단독","8m미만","96.36","482","202103","8","33,700","2020","동문로",""
"인천광역시 강화군 강화읍 관청리","4*","단독","8m미만","96.15","483","202102","23","33,000","2020","동문로",""
"인천광역시 강화군 강화읍 관청리","4*","단독","8m미만","96.15","484","202010","8","33,679","2020","동문로",""
"인천광역시 강화군 강화읍 관청리","4*","단독","8m미만","96.36","485","202011","10","33,679","2020","동문로",""
"인천광역시 강화군 강화읍 관청리","9*","단독","8m미만","321.42","613","202012","6","50,200","1990","대월로",""
"인천광역시 강화군 강화읍 국화리","7**","단독","8m미만","61.08","193","202011","2","16,700","2018","시리미로313번길",""
"인천광역시 강화군 강화읍 국화리","1**","단독","8m미만","103.47","238","202012","7","9,500","1935","강화대로516번길",""
"인천광역시 강화군 강화읍 국화리","6**","단독","-","134.26","267","202012","28","24,230","2020","고비고개로282번길",""
"인천광역시 강화군 강화읍 국화리","7**","단독","8m미만","103.52","269","202103","10","23,000","2015","시리미로313번길",""
"인천광역시 강화군 강화읍 국화리","4**","단독","12m미만","64.27","286","202105","3","13,200","1950","국화길",""
"인천광역시 강화군 강화읍 국화리","6*","단독","8m미만","97.6","324","202106","7","34,000","2016","국화길12번길",""
"인천광역시 강화군 강화읍 국화리","6*","단독","8m미만","97.6","332","202103","15","23,000","2016","국화길12번길",""
"인천광역시 강화군 강화읍 국화리","7**","단독","8m미만","102.68","390","202108","14","26,160","2019","시리미로313번길","20211001"
"인천광역시 강화군 강화읍 국화리","7**","단독","8m미만","104.4","458","202105","22","31,485","2020","시리미로313번길",""
"인천광역시 강화군 강화읍 국화리","7**","단독","8m미만","104.4","458","202105","22","32,000","2020","시리미로313번길","20210618"
"인천광역시 강화군 강화읍 국화리","7**","단독","8m미만","116.76","475","202104","13","28,645","2017","시리미로313번길",""
"인천광역시 강화군 강화읍 국화리","8**","단독","8m미만","115.38","479","202102","15","23,000","2018","시리미로313번길",""
"인천광역시 강화군 강화읍 국화리","7**","단독","-","149.97","491","202108","20","37,500","2021","시리미로313번길",""
"인천광역시 강화군 강화읍 국화리","7**","단독","-","155.12","491","202108","17","37,800","2021","시리미로313번길",""
"인천광역시 강화군 강화읍 국화리","2**","단독","8m미만","98.46","510","202106","10","33,400","2021","고비고개로",""
"인천광역시 강화군 강화읍 국화리","2**","단독","8m미만","98.46","510","202109","15","36,425","2001","고비고개로",""
"인천광역시 강화군 강화읍 남산리","5*","다가구","8m미만","901.35","510","202108","27","140,000","2008","남문로23번길","20210917"
"인천광역시 강화군 강화읍 남산리","5*","다가구","8m미만","901.35","510","202108","27","140,000","2008","남문로23번길",""
"인천광역시 강화군 강화읍 남산리","1**","단독","8m미만","29.75","112","202105","1","9,500","2001","부조고개길46번길",""
"인천광역시 강화군 강화읍 남산리","7*","단독","8m미만","102.09","188","202109","18","25,000","1981","남문로43번길","20211019"
"인천광역시 강화군 강화읍 남산리","7*","단독","8m미만","102.09","188","202109","18","25,000","1981","남문로43번길",""
"인천광역시 강화군 강화읍 남산리","1**","단독","12m미만","54.02","324","202103","24","27,000","1947","부조고개길",""
"인천광역시 강화군 강화읍 남산리","4**","단독","8m미만","99.65","477.5","202103","20","32,000","2014","화성길",""
"인천광역시 강화군 강화읍 남산리","4**","단독","8m미만","154.01","500","202105","20","35,000","2005","충렬사로",""
"인천광역시 강화군 강화읍 남산리","4**","단독","8m미만","169.2","500","202010","27","35,700","2005","충렬사로",""
"인천광역시 강화군 강화읍 남산리","4**","단독","8m미만","142.34","577.6","202105","22","55,000","2014","화성길50번길",""
"인천광역시 강화군 강화읍 남산리","3**","단독","12m미만","640","1628","202105","13","220,000","2016","충렬사로","20210611"
"인천광역시 강화군 강화읍 남산리","3**","단독","12m미만","640","1628","202105","13","220,000","2016","충렬사로",""
"인천광역시 강화군 강화읍 대산리","1***","단독","8m미만","107.1","276","202107","25","27,030","2001","null",""
"인천광역시 강화군 강화읍 대산리","1***","단독","8m미만","107.1","276","202107","25","27,070","2017","null","20210824"
"인천광역시 강화군 강화읍 대산리","9**","단독","8m미만","89.8","304","202104","7","18,750","2011","대산길51번길",""
"인천광역시 강화군 강화읍 대산리","8**","단독","8m미만","96.59","307","202104","30","25,371","2018","연미정길108번길",""
"인천광역시 강화군 강화읍 대산리","7**","단독","8m미만","39.67","311","202105","6","13,700","1935","대산길184번길",""
"인천광역시 강화군 강화읍 대산리","1***","단독","8m미만","99.49","327","202108","26","31,200","2015","대월로277번길",""
