"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"전라남도 강진군 강진읍 교촌리","1**","단독","12m미만","97.36","298","202105","31","15,800","2017","강진신풍길",""
"전라남도 강진군 강진읍 교촌리","1**","단독","8m미만","83.62","354","202105","10","2,000","1958","교촌길",""
"전라남도 강진군 강진읍 남성리","5*","단독","12m미만","39.6","10","202106","3","500","1960","보은로4길",""
"전라남도 강진군 강진읍 남성리","*","단독","12m미만","173.46","106","202103","17","33,000","1976","영랑로3길",""
"전라남도 강진군 강진읍 남성리","1*","단독","12m미만","132.22","107.8","202108","24","27,000","1982","영랑로3길",""
"전라남도 강진군 강진읍 남성리","2*","단독","8m미만","179.1","150","202102","24","17,300","2016","보은로안길",""
"전라남도 강진군 강진읍 남성리","2*","단독","12m미만","138.8","150.7","202108","4","23,500","1984","보은로2길",""
"전라남도 강진군 강진읍 남성리","2*","단독","12m미만","58.24","178.5","202011","12","17,000","1989","보은로2길",""
"전라남도 강진군 강진읍 남성리","2*","단독","8m미만","142.15","185.2","202011","13","15,500","1988","보은로3길",""
"전라남도 강진군 강진읍 남성리","1**","단독","8m미만","69.42","202","202106","16","15,000","1964","탐진로",""
"전라남도 강진군 강진읍 남성리","2*","단독","12m미만","491.48","209.3","202104","26","45,000","1990","보은로2길",""
"전라남도 강진군 강진읍 남성리","*","단독","12m미만","261.5","238","202107","5","45,000","2000","보은로3길",""
"전라남도 강진군 강진읍 남포리","2**","단독","8m미만","48.6","142","202102","19","2,000","1974","남포길",""
"전라남도 강진군 강진읍 남포리","1**","단독","8m미만","49.6","198","202103","16","5,100","1981","남포2길",""
"전라남도 강진군 강진읍 덕남리","4*","단독","8m미만","69.1","117","202107","29","750","1959","강진덕동길",""
"전라남도 강진군 강진읍 덕남리","4**","단독","8m미만","42.3","434.8","202107","22","936","1969","null",""
"전라남도 강진군 강진읍 덕남리","2**","단독","8m미만","58.4","645","202010","12","1,800","1970","춘곡길",""
"전라남도 강진군 강진읍 덕남리","3**","단독","8m미만","86.7","748.5","202012","7","10,000","2020","기룡3길",""
"전라남도 강진군 강진읍 동성리","1**","단독","12m미만","130.2","20","202105","17","5,700","1972","보은로4길",""
"전라남도 강진군 강진읍 동성리","2**","단독","8m미만","35.02","99","202104","15","3,630","1990","고내길",""
"전라남도 강진군 강진읍 동성리","2**","단독","12m미만","119","126","202107","16","17,000","1997","중앙로",""
"전라남도 강진군 강진읍 동성리","1**","단독","8m미만","59.5","147","202107","9","6,000","1981","중앙로",""
"전라남도 강진군 강진읍 동성리","1**","단독","8m미만","59.5","147","202104","13","6,000","1981","중앙로","20210709"
"전라남도 강진군 강진읍 동성리","4**","단독","8m미만","78.36","165","202102","24","4,500","1989","탐진로",""
"전라남도 강진군 강진읍 동성리","2**","단독","12m미만","151.8","194","202101","9","16,300","1992","향교로",""
"전라남도 강진군 강진읍 동성리","7*","단독","8m미만","59.5","279","202105","6","10,000","1981","새동네길",""
"전라남도 강진군 강진읍 동성리","3**","단독","8m미만","139","340","202104","30","6,500","1975","연지길",""
"전라남도 강진군 강진읍 동성리","3*","단독","25m미만","74.9","382","202103","26","20,000","2018","보은로",""
"전라남도 강진군 강진읍 동성리","3**","단독","8m미만","80.17","430","202106","14","25,500","1947","동문길","20210923"
"전라남도 강진군 강진읍 동성리","3**","단독","8m미만","125.49","430","202109","23","25,500","1947","동문길",""
