"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라남도 강진군 강진읍 남성리","26-4","0026","0004","탑클래스빌","82.5683","202010","28","16,000","9","2012","영랑로1길 26",""
"전라남도 강진군 강진읍 남성리","26-4","0026","0004","탑클래스빌","82.5683","202010","29","16,000","9","2012","영랑로1길 26",""
"전라남도 강진군 강진읍 남성리","26-4","0026","0004","탑클래스빌","82.5683","202107","9","16,200","4","2012","영랑로1길 26",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.98","202011","12","17,000","8","2005","서문길 29-9","20201214"
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.98","202011","12","17,000","8","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","59.988","202012","11","16,600","7","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.952","202012","29","17,400","2","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","117.222","202106","21","25,000","12","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","595","0595","0000","강진뉴캐슬아파트","84.87","202102","18","24,400","3","2018","탐진로 51",""
"전라남도 강진군 강진읍 서성리","595","0595","0000","강진뉴캐슬아파트","84.87","202103","2","24,970","6","2018","탐진로 51",""
"전라남도 강진군 강진읍 서성리","595","0595","0000","강진뉴캐슬아파트","84.87","202103","4","24,530","3","2018","탐진로 51",""
"전라남도 강진군 강진읍 서성리","595","0595","0000","강진뉴캐슬아파트","84.87","202104","27","24,970","6","2018","탐진로 51",""
"전라남도 강진군 강진읍 서성리","595","0595","0000","강진뉴캐슬아파트","84.87","202107","4","27,000","2","2018","탐진로 51",""
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","84.9769","202010","28","24,000","8","2019","서문길 15-1",""
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","84.9769","202011","24","24,500","6","2019","서문길 15-1",""
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","84.9769","202103","12","25,800","2","2019","서문길 15-1",""
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","84.9769","202106","2","24,500","3","2019","서문길 15-1",""
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","84.9769","202106","21","25,000","2","2019","서문길 15-1",""
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","84.9769","202108","3","24,500","4","2019","서문길 15-1",""
"전라남도 강진군 강진읍 서성리","596","0596","0000","강진서성남양휴튼아파트1단지","84.9769","202108","18","25,500","8","2019","서문길 15-1",""
"전라남도 강진군 강진읍 서성리","597","0597","0000","강진서성남양휴튼아파트2단지","84.9769","202011","4","27,500","17","2019","서문길 15-1",""
"전라남도 강진군 강진읍 서성리","597","0597","0000","강진서성남양휴튼아파트2단지","84.9769","202012","9","25,500","2","2019","서문길 15-1",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","58.98","202010","29","7,550","5","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","35.19","202011","24","4,600","2","1995","고성길 2",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","35.19","202101","13","3,600","2","1995","고성길 2",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","35.19","202101","19","3,500","4","1995","고성길 2",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","59.94","202102","3","6,700","1","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","58.98","202106","17","8,200","6","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","39.87","202109","30","6,000","4","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","95","0095","0000","건우2차","37.8","202108","30","4,800","8","2007","서성1길 21",""
"전라남도 강진군 강진읍 서성리","58-1","0058","0001","대동맨션","84.24","202010","10","7,500","4","1990","삼일로 42",""
"전라남도 강진군 강진읍 서성리","58-1","0058","0001","대동맨션","84.24","202012","23","7,300","5","1990","삼일로 42",""
"전라남도 강진군 강진읍 서성리","58-1","0058","0001","대동맨션","84.6","202106","16","6,450","2","1990","삼일로 42",""
"전라남도 강진군 강진읍 서성리","80-1","0080","0001","대라수","59.9758","202101","21","12,400","2","2012","고성길 26-2",""
"전라남도 강진군 강진읍 서성리","80-1","0080","0001","대라수","59.9758","202107","13","13,900","1","2012","고성길 26-2",""
"전라남도 강진군 강진읍 서성리","210","0210","0000","더브이베르가","84.9567","202010","22","23,000","4","2018","서성안길 39-1","20201112"
"전라남도 강진군 강진읍 서성리","210","0210","0000","더브이베르가","84.9567","202010","22","23,000","4","2018","서성안길 39-1",""
"전라남도 강진군 강진읍 서성리","95-6","0095","0006","세원하이클래스","84.9105","202012","4","21,000","8","2016","서성1길 18",""
"전라남도 강진군 강진읍 서성리","96-8","0096","0008","시엔에스후레쉬빌","84.969","202101","4","15,500","7","2001","서성1길 24",""
"전라남도 강진군 강진읍 서성리","96-8","0096","0008","시엔에스후레쉬빌","84.969","202106","14","14,000","11","2001","서성1길 24",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","59.92","202011","23","11,800","2","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","84.783","202101","20","17,000","8","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","59.92","202105","12","12,600","10","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","59.92","202109","30","13,500","13","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","146-8","0146","0008","제일맨션","84.89","202010","7","6,800","5","1993","신성길 31",""
"전라남도 강진군 강진읍 서성리","59-1","0059","0001","한성노블","44.5962","202012","11","8,500","5","2012","삼일로 46",""
"전라남도 강진군 강진읍 서성리","59-1","0059","0001","한성노블","44.5962","202012","28","8,900","7","2012","삼일로 46",""
"전라남도 강진군 강진읍 서성리","59-1","0059","0001","한성노블","44.5962","202103","25","8,400","2","2012","삼일로 46",""
"전라남도 강진군 강진읍 평동리","231-2","0231","0002","금호","58.665","202012","28","10,000","7","1996","평동2길 31",""
"전라남도 강진군 강진읍 평동리","176-2","0176","0002","대송베스트빌","73.832","202101","29","13,000","2","2004","영랑로 25-9",""
"전라남도 강진군 강진읍 평동리","244-1","0244","0001","대아","84.89","202012","11","10,000","2","1992","중앙동길 6",""
"전라남도 강진군 강진읍 평동리","244-1","0244","0001","대아","58.95","202102","2","8,000","5","1992","중앙동길 6",""
"전라남도 강진군 강진읍 평동리","244-1","0244","0001","대아","58.17","202103","31","6,000","1","1992","중앙동길 6",""
"전라남도 강진군 강진읍 평동리","244-1","0244","0001","대아","81.9","202105","25","9,100","8","1992","중앙동길 6",""
"전라남도 강진군 강진읍 평동리","244-1","0244","0001","대아","58.95","202107","21","6,500","2","1992","중앙동길 6",""
"전라남도 강진군 강진읍 평동리","244-1","0244","0001","대아","84.89","202108","20","10,500","4","1992","중앙동길 6",""
"전라남도 강진군 강진읍 평동리","244-1","0244","0001","대아","58.95","202109","14","8,000","2","1992","중앙동길 6",""
"전라남도 강진군 강진읍 평동리","340","0340","0000","이에스아뜨리움","59.8919","202011","19","14,000","10","2013","금릉3길 35",""
"전라남도 강진군 강진읍 평동리","340","0340","0000","이에스아뜨리움","59.8919","202012","21","13,100","2","2013","금릉3길 35",""
"전라남도 강진군 강진읍 평동리","340","0340","0000","이에스아뜨리움","84.8806","202012","30","17,700","5","2013","금릉3길 35",""
"전라남도 강진군 강진읍 평동리","340","0340","0000","이에스아뜨리움","59.8919","202101","18","14,100","8","2013","금릉3길 35",""
"전라남도 강진군 강진읍 평동리","340","0340","0000","이에스아뜨리움","84.8806","202101","23","17,800","4","2013","금릉3길 35",""
"전라남도 강진군 강진읍 평동리","340","0340","0000","이에스아뜨리움","59.7916","202102","4","14,100","4","2013","금릉3길 35",""
"전라남도 강진군 강진읍 평동리","340","0340","0000","이에스아뜨리움","59.8211","202103","14","14,000","10","2013","금릉3길 35",""
"전라남도 강진군 강진읍 평동리","340","0340","0000","이에스아뜨리움","84.8806","202103","18","17,900","2","2013","금릉3길 35",""
"전라남도 강진군 강진읍 평동리","340","0340","0000","이에스아뜨리움","84.8806","202103","22","18,000","11","2013","금릉3길 35",""
"전라남도 강진군 강진읍 평동리","340","0340","0000","이에스아뜨리움","84.9182","202103","25","18,000","2","2013","금릉3길 35",""
"전라남도 강진군 강진읍 평동리","340","0340","0000","이에스아뜨리움","59.8919","202104","23","13,900","9","2013","금릉3길 35",""
"전라남도 강진군 강진읍 평동리","340","0340","0000","이에스아뜨리움","59.8211","202104","30","13,250","2","2013","금릉3길 35",""
