"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"전라북도 고창군 고수면 봉산리","1**","단독","8m미만","95.1","651","202011","23","900","1997","봉산1길",""
"전라북도 고창군 고수면 상평리","8*","단독","8m미만","149.84","1395","202103","22","23,783","2018","고수로",""
"전라북도 고창군 고수면 인성리","1**","단독","8m미만","98","598","202012","28","4,700","1976","대성길",""
"전라북도 고창군 고수면 장두리","4**","단독","8m미만","122.4","664","202104","27","8,200","2021","오산길",""
"전라북도 고창군 고수면 장두리","4**","단독","8m미만","98.93","1213","202101","31","22,950","2014","오산길",""
"전라북도 고창군 고수면 초내리","1**","단독","8m미만","161.65","823","202102","2","7,600","2021","내창수곡길",""
"전라북도 고창군 고수면 평지리","산*","단독","8m미만","68.9","595","202011","9","1,200","1955","내창수곡길",""
"전라북도 고창군 고수면 황산리","3**","단독","12m미만","96.4","183","202108","3","8,500","1992","고수로",""
"전라북도 고창군 고수면 황산리","3**","단독","8m미만","84.8","322.5","202102","24","12,800","1995","문화마을길",""
"전라북도 고창군 고창읍 교촌리","1**","단독","8m미만","66.24","198","202107","20","15,000","1979","교촌1길",""
"전라북도 고창군 고창읍 교촌리","3**","단독","12m미만","96.02","224.1","202104","5","26,500","2011","월곡2길",""
"전라북도 고창군 고창읍 교촌리","4**","단독","12m미만","99.73","242.5","202106","29","29,000","2004","월곡3길",""
"전라북도 고창군 고창읍 교촌리","1**","단독","8m미만","60.46","376","202109","30","20,000","1981","교촌1길",""
"전라북도 고창군 고창읍 교촌리","1**","단독","12m미만","118.76","1096","202108","19","52,000","1994","교촌2길",""
"전라북도 고창군 고창읍 교촌리","1**","단독","12m미만","118.76","1096","202107","30","52,000","1994","교촌2길",""
"전라북도 고창군 고창읍 내동리","2**","단독","8m미만","99.57","655","202103","24","15,000","2011","은동길",""
"전라북도 고창군 고창읍 덕정리","1**","단독","8m미만","68.5","499","202011","20","7,500","1914","덕정1길",""
"전라북도 고창군 고창읍 덕정리","1**","단독","8m미만","61.82","820","202103","9","13,000","1985","덕정1길",""
"전라북도 고창군 고창읍 도산리","2**","단독","8m미만","114.8","453","202104","20","5,920","1910","도산1길",""
"전라북도 고창군 고창읍 도산리","4**","단독","8m미만","125","641","202104","26","3,500","2001","도산2길",""
"전라북도 고창군 고창읍 성두리","8*","단독","8m미만","69.1","519","202103","25","2,000","1951","상성길",""
"전라북도 고창군 고창읍 신월리","1**","단독","8m미만","70.35","454","202011","28","9,500","1901","신월길",""
"전라북도 고창군 고창읍 신월리","1**","단독","8m미만","99.51","529","202105","14","20,500","2012","신월전원길",""
"전라북도 고창군 고창읍 신월리","1**","단독","8m미만","96.46","531","202108","20","16,500","2013","신월전원길",""
"전라북도 고창군 고창읍 월곡리","6**","다가구","12m미만","218.27","229.6","202107","5","37,000","2015","월곡10길",""
"전라북도 고창군 고창읍 월곡리","7**","다가구","12m미만","241.88","263.2","202107","28","37,500","2008","월곡14길",""
"전라북도 고창군 고창읍 월곡리","7**","단독","12m미만","86.4","243.1","202103","8","15,000","2003","월곡10길",""
"전라북도 고창군 고창읍 월곡리","7**","단독","12m미만","95.04","243.1","202103","8","17,500","2001","월곡공원1길",""
"전라북도 고창군 고창읍 월곡리","9**","단독","12m미만","107.45","442.9","202011","20","31,000","2013","월곡뉴타운1길",""
"전라북도 고창군 고창읍 월곡리","9**","단독","25m미만","99.96","444.2","202107","9","28,000","2013","월곡뉴타운2길",""
"전라북도 고창군 고창읍 월산리","2**","단독","8m미만","99.66","224","202101","29","8,000","2015","산정길",""
"전라북도 고창군 고창읍 월산리","3*","단독","8m미만","150.48","608","202109","2","30,000","2018","산정길",""
"전라북도 고창군 고창읍 월암리","5*","단독","8m미만","51","485","202102","8","8,840","1968","월암안길",""
"전라북도 고창군 고창읍 읍내리","8**","다가구","12m미만","692.66","226","202101","12","82,000","1991","천변북로",""
"전라북도 고창군 고창읍 읍내리","3**","단독","8m미만","37.3","36","202010","16","3,800","1966","동리로",""
"전라북도 고창군 고창읍 읍내리","*","단독","8m미만","21","93","202108","20","1,100","2005","천변남로",""
"전라북도 고창군 고창읍 읍내리","*","단독","8m미만","46.8","136","202010","16","4,700","2001","천변남로",""
"전라북도 고창군 고창읍 읍내리","3**","단독","12m미만","263.78","158","202101","20","27,000","1997","남정10길",""
"전라북도 고창군 고창읍 읍내리","4**","단독","8m미만","98.28","182","202103","30","21,000","2011","시장길",""
"전라북도 고창군 고창읍 읍내리","5**","단독","12m미만","138.35","186","202102","23","17,250","1980","남정1길",""
"전라북도 고창군 고창읍 읍내리","2**","단독","8m미만","99.11","194","202107","26","11,700","1985","성산2길",""
"전라북도 고창군 고창읍 읍내리","4**","단독","8m미만","86.45","212","202101","8","11,500","1973","남정2길",""
"전라북도 고창군 고창읍 읍내리","1***","단독","25m미만","254.67","218.1","202103","9","18,000","1996","중거리당산로",""
"전라북도 고창군 고창읍 읍내리","5**","단독","8m미만","84.42","397","202104","26","21,000","1983","남정2길",""
"전라북도 고창군 고창읍 읍내리","4**","단독","8m미만","108.66","413","202102","8","12,000","1997","서문2길",""
"전라북도 고창군 고창읍 읍내리","1**","단독","12m미만","79.3","430","202011","2","23,000","1941","동리로",""
"전라북도 고창군 고창읍 읍내리","5*","단독","8m미만","85.5","1164","202010","20","24,600","1997","동산2길",""
"전라북도 고창군 고창읍 주곡리","3**","단독","8m미만","47","96","202012","29","500","1924","주곡1길",""
"전라북도 고창군 고창읍 주곡리","8*","단독","8m미만","96.86","394","202104","6","9,500","1996","신상길",""
"전라북도 고창군 고창읍 주곡리","3**","단독","25m미만","237.55","803","202103","2","39,500","2010","녹두로",""
"전라북도 고창군 고창읍 화산리","4**","단독","8m미만","178.38","618","202105","6","11,000","2015","화산길",""
"전라북도 고창군 공음면 건동리","7**","단독","8m미만","145.37","733","202107","6","8,000","1970","건동길",""
"전라북도 고창군 공음면 구암리","4**","단독","8m미만","68","331","202102","15","4,000","1923","마래길",""
"전라북도 고창군 공음면 구암리","8**","단독","8m미만","34.6","523","202103","8","1,400","1945","구암장동길",""
"전라북도 고창군 공음면 군유리","2**","단독","8m미만","19.1","249","202101","4","500","1982","하군길",""
"전라북도 고창군 공음면 군유리","2*","단독","8m미만","87.21","630","202106","10","20,000","2016","비석중화길",""
"전라북도 고창군 공음면 군유리","5**","단독","8m미만","92.3","773","202101","22","1,000","1997","하군길",""
"전라북도 고창군 공음면 두암리","4**","단독","12m미만","91","435.5","202102","9","910","1954","동학농민군로","20210312"
"전라북도 고창군 공음면 두암리","2**","단독","8m미만","99.63","659","202010","15","12,000","2015","null",""
"전라북도 고창군 공음면 두암리","4**","단독","8m미만","55","802","202103","12","910","1954","동학농민군로",""
"전라북도 고창군 공음면 선동리","2**","단독","8m미만","70","610","202107","1","6,500","1958","거성길",""
"전라북도 고창군 공음면 선동리","7**","단독","8m미만","89.53","659","202101","23","22,500","2016","학원농장길",""
"전라북도 고창군 공음면 선동리","2*","단독","8m미만","83.6","714","202109","1","3,600","2018","거성길",""
"전라북도 고창군 공음면 예전리","1**","단독","8m미만","54.5","129","202104","26","600","1950","상예1길",""
"전라북도 고창군 공음면 예전리","1**","단독","12m미만","144.2","1121","202011","18","5,700","1971","공음대산로",""
"전라북도 고창군 공음면 칠암리","9**","단독","8m미만","24","360","202109","3","2,000","2009","원동길",""
"전라북도 고창군 공음면 칠암리","1**","단독","8m미만","55.4","407","202106","3","2,650","1996","칠암용산길",""
"전라북도 고창군 공음면 칠암리","6**","단독","8m미만","99.46","545","202010","13","8,500","1999","연동길",""
"전라북도 고창군 대산면 광대리","6**","단독","8m미만","96.63","786","202011","4","9,000","2015","광대신평길",""
"전라북도 고창군 대산면 덕천리","1**","단독","8m미만","47.27","268","202102","1","1,900","1980","덕천길",""
"전라북도 고창군 대산면 덕천리","1**","단독","8m미만","58.9","456","202011","18","3,900","1993","덕천길",""
"전라북도 고창군 대산면 덕천리","2**","단독","8m미만","176.2","612","202106","24","1,500","1940","백운길",""
"전라북도 고창군 대산면 매산리","1**","단독","12m미만","140.3","98","202107","15","8,000","1981","대산시장길",""
"전라북도 고창군 대산면 매산리","1**","단독","25m미만","79.2","144","202103","5","2,200","1985","대성로",""
"전라북도 고창군 대산면 매산리","2**","단독","12m미만","180.31","213","202101","28","11,000","1980","공음대산로",""
"전라북도 고창군 대산면 상금리","9*","단독","8m미만","79.38","304","202108","2","10,500","1998","상금길",""
"전라북도 고창군 대산면 상금리","1**","단독","8m미만","96.3","985","202106","28","2,500","2004","상금길",""
"전라북도 고창군 대산면 성남리","4**","단독","8m미만","113.23","874","202105","5","14,250","2015","성남길",""
"전라북도 고창군 대산면 연동리","1**","단독","8m미만","60.96","1270","202105","15","5,500","2012","장동길",""
"전라북도 고창군 대산면 율촌리","7*","단독","-","61.1","645","202107","14","650","1980","null",""
"전라북도 고창군 대산면 중산리","6**","단독","8m미만","79.96","727","202107","29","19,300","2014","목교길",""
"전라북도 고창군 대산면 중산리","6**","단독","8m미만","79.96","821","202106","7","19,500","2014","목교길","20210819"
"전라북도 고창군 대산면 춘산리","2**","단독","8m미만","101.6","1240","202010","29","3,900","1925","약산동촌길",""
"전라북도 고창군 무장면 고라리","3**","단독","8m미만","103.5","928","202101","21","5,600","1986","원고라길",""
"전라북도 고창군 무장면 덕림리","3**","단독","8m미만","88.07","608","202012","10","7,450","2008","덕림방축안길",""
"전라북도 고창군 무장면 목우리","6**","단독","8m미만","109.5","812","202103","23","15,000","2020","null",""
"전라북도 고창군 무장면 목우리","8**","단독","-","79.2","1029","202107","7","1,800","1976","null",""
"전라북도 고창군 무장면 무장리","1**","단독","25m미만","122.31","471","202107","30","9,000","1983","금정1길",""
"전라북도 고창군 무장면 성내리","8*","단독","8m미만","98.61","647","202105","17","5,300","2000","무장남북로",""
"전라북도 고창군 무장면 송계리","2**","단독","8m미만","85.56","195","202108","12","700","2018","방현기동길",""
"전라북도 고창군 무장면 송계리","3**","단독","12m미만","95.73","597","202106","2","16,100","2006","null","20211019"
"전라북도 고창군 무장면 월림리","9*","단독","8m미만","32.7","279","202101","11","800","1926","용전길",""
"전라북도 고창군 무장면 월림리","5**","단독","8m미만","76.84","331","202011","28","2,500","1985","월림죽림길",""
"전라북도 고창군 무장면 월림리","5**","단독","8m미만","108","506","202104","2","1,700","1901","월림죽림길",""
"전라북도 고창군 무장면 월림리","5**","단독","8m미만","108","506","202109","27","1,900","1901","월림죽림길",""
"전라북도 고창군 부안면 검산리","3**","단독","8m미만","44","575","202108","21","14,000","2003","검산중산길",""
"전라북도 고창군 부안면 봉암리","4**","단독","8m미만","32.4","476","202103","10","4,000","1901","인촌안길",""
"전라북도 고창군 부안면 상암리","1**","단독","8m미만","57.76","635","202012","21","2,800","2010","원당길",""
"전라북도 고창군 부안면 선운리","5**","단독","8m미만","31.5","304","202104","8","4,050","1901","진마안길",""
"전라북도 고창군 부안면 선운리","5**","단독","8m미만","66.7","684","202107","12","3,524","1915","진마안길",""
"전라북도 고창군 부안면 수남리","4**","단독","8m미만","84.94","398","202102","26","11,300","2016","선양길",""
"전라북도 고창군 부안면 수앙리","4**","단독","8m미만","18","628","202105","9","2,900","null","수앙신촌길","20210511"
"전라북도 고창군 부안면 오산리","1**","단독","12m미만","78.69","433","202010","19","6,000","1988","복분자로",""
"전라북도 고창군 부안면 오산리","1**","단독","8m미만","47.6","471","202106","2","6,000","1993","상오길",""
"전라북도 고창군 부안면 오산리","1**","단독","12m미만","69","485","202105","20","13,700","1982","복분자로",""
"전라북도 고창군 부안면 용산리","6*","단독","8m미만","98.94","371","202104","5","16,300","2015","용산용흥길",""
"전라북도 고창군 부안면 용산리","6*","단독","8m미만","98.94","379","202102","3","16,000","2015","용산용흥길",""
"전라북도 고창군 부안면 용산리","2**","단독","8m미만","89.79","544","202103","11","10,500","2009","용산길",""
"전라북도 고창군 부안면 용산리","1**","단독","8m미만","92.15","676","202108","19","15,500","2013","복분자로",""
