"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라북도 고창군 고창읍 교촌리","57-8","0057","0008","뉴캐슬빌 101동","59.81","44.55","202102","5","15,750","3","2011","성덕1길 8-2",""
"전라북도 고창군 고창읍 교촌리","57-8","0057","0008","뉴캐슬빌 101동","59.81","44.55","202105","16","16,500","3","2011","성덕1길 8-2",""
"전라북도 고창군 고창읍 교촌리","57-10","0057","0010","뉴캐슬빌(103동, 105동)","59.81","53.97","202010","21","16,000","4","2012","성덕1길 8-6",""
"전라북도 고창군 고창읍 교촌리","57-10","0057","0010","뉴캐슬빌(103동, 105동)","59.81","53.97","202011","5","14,950","3","2012","성덕1길 8-6",""
"전라북도 고창군 고창읍 교촌리","57-10","0057","0010","뉴캐슬빌(103동, 105동)","59.81","53.97","202104","29","15,500","4","2012","성덕1길 8-6",""
"전라북도 고창군 고창읍 교촌리","231","0231","0000","다솜가","156.98","149.53","202101","26","38,000","3","2006","소반2길 15",""
"전라북도 고창군 고창읍 교촌리","231","0231","0000","다솜가","156.98","149.53","202103","17","45,000","2","2006","소반2길 15",""
"전라북도 고창군 고창읍 교촌리","68-1","0068","0001","동백(가,나동)","84.93","70.33","202010","8","13,000","2","1990","중앙로 280-7",""
"전라북도 고창군 고창읍 교촌리","68-1","0068","0001","동백(가,나동)","84.93","70.33","202101","13","13,500","1","1990","중앙로 280-7",""
"전라북도 고창군 고창읍 교촌리","68-1","0068","0001","동백(가,나동)","84.93","70.33","202105","10","14,500","4","1990","중앙로 280-7",""
"전라북도 고창군 고창읍 교촌리","81-4","0081","0004","삼우","59.94","69.58","202103","21","7,000","2","1985","교촌1길 4-6",""
"전라북도 고창군 고창읍 교촌리","81-4","0081","0004","삼우","59.94","69.58","202104","13","7,000","2","1985","교촌1길 4-6",""
"전라북도 고창군 고창읍 교촌리","294-2","0294","0002","샤인힐","75.98","74.78","202010","20","22,000","4","2019","보릿골로 156",""
"전라북도 고창군 고창읍 교촌리","294-2","0294","0002","샤인힐","72.46","71.32","202012","20","24,300","4","2019","보릿골로 156",""
"전라북도 고창군 고창읍 교촌리","294-2","0294","0002","샤인힐","83.94","82.62","202104","12","23,700","2","2019","보릿골로 156",""
"전라북도 고창군 고창읍 교촌리","229-19","0229","0019","성산에버빌","84.55","133.4","202010","20","24,900","2","2006","소반2길 23",""
"전라북도 고창군 고창읍 교촌리","229-19","0229","0019","성산에버빌","84.55","133.4","202104","27","24,000","2","2006","소반2길 23",""
"전라북도 고창군 고창읍 교촌리","244","0244","0000","장산파크빌라","130.4","125","202103","22","14,300","3","1993","청룡길 12",""
"전라북도 고창군 고창읍 교촌리","88-14","0088","0014","태성빌라","83.34","66.67","202102","27","7,700","1","1990","교촌2길 6-5",""
"전라북도 고창군 고창읍 교촌리","66","0066","0000","태양","84.99","80.43","202103","16","9,000","4","1991","중앙로 288-10",""
"전라북도 고창군 고창읍 교촌리","106","0106","0000","헤라리움","84.7747","82.71","202010","5","21,000","5","2013","교촌2길 21",""
"전라북도 고창군 고창읍 덕산리","218","0218","0000","남양주택","59.93","67.83","202105","6","8,500","3","1993","중거리당산로 78-3",""
"전라북도 고창군 고창읍 덕산리","3-5","0003","0005","동진굿모닝빌","59.54","64","202010","20","11,500","2","2015","중거리당산로 90",""
