"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라북도 군산시 나운동","1187-20","1187","20","	(1187-20)	","32.12","202103","26","2,600","6","2003","대학로 367",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","29.17","202011","3","1,700","15","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","45.9","202012","5","1,800","13","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","43.19","202012","21","1,800","14","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","27.69","202012","30","1,400","14","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","49.21","202101","22","3,600","14","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","27.58","202101","22","1,500","15","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","25.93","202101","29","1,300","13","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","27.58","202102","16","1,650","14","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","24.96","202102","19","1,500","14","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","24.96","202102","26","1,370","13","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","24.23","202103","20","2,000","14","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","23.94","202104","1","1,050","11","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","24.23","202105","17","1,300","13","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","24.96","202106","16","2,000","12","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","58.38","202106","19","3,200","11","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","51.74","202107","9","3,500","15","1999","대학로 342",""
"전라북도 군산시 나운동","805-1","805","1","동아26빌딩","27.69","202108","21","1,200","10","1999","대학로 342",""
"전라북도 군산시 나운동","798-8","798","8","성보주상복합시설","37.4","202106","23","2,916","2","2016","상나운안길 7",""
"전라북도 군산시 나운동","798-8","798","8","성보주상복합시설","37.4","202106","23","2,916","2","2016","상나운안길 7",""
"전라북도 군산시 나운동","798-8","798","8","성보주상복합시설","37.4","202106","23","2,916","2","2016","상나운안길 7",""
"전라북도 군산시 나운동","798-8","798","8","성보주상복합시설","48.92","202107","1","2,484","2","2016","상나운안길 7",""
"전라북도 군산시 소룡동","831","831","0","해강솔비앙 2단지","84.93","202012","29","17,200","7","2017","풍전4길 28",""
