"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"제주특별자치도 서귀포시 강정동","1**","다가구","25m미만","160.38","260.6","202012","14","57,000","1994","신서로32번길",""
"제주특별자치도 서귀포시 강정동","1**","다가구","8m미만","214.19","292.9","202011","7","46,000","1995","신서로32번길",""
"제주특별자치도 서귀포시 강정동","1**","다가구","12m미만","323.87","352.2","202106","29","73,000","2014","신서로108번길",""
"제주특별자치도 서귀포시 강정동","1**","다가구","8m미만","163.84","353.7","202109","9","47,000","2001","신중로13번길",""
"제주특별자치도 서귀포시 강정동","1**","다가구","12m미만","650.69","390.3","202109","30","89,000","2016","신서로108번길",""
"제주특별자치도 서귀포시 강정동","4**","다가구","8m미만","373.6","705","202104","20","83,000","2015","법환로71번길",""
"제주특별자치도 서귀포시 강정동","4***","단독","8m미만","48.26","169","202107","21","11,500","1976","강정통물로",""
"제주특별자치도 서귀포시 강정동","5***","단독","8m미만","45.9","222","202102","17","13,000","1992","강정하로",""
"제주특별자치도 서귀포시 강정동","1**","단독","8m미만","84.9","272.4","202101","14","40,000","1995","신서로88번길",""
"제주특별자치도 서귀포시 강정동","1**","단독","12m미만","89.16","286.9","202012","31","45,000","1996","신중로13번길",""
"제주특별자치도 서귀포시 강정동","4***","단독","8m미만","84.96","288","202103","10","26,000","1981","용흥로33번길","20210408"
"제주특별자치도 서귀포시 강정동","4***","단독","8m미만","84.96","288","202012","22","24,600","1981","용흥로33번길",""
"제주특별자치도 서귀포시 강정동","1**","단독","8m미만","83.28","288.3","202109","3","44,000","1994","신서로102번길","20210929"
"제주특별자치도 서귀포시 강정동","1**","단독","8m미만","83.28","288.3","202109","3","44,000","1994","신서로102번길",""
"제주특별자치도 서귀포시 강정동","1**","단독","8m미만","83.28","288.3","202108","9","44,000","1994","신서로102번길","20210901"
"제주특별자치도 서귀포시 강정동","1**","단독","8m미만","84.72","292.4","202104","5","35,000","1993","신서로102번길",""
"제주특별자치도 서귀포시 강정동","1**","단독","8m미만","99.78","314.4","202012","7","44,500","2014","신서로98번길",""
"제주특별자치도 서귀포시 강정동","1**","단독","12m미만","145.71","324.2","202108","9","60,500","2014","신서로114번길",""
"제주특별자치도 서귀포시 강정동","3***","단독","8m미만","121.04","330","202109","6","40,000","2014","중산간서로242번길",""
"제주특별자치도 서귀포시 강정동","1**","단독","8m미만","99.18","336.5","202103","24","45,500","2010","신서로102번길",""
"제주특별자치도 서귀포시 강정동","4***","단독","8m미만","86.73","340","202103","12","20,500","2002","강정통물로",""
"제주특별자치도 서귀포시 강정동","1**","단독","12m미만","96.38","365.7","202012","30","52,000","1996","신서로102번길",""
"제주특별자치도 서귀포시 강정동","4***","단독","8m미만","98.47","369","202107","29","28,000","1996","말질로150번길","20211012"
"제주특별자치도 서귀포시 강정동","3***","단독","8m미만","149.5","480","202109","30","69,000","2018","일주서로176번길",""
"제주특별자치도 서귀포시 강정동","4***","단독","8m미만","62.16","522","202101","26","36,000","1986","용흥로65번길",""
"제주특별자치도 서귀포시 강정동","1***","단독","12m미만","166.65","524","202109","28","47,500","2020","중산간서로",""
"제주특별자치도 서귀포시 강정동","3***","단독","8m미만","151.78","527","202011","25","55,000","2018","용흥로38번길",""
"제주특별자치도 서귀포시 강정동","3***","단독","8m미만","98.76","531","202011","6","39,900","2003","일주서로",""
"제주특별자치도 서귀포시 강정동","3***","단독","8m미만","161.73","609","202109","2","69,800","2016","용흥로38번길",""
"제주특별자치도 서귀포시 강정동","1***","단독","8m미만","133.4","621","202104","23","53,007","2014","중산간서로","20210504"
"제주특별자치도 서귀포시 강정동","1***","단독","8m미만","133.4","621","202104","23","53,007","2014","중산간서로",""
"제주특별자치도 서귀포시 강정동","3***","단독","8m미만","149.75","878","202105","4","52,000","2007","중산간서로",""
"제주특별자치도 서귀포시 강정동","3***","단독","8m미만","149.75","878","202105","4","53,000","2007","중산간서로","20210512"
