"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202010","10","40,000","9","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202010","18","41,000","8","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202011","5","39,000","10","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202011","7","37,000","4","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202011","7","41,000","8","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202011","25","37,900","2","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202011","28","42,000","10","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202011","28","37,500","2","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202011","29","38,000","2","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202011","30","40,000","5","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202012","1","45,500","12","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202012","1","41,000","9","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202012","5","44,900","5","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202012","5","38,000","1","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202012","6","42,900","6","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202012","12","40,400","7","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202012","15","38,500","2","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202012","20","48,000","12","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202012","28","39,000","1","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202101","6","42,000","3","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202101","21","36,000","5","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202102","20","44,300","7","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202103","3","44,700","6","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202103","25","48,000","12","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202103","26","45,000","4","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202103","27","46,000","12","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202104","2","47,500","10","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202104","10","40,000","8","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202104","21","46,000","5","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202104","23","44,300","5","2017","대청로 11","20210423"
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202105","10","41,200","5","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202105","25","47,500","5","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202105","27","45,000","8","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202105","28","44,500","2","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202106","9","47,500","7","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202106","23","42,000","1","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202106","26","49,500","11","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202107","11","48,500","4","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202107","24","45,300","5","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202108","14","52,300","7","2017","대청로 11",""
"제주특별자치도 서귀포시 강정동","193","0193","0000","서귀포강정골드클래스","84.9789","202109","16","50,400","9","2017","대청로 11",""
