"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","84.3407","164.92","202011","8","34,000","1","2017","신서로 85",""
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","84.3407","164.92","202011","28","34,500","4","2017","신서로 85",""
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","84.3407","164.92","202101","24","34,000","4","2017","신서로 85",""
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","84.3407","164.92","202102","18","26,100","2","2017","신서로 85",""
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","84.3407","164.92","202104","30","31,500","1","2017","신서로 85",""
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","84.3407","164.92","202107","29","30,000","3","2017","신서로 85",""
"제주특별자치도 서귀포시 강정동","1423-20","1423","0020","강정 코아루 더 테라스 블루아","84.3407","164.92","202109","1","30,700","4","2017","신서로 85",""
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","84.3407","154.97","202010","20","29,990","3","2017","신서로 89",""
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","84.3407","154.97","202010","24","29,000","2","2017","신서로 89",""
"제주특별자치도 서귀포시 강정동","5669-1","5669","0001","강정 코아루 더 테라스 블루아 도시포럼","84.3407","154.97","202103","19","30,000","3","2017","신서로 89",""
"제주특별자치도 서귀포시 강정동","3404","3404","0000","강정리버힐스","123.2208","403.42","202012","6","48,500","1","2018","일주서로176번길 51",""
"제주특별자치도 서귀포시 강정동","3404","3404","0000","강정리버힐스","111.0848","403.42","202104","12","51,500","1","2018","일주서로176번길 51",""
"제주특별자치도 서귀포시 강정동","3404","3404","0000","강정리버힐스","111.0848","403.42","202106","17","53,500","1","2018","일주서로176번길 51",""
"제주특별자치도 서귀포시 강정동","3404","3404","0000","강정리버힐스","111.0848","403.42","202107","5","50,000","1","2018","일주서로176번길 51",""
"제주특별자치도 서귀포시 강정동","1544","1544","0000","강정윈저캐슬","72.45","141.82","202105","15","26,500","1","2016","중산간서로 70",""
"제주특별자치도 서귀포시 강정동","1416-3","1416","0003","강정지예타운","68.685","100.73","202102","5","27,000","4","2016","신서로 69",""
"제주특별자치도 서귀포시 강정동","1416-2","1416","0002","강정지예타운103","68.685","103.44","202106","25","24,000","3","2016","신서로 73",""
"제주특별자치도 서귀포시 강정동","1416-2","1416","0002","강정지예타운103","68.685","103.44","202108","16","20,000","3","2016","신서로 73",""
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","84.3407","172.72","202105","11","26,500","2","2017","신서로 87",""
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","84.3407","172.72","202105","27","31,500","1","2017","신서로 87",""
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","84.3407","172.72","202106","17","28,000","3","2017","신서로 87",""
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","84.3407","172.72","202107","1","28,500","3","2017","신서로 87",""
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","84.3407","172.72","202107","10","28,700","2","2017","신서로 87",""
"제주특별자치도 서귀포시 강정동","5669","5669","0000","강정코아루더테라스블루아조은파트너스","84.3407","172.72","202108","24","32,000","4","2017","신서로 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","95.64","117.84","202011","16","30,000","3","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","95.64","117.84","202012","10","26,300","1","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","95.48","117.65","202012","14","29,000","3","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","95.64","117.84","202012","26","28,400","3","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","95.48","117.65","202101","17","29,500","2","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","99.05","122.05","202103","7","28,500","3","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","95.64","117.84","202104","3","31,500","3","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","95.64","117.84","202105","19","29,700","3","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","95.64","117.84","202105","22","32,000","2","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","99.05","122.05","202106","13","30,700","1","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","95.64","117.84","202107","29","32,500","3","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","95.48","117.65","202108","23","32,500","1","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","177","0177","0000","대림한숲빌라","99.05","122.05","202109","12","33,200","2","1995","신서귀로97번길 87",""
"제주특별자치도 서귀포시 강정동","379-5","0379","0005","루미안1차","70.225","125","202101","5","21,200","2","2017","선반로 27",""
"제주특별자치도 서귀포시 강정동","379-5","0379","0005","루미안1차","70.225","125","202107","18","23,000","1","2017","선반로 27",""
"제주특별자치도 서귀포시 강정동","1045-5","1045","0005","베네치안","58.9","121.63","202010","21","21,500","1","2019","선반로 33",""
"제주특별자치도 서귀포시 강정동","1045-5","1045","0005","베네치안","58.9","121.63","202101","13","21,000","4","2019","선반로 33",""
"제주특별자치도 서귀포시 강정동","1045-5","1045","0005","베네치안","48.3","99.74","202101","26","18,000","4","2019","선반로 33",""
"제주특별자치도 서귀포시 강정동","1045-5","1045","0005","베네치안","58.9","121.63","202104","28","21,200","4","2019","선반로 33",""
"제주특별자치도 서귀포시 강정동","1045-5","1045","0005","베네치안","58.9","121.63","202105","2","20,000","2","2019","선반로 33",""
"제주특별자치도 서귀포시 강정동","1045-5","1045","0005","베네치안","58.9","121.63","202105","26","23,000","3","2019","선반로 33",""
"제주특별자치도 서귀포시 강정동","1045-5","1045","0005","베네치안","58.9","121.63","202107","1","24,500","4","2019","선반로 33",""
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","84.9198","165","202010","7","39,500","2","2019","일주서로 149",""
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","84.9198","165","202010","21","39,600","1","2019","일주서로 149",""
"제주특별자치도 서귀포시 강정동","5670","5670","0000","서귀포강정코아루2차","84.9198","165","202104","27","33,000","1","2019","일주서로 149",""
"제주특별자치도 서귀포시 강정동","178","0178","0000","서호2차현대맨션","73.86","109.96","202103","30","20,300","1","1994","김정문화로 6",""
"제주특별자치도 서귀포시 강정동","178","0178","0000","서호2차현대맨션","73.86","109.96","202105","28","19,000","1","1994","김정문화로 6",""
"제주특별자치도 서귀포시 강정동","178","0178","0000","서호2차현대맨션","59.54","88.64","202107","27","20,000","2","1994","김정문화로 6",""
"제주특별자치도 서귀포시 강정동","178","0178","0000","서호2차현대맨션","59.54","88.64","202108","14","20,500","1","1994","김정문화로 6",""
"제주특별자치도 서귀포시 강정동","178","0178","0000","서호2차현대맨션","73.86","109.96","202108","24","24,200","3","1994","김정문화로 6",""
"제주특별자치도 서귀포시 강정동","1416","1416","0000","선호쉐르빌","74.07","106.91","202104","20","21,000","1","2016","신서로 75",""
"제주특별자치도 서귀포시 강정동","1416","1416","0000","선호쉐르빌","74.07","106.91","202108","21","24,500","4","2016","신서로 75",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202010","10","17,550","3","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202010","24","14,300","3","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.98","76.02","202011","2","18,500","1","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202011","6","17,000","1","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202011","29","17,350","3","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202012","29","17,000","3","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","74.27","94.13","202101","10","20,500","3","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202102","6","16,200","3","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202102","9","17,500","1","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202103","26","18,000","2","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202104","6","18,000","1","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","74.27","94.13","202104","14","21,500","3","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","74.27","94.13","202105","1","20,800","2","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202105","25","20,700","1","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202105","28","16,000","3","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","74.27","94.13","202107","29","24,300","3","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202108","23","22,000","2","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","178-1","0178","0001","성산","59.95","75.98","202109","20","19,300","3","1995","신서귀로97번길 84",""
"제주특별자치도 서귀포시 강정동","1053-7","1053","0007","아너스빌","78.48","144.69","202010","22","19,300","1","2015","선반로 32",""
"제주특별자치도 서귀포시 강정동","1053-7","1053","0007","아너스빌","78.48","144.69","202010","26","19,000","1","2015","선반로 32",""
"제주특별자치도 서귀포시 강정동","1053-7","1053","0007","아너스빌","78.48","144.69","202106","12","21,200","3","2015","선반로 32",""
"제주특별자치도 서귀포시 강정동","1053-7","1053","0007","아너스빌","78.48","144.69","202109","15","22,600","4","2015","선반로 32",""
"제주특별자치도 서귀포시 강정동","1053-6","1053","0006","아너스빌B동","77.5","144.63","202103","30","21,800","3","2016","선반로 34",""
"제주특별자치도 서귀포시 강정동","1053-6","1053","0006","아너스빌B동","77.5","144.63","202106","21","21,000","4","2016","선반로 34",""
"제주특별자치도 서귀포시 강정동","1053-6","1053","0006","아너스빌B동","77.5","144.63","202108","6","20,000","1","2016","선반로 34",""
"제주특별자치도 서귀포시 강정동","1053","1053","0000","아너스빌C","63.768","131.06","202104","28","17,500","2","2016","선반로 38",""
"제주특별자치도 서귀포시 강정동","1053","1053","0000","아너스빌C","63.768","131.06","202107","27","18,000","3","2016","선반로 38","20210809"
"제주특별자치도 서귀포시 강정동","1053","1053","0000","아너스빌C","63.768","131.06","202108","11","18,000","3","2016","선반로 38",""
"제주특별자치도 서귀포시 강정동","5425-1","5425","0001","푸른빌","84.3","83.93","202106","2","18,000","2","2017","강정통물로83번길 17",""
