"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"충청남도 계룡시 금암동","2*","단독","12m미만","160.69","213.8","202107","2","47,000","2017","금암로",""
"충청남도 계룡시 금암동","1**","단독","12m미만","98.4","229.8","202107","29","38,000","2018","장안4길",""
"충청남도 계룡시 금암동","1**","단독","12m미만","162.14","232.3","202011","18","30,000","2014","장안4길",""
"충청남도 계룡시 금암동","5*","단독","12m미만","208.8","246.9","202109","3","40,000","2013","금암3길",""
"충청남도 계룡시 금암동","2*","단독","12m미만","279.94","262.6","202103","2","59,500","2016","금암3길",""
"충청남도 계룡시 금암동","1**","단독","25m미만","389.52","264.7","202106","15","56,500","2008","장안1길",""
"충청남도 계룡시 금암동","1**","단독","12m미만","409.83","277","202103","12","38,000","2010","장안2길","20210622"
"충청남도 계룡시 금암동","1**","단독","12m미만","409.83","277","202106","17","38,000","2010","장안2길","20210628"
"충청남도 계룡시 금암동","1**","단독","12m미만","409.83","277","202106","28","38,000","2010","장안2길",""
"충청남도 계룡시 금암동","2**","단독","8m미만","149.61","553","202105","24","53,500","2018","동금암2길","20210823"
"충청남도 계룡시 금암동","2**","단독","8m미만","149.61","553","202105","24","53,000","2018","동금암2길",""
"충청남도 계룡시 금암동","3*","단독","25m미만","121.22","873","202103","25","70,000","1981","금암로",""
"충청남도 계룡시 금암동","2**","단독","8m미만","140.5","2369","202105","17","154,000","1901","금암2길",""
"충청남도 계룡시 두마면 농소리","3**","단독","8m미만","18","200","202105","28","4,800","2013","즘말길",""
"충청남도 계룡시 두마면 농소리","2**","단독","8m미만","30.71","545","202105","14","30,000","1920","노동길",""
"충청남도 계룡시 두마면 두계리","4*","단독","8m미만","132.82","159","202011","3","11,000","1995","팥거리1길",""
"충청남도 계룡시 두마면 두계리","4*","단독","8m미만","57.1","231.2","202108","4","13,000","1995","팥거리1길",""
"충청남도 계룡시 두마면 왕대리","2**","단독","8m미만","57.12","243.5","202011","20","10,290","1940","왕대로",""
"충청남도 계룡시 두마면 입암리","2**","단독","8m미만","116.67","637","202103","16","8,560","1992","입암길",""
"충청남도 계룡시 두마면 입암리","1**","단독","8m미만","60.77","2506","202106","26","55,000","1976","입암길","20210705"
"충청남도 계룡시 엄사면 광석리","4**","단독","8m미만","59.72","199","202106","1","7,500","1980","광석향한1길",""
"충청남도 계룡시 엄사면 도곡리","2**","단독","8m미만","53.6","246","202101","8","9,200","2015","장자동길",""
"충청남도 계룡시 엄사면 엄사리","3**","다가구","8m미만","245.48","232","202102","27","37,000","2017","번영10길","20210603"
"충청남도 계룡시 엄사면 엄사리","1**","다가구","12m미만","395.94","239.3","202012","23","59,000","2010","전원1길","20210111"
"충청남도 계룡시 엄사면 엄사리","3**","다가구","25m이상","451.34","289.2","202010","16","61,000","2000","번영로",""
"충청남도 계룡시 엄사면 엄사리","3**","단독","8m미만","241.12","225.1","202105","21","32,300","2001","번영10길",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","8m미만","443.78","226","202103","10","39,000","1995","번영6길",""
"충청남도 계룡시 엄사면 엄사리","3**","단독","25m미만","491.56","227.5","202105","17","43,000","1995","번영9길",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","8m미만","181.46","230.5","202104","17","50,000","2015","번영2길",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","25m미만","370.77","233","202103","23","58,000","2009","전원로",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","12m미만","494.37","241","202105","7","65,000","1997","번영2길",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","8m미만","385.98","242.1","202108","13","34,000","1997","전원2길",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","25m미만","93.72","244","202012","16","27,000","2015","전원로",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","25m미만","416.5","244.6","202103","9","59,600","2011","전원로",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","12m미만","84.35","247.3","202012","19","36,000","2018","번영8길",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","25m미만","165.72","250.8","202010","19","52,000","2018","전원로","20210113"
"충청남도 계룡시 엄사면 엄사리","2**","단독","25m미만","250.6","250.8","202010","19","52,000","2018","전원로",""
"충청남도 계룡시 엄사면 엄사리","3**","단독","25m이상","391.2","253.7","202102","20","83,000","2017","번영로",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","25m미만","274.48","259","202101","29","47,000","2002","전원로",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","8m미만","148.48","271.5","202010","31","45,500","2013","전원2길",""
"충청남도 계룡시 엄사면 엄사리","1**","단독","25m미만","241.84","284.8","202103","22","67,000","2016","전원로",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","8m미만","114.72","317","202012","1","35,000","2014","번영8길",""
"충청남도 계룡시 엄사면 엄사리","2**","단독","8m미만","114.72","317","202012","1","34,500","2014","번영8길","20201219"
"충청남도 계룡시 엄사면 엄사리","3**","단독","8m미만","318.51","532.4","202104","5","50,000","2013","번영3길",""
"충청남도 계룡시 엄사면 유동리","1**","단독","8m미만","29.14","479","202108","10","9,800","1998","배나무골길",""
"충청남도 계룡시 엄사면 유동리","1**","단독","8m미만","99.96","639","202107","22","18,000","1994","배나무골길",""
"충청남도 계룡시 엄사면 유동리","4*","단독","8m미만","141.7","890","202109","29","21,000","1984","사랑재길",""
"충청남도 계룡시 엄사면 유동리","3**","단독","8m미만","92.25","951.4","202106","9","32,142","1900","체육로",""
"충청남도 계룡시 엄사면 향한리","5**","단독","8m미만","63.73","264","202011","30","4,000","1945","향적산1길",""
"충청남도 계룡시 엄사면 향한리","1**","단독","8m미만","82.35","1091","202104","17","40,450","2007","광석향한길",""
