"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"충청북도 괴산군 감물면 광전리","4**","단독","8m미만","98.64","317","202104","5","4,500","1996","광전5길",""
"충청북도 괴산군 감물면 광전리","8*","단독","12m미만","73.05","563","202010","5","5,000","1985","충민로",""
"충청북도 괴산군 감물면 구월리","7*","단독","12m미만","59.44","177","202011","18","3,700","2016","주월로2길",""
"충청북도 괴산군 감물면 매전리","5**","단독","8m미만","116.2","678","202109","24","23,500","2014","도전로1길",""
"충청북도 괴산군 감물면 매전리","1**","단독","8m미만","37.58","751","202101","31","11,000","2016","도전로1길",""
"충청북도 괴산군 감물면 백양리","2**","단독","12m미만","84.24","342","202011","5","17,500","2019","충민로",""
"충청북도 괴산군 감물면 백양리","2**","단독","8m미만","114.63","922","202106","15","22,000","2019","충민로",""
"충청북도 괴산군 감물면 백양리","3**","단독","8m미만","82.48","941","202102","1","17,000","2007","감물로백양2길",""
"충청북도 괴산군 감물면 백양리","4**","단독","8m미만","42","998","202104","23","3,400","1998","감물로백양4길",""
"충청북도 괴산군 감물면 오성리","1**","단독","8m미만","219.9","759","202010","31","21,000","2002","오창로",""
"충청북도 괴산군 감물면 오창리","3**","단독","8m미만","101.87","590","202106","5","20,000","2015","오창로",""
"충청북도 괴산군 감물면 오창리","5**","단독","8m미만","103.32","810","202101","21","23,000","2015","오창로",""
"충청북도 괴산군 감물면 오창리","5**","단독","8m미만","103.32","810","202101","21","23,500","2015","오창로","20210205"
"충청북도 괴산군 감물면 이담리","4**","단독","8m미만","134.4","545","202012","8","9,500","1927","감물로이담3길",""
"충청북도 괴산군 감물면 이담리","1***","단독","8m미만","108.84","660","202102","1","15,100","2018","null",""
"충청북도 괴산군 감물면 이담리","1***","단독","8m미만","158.84","660","202109","4","22,000","2018","감물로이담3길",""
"충청북도 괴산군 괴산읍 검승리","1**","단독","12m미만","65.83","360","202108","22","14,000","2011","충민로","20210826"
"충청북도 괴산군 괴산읍 검승리","1**","단독","12m미만","65.83","360","202108","22","14,000","2011","충민로",""
"충청북도 괴산군 괴산읍 검승리","2**","단독","8m미만","131.69","633","202108","20","15,000","2009","충민로기곡1길",""
"충청북도 괴산군 괴산읍 검승리","2**","단독","8m미만","99.81","642","202104","29","17,200","2007","충민로기곡1길","20210601"
"충청북도 괴산군 괴산읍 능촌리","7**","단독","8m미만","110.27","1072","202010","18","19,400","2014","문무로길골길",""
"충청북도 괴산군 괴산읍 대덕리","3**","단독","8m미만","176.62","357","202010","26","12,000","1998","대덕길",""
"충청북도 괴산군 괴산읍 대덕리","5*","단독","12m미만","99.54","432","202102","24","15,000","1999","괴강로",""
"충청북도 괴산군 괴산읍 대사리","1**","단독","8m미만","73","98","202012","31","9,600","1993","대사7길",""
"충청북도 괴산군 괴산읍 대사리","1**","단독","8m미만","36.66","185","202012","29","11,000","2008","대사7길",""
"충청북도 괴산군 괴산읍 대사리","1**","단독","25m이상","56.52","224","202108","14","19,000","2011","대사6길",""
"충청북도 괴산군 괴산읍 대사리","1**","단독","8m미만","134.04","513","202101","22","21,500","2012","대사7길",""
"충청북도 괴산군 괴산읍 동부리","6**","단독","12m미만","44.58","56","202109","8","9,729","2011","읍내로8길",""
"충청북도 괴산군 괴산읍 동부리","6**","단독","12m미만","44.58","56","202104","14","8,800","null","읍내로8길","20210621"
"충청북도 괴산군 괴산읍 동부리","6**","단독","12m미만","100.92","66","202108","25","24,820","2011","읍내로11길",""
"충청북도 괴산군 괴산읍 동부리","2**","단독","8m미만","33.3","86","202011","2","2,000","2011","읍내로",""
"충청북도 괴산군 괴산읍 동부리","5**","단독","12m미만","68.59","164","202104","5","14,700","1980","읍내로17길",""
"충청북도 괴산군 괴산읍 동부리","5**","단독","12m미만","88.76","272","202010","11","35,321","1974","읍내로16길",""
"충청북도 괴산군 괴산읍 동부리","1**","단독","8m미만","95.05","324","202107","31","21,000","2011","남산길",""
"충청북도 괴산군 괴산읍 서부리","4**","다가구","8m미만","136.94","160","202106","24","16,500","1994","읍내로2길",""
"충청북도 괴산군 괴산읍 서부리","2**","다가구","8m미만","331.58","299","202011","10","58,000","2013","읍내로15길",""
"충청북도 괴산군 괴산읍 서부리","1**","다가구","8m미만","628.7","549","202108","13","82,000","2012","읍내로15길",""
"충청북도 괴산군 괴산읍 서부리","1**","단독","8m미만","42.6","56","202103","18","3,900","1990","수진2길",""
"충청북도 괴산군 괴산읍 서부리","4**","단독","8m미만","125.8","144.74","202107","20","19,489","1994","읍내로2길",""
"충청북도 괴산군 괴산읍 서부리","4**","단독","8m미만","125.8","144.74","202105","25","19,500","1994","읍내로2길","20210720"
"충청북도 괴산군 괴산읍 서부리","4**","단독","8m미만","178.45","184","202101","20","12,400","1992","읍내로1길",""
"충청북도 괴산군 괴산읍 서부리","3**","단독","8m미만","87.7","208","202105","6","20,000","1975","새동네길",""
"충청북도 괴산군 괴산읍 서부리","3**","단독","8m미만","59.5","215","202102","3","13,500","1975","새동네길",""
"충청북도 괴산군 괴산읍 서부리","2**","단독","8m미만","65.07","289","202104","30","27,600","2011","읍내로18길","20210529"
"충청북도 괴산군 괴산읍 서부리","2**","단독","8m미만","161.4","1019","202102","24","43,000","1996","읍내로15길",""
"충청북도 괴산군 괴산읍 신항리","2**","단독","8m미만","91.66","331","202106","27","12,000","2005","관동로신항9길",""
"충청북도 괴산군 괴산읍 신항리","4**","단독","8m미만","222.42","828","202108","10","30,000","2012","관동로신항4길",""
"충청북도 괴산군 괴산읍 정용리","5**","단독","8m미만","35","492","202102","27","8,300","2006","정용월곡길",""
"충청북도 괴산군 괴산읍 정용리","5**","단독","8m미만","99.65","507","202010","10","16,040","2018","정용월곡길",""
"충청북도 괴산군 괴산읍 정용리","6**","단독","8m미만","94.92","565","202104","10","17,980","2019","정용월곡길",""
"충청북도 괴산군 괴산읍 정용리","6**","단독","8m미만","99.29","565","202105","27","17,832","2019","정용월곡길",""
"충청북도 괴산군 괴산읍 정용리","5**","단독","8m미만","83.46","660","202106","28","29,500","2018","정용월곡길",""
"충청북도 괴산군 괴산읍 제월리","3**","단독","8m미만","97.59","330","202105","3","15,950","2014","제월5길",""
"충청북도 괴산군 괴산읍 제월리","6**","단독","8m미만","99.55","660","202104","19","22,950","2016","제월6길","20210830"
"충청북도 괴산군 괴산읍 제월리","6**","단독","8m미만","99.55","660","202108","30","22,900","2016","제월6길",""
"충청북도 괴산군 문광면 광덕리","2**","단독","8m미만","140.85","512","202101","20","8,000","1991","광덕길",""
"충청북도 괴산군 문광면 광덕리","7*","단독","8m미만","102.84","576","202102","16","27,000","2010","광덕3길",""
"충청북도 괴산군 문광면 광덕리","5**","단독","8m미만","102.5","600","202104","19","13,000","2011","광덕길",""
"충청북도 괴산군 문광면 광덕리","5*","단독","8m미만","80.24","697","202109","29","16,470","2015","광덕3길",""
"충청북도 괴산군 문광면 대명리","2**","단독","8m미만","66.11","420","202108","11","7,700","2011","대명2길",""
"충청북도 괴산군 문광면 대명리","5**","단독","8m미만","191.66","714","202108","7","24,900","2019","대명3길",""
"충청북도 괴산군 문광면 문법리","6**","단독","8m미만","67.7","304","202103","26","8,500","1999","문법2길",""
"충청북도 괴산군 문광면 문법리","5**","단독","8m미만","79","346","202108","10","7,980","1978","모래재로원터1길","20210831"
"충청북도 괴산군 문광면 문법리","5**","단독","8m미만","79","346","202108","10","7,980","1978","모래재로원터1길",""
"충청북도 괴산군 문광면 문법리","5**","단독","8m미만","92.9","476","202010","15","3,900","1978","모래재로원터1길",""
"충청북도 괴산군 문광면 문법리","6**","단독","8m미만","95.82","1337","202102","2","15,000","2012","문법길",""
"충청북도 괴산군 문광면 신기리","4**","단독","8m미만","75.06","493","202108","10","9,000","2002","괴산로신기2길",""
"충청북도 괴산군 문광면 신기리","9*","단독","8m미만","127.5","826","202010","24","9,000","2000","괴산로",""
"충청북도 괴산군 문광면 양곡리","1**","단독","8m미만","80.46","443","202106","30","10,000","2015","괴산로양곡3길",""
"충청북도 괴산군 문광면 양곡리","2**","단독","8m미만","140","630","202102","12","27,500","2014","괴산로양곡5길",""
"충청북도 괴산군 문광면 양곡리","2**","단독","8m미만","126.1","661","202103","10","17,100","2014","괴산로양곡5길",""
"충청북도 괴산군 문광면 옥성리","2**","단독","8m미만","98.44","417","202101","17","13,800","2014","송문로옥성길",""
"충청북도 괴산군 문광면 유평리","3**","단독","8m미만","40.8","347","202011","28","6,750","2020","모래재로유평2길",""
"충청북도 괴산군 문광면 유평리","1**","단독","8m미만","99.65","550","202104","4","21,880","2019","null",""
"충청북도 괴산군 문광면 흑석리","2**","단독","8m미만","242.91","422","202104","12","19,400","2015","흑석3길",""
"충청북도 괴산군 불정면 목도리","3**","단독","12m미만","63","135","202103","2","5,000","1961","목도로1길",""
"충청북도 괴산군 불정면 목도리","2**","단독","8m미만","154.66","157","202109","8","11,500","2002","목도로3길",""
"충청북도 괴산군 불정면 목도리","2**","단독","8m미만","62.83","281","202010","10","4,000","1921","목도로4길",""
"충청북도 괴산군 불정면 목도리","4**","단독","8m미만","60.28","299","202012","29","2,700","1915","목도로1길",""
"충청북도 괴산군 불정면 목도리","6**","단독","8m미만","111.28","451","202103","18","4,000","1957","한불로가동1길",""
"충청북도 괴산군 불정면 목도리","3**","단독","8m미만","213.16","667","202106","25","21,370","2012","목도로2길",""
"충청북도 괴산군 불정면 삼방리","6**","단독","12m미만","122.69","522","202011","6","15,000","1989","쇠실로","20201231"
"충청북도 괴산군 불정면 삼방리","6**","단독","12m미만","122.69","522","202102","9","14,000","1989","쇠실로",""
"충청북도 괴산군 불정면 삼방리","1**","단독","12m미만","77.16","635","202103","20","14,800","2012","외령로",""
"충청북도 괴산군 불정면 삼방리","5**","단독","8m미만","91.5","660","202104","21","9,100","1999","원삼방길",""
"충청북도 괴산군 불정면 삼방리","5**","단독","8m미만","91.5","660","202011","25","9,100","1999","원삼방길",""
"충청북도 괴산군 불정면 세평리","2**","단독","8m미만","70.7","537","202010","2","12,500","2017","관동로세평2길",""
"충청북도 괴산군 불정면 앵천리","1**","단독","8m미만","55.88","456","202106","11","2,500","1927","한불로앵천7길",""
"충청북도 괴산군 불정면 앵천리","2**","단독","8m미만","84.34","592","202109","16","3,800","1927","한불로앵천6길",""
"충청북도 괴산군 불정면 앵천리","4**","단독","8m미만","115.77","660","202109","1","20,000","2016","한불로",""
"충청북도 괴산군 불정면 앵천리","1**","단독","12m미만","74.35","840","202103","22","3,900","1930","한불로",""
"충청북도 괴산군 불정면 앵천리","4**","단독","8m미만","99.85","1140","202105","24","7,150","1994","한불로",""
