"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"충청북도 괴산군 괴산읍 동부리","150-3","0150","0003","(150-3)","56.346","73.51","202010","12","9,600","3","2015","남산길 44",""
"충청북도 괴산군 괴산읍 동부리","150-3","0150","0003","(150-3)","56.586","73.82","202103","27","9,000","2","2015","남산길 44",""
"충청북도 괴산군 괴산읍 동부리","150-3","0150","0003","(150-3)","56.586","73.82","202105","24","12,000","4","2015","남산길 44","20210526"
"충청북도 괴산군 괴산읍 동부리","150-3","0150","0003","(150-3)","56.586","73.82","202105","24","12,000","4","2015","남산길 44",""
"충청북도 괴산군 괴산읍 동부리","150-3","0150","0003","(150-3)","56.346","73.51","202107","3","9,300","3","2015","남산길 44",""
"충청북도 괴산군 괴산읍 동부리","129-4","0129","0004","동진레져빌 2동","76.105","87.75","202106","1","11,500","1","2010","남산길 64-1",""
"충청북도 괴산군 괴산읍 동부리","129-4","0129","0004","동진레져빌 2동","76.105","87.75","202106","1","11,500","1","2010","남산길 64-1",""
"충청북도 괴산군 괴산읍 동부리","124-15","0124","0015","두성빌라","75.58","94.38","202010","17","12,000","3","2010","남산길 56",""
"충청북도 괴산군 괴산읍 동부리","124-15","0124","0015","두성빌라","75.58","94.38","202011","10","9,500","3","2010","남산길 56",""
"충청북도 괴산군 괴산읍 동부리","124-15","0124","0015","두성빌라","75.58","94.38","202105","21","11,000","2","2010","남산길 56",""
