"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","47.41","202010","21","9,700","5","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","42.77","202010","26","9,700","5","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","42.77","202010","26","9,700","6","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","42.77","202012","24","9,700","7","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","47.41","202012","24","9,700","7","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","56.18","202102","22","9,900","8","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","42.77","202102","22","9,900","8","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","47.41","202102","22","9,900","8","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","42.77","202108","12","9,500","3","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","42.77","202108","12","9,700","4","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","47.41","202108","12","9,700","4","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","42.77","202108","12","9,900","9","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","47.41","202108","12","9,900","9","2018","동정로 30",""
"충청북도 영동군 영동읍 동정리","97","97","0","골든렉시움","56.18","202108","12","9,900","10","2018","동정로 30",""
"충청북도 음성군 감곡면 오향리","522-21","522","21","(522-21)","82","202010","16","15,000","2","2018"," ",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","30.85","202010","5","11,294","9","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","24.39","202010","5","8,930","7","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","23.7","202011","9","7,000","6","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","24.39","202011","9","7,000","9","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","24.39","202011","9","7,000","9","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","23.7","202011","9","7,200","6","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","23.7","202011","9","7,200","6","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","24.39","202011","9","7,200","8","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","24.39","202011","9","7,200","9","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","24.39","202011","9","7,000","7","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","24.39","202012","23","6,600","6","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","24.39","202102","6","8,300","7","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","24.39","202103","16","8,000","9","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1477","1477","0","(1477)","23.99","202104","14","7,700","6","2015","산학로 20",""
"충청북도 음성군 맹동면 두성리","1375","1375","0","밀라움 오피스텔","37.82","202011","6","17,258","7","2017","대하4길 6-10",""
"충청북도 음성군 맹동면 두성리","1375","1375","0","밀라움 오피스텔","22.61","202012","11","9,600","7","2017","대하4길 6-10",""
"충청북도 음성군 맹동면 두성리","1375","1375","0","밀라움 오피스텔","22.61","202103","19","9,400","6","2017","대하4길 6-10",""
"충청북도 음성군 맹동면 두성리","1375","1375","0","밀라움 오피스텔","22.61","202104","12","10,000","9","2017","대하4길 6-10",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","23.61","202010","15","9,309","10","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","27.92","202010","15","10,433","6","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","27.92","202012","22","10,433","8","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","38.82","202012","22","14,338","7","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","27.92","202012","22","10,433","8","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","23.61","202103","17","9,400","10","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","23.61","202103","17","9,400","8","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","38.82","202103","17","14,800","5","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","23.61","202103","17","9,400","10","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","23.61","202103","29","8,500","7","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","23.61","202104","13","8,900","7","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","27.92","202106","24","11,850","5","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","23.61","202108","21","8,900","5","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","23.61","202108","21","8,900","4","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1463","1463","0","킹스밀오피스텔 1차","27.92","202109","3","8,300","6","2016","원중로 1374",""
"충청북도 음성군 맹동면 두성리","1454","1454","0","킹스밀오피스텔 2차","23.61","202101","19","11,259","10","2019"," ",""
"충청북도 음성군 맹동면 두성리","1454","1454","0","킹스밀오피스텔 2차","23.61","202101","19","11,259","5","2019"," ",""
"충청북도 음성군 맹동면 두성리","1454","1454","0","킹스밀오피스텔 2차","27.72","202101","19","13,153","10","2019"," ",""
"충청북도 음성군 맹동면 두성리","1454","1454","0","킹스밀오피스텔 2차","27.72","202101","19","13,153","7","2019"," ",""
"충청북도 음성군 맹동면 두성리","1454","1454","0","킹스밀오피스텔 2차","23.61","202104","7","11,000","10","2019"," ",""
"충청북도 음성군 맹동면 두성리","1454","1454","0","킹스밀오피스텔 2차","27.72","202109","10","12,500","9","2019"," ",""
"충청북도 음성군 음성읍 신천리","251-5","251","5","시티빌 102동","24","202105","24","4,500","6","2013","중앙로40번길 6-3",""
"충청북도 제천시 영천동","458","458","0","(458)","71.04","202104","8","8,150","2","2014"," ",""
"충청북도 제천시 장락동","1050","1050","0","신안실크밸리 스카이시티","52.19","202010","14","10,120","8","2017"," ",""
"충청북도 제천시 장락동","1050","1050","0","신안실크밸리 스카이시티","25.77","202011","17","4,997","6","2017"," ",""
"충청북도 제천시 장락동","1050","1050","0","신안실크밸리 스카이시티","25.77","202101","4","4,997","7","2017"," ",""
"충청북도 제천시 장락동","1050","1050","0","신안실크밸리 스카이시티","25.77","202102","3","4,997","6","2017"," ",""
"충청북도 제천시 장락동","1050","1050","0","신안실크밸리 스카이시티","25.77","202102","23","4,997","6","2017"," ",""
"충청북도 제천시 장락동","1050","1050","0","신안실크밸리 스카이시티","25.77","202104","24","6,100","10","2017"," ",""
"충청북도 제천시 장락동","1050","1050","0","신안실크밸리 스카이시티","25.77","202105","3","4,997","10","2017"," ",""
"충청북도 제천시 장락동","1050","1050","0","신안실크밸리 스카이시티","25.77","202106","1","4,997","10","2017"," ",""
"충청북도 제천시 장락동","1050","1050","0","신안실크밸리 스카이시티","41.46","202106","22","8,040","9","2017"," ",""
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","58.11","202109","5","6,250","7","2012","화랑4안길 19","20210928"
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","28.81","202109","5","5,000","7","2012","화랑4안길 19","20210928"
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","58.11","202109","5","6,250","7","2012","화랑4안길 19","20210928"
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","58.11","202109","5","6,250","8","2012","화랑4안길 19","20210928"
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","58.44","202109","5","6,250","8","2012","화랑4안길 19",""
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","58.11","202109","5","6,250","8","2012","화랑4안길 19",""
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","58.11","202109","5","6,250","7","2012","화랑4안길 19",""
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","28.81","202109","5","5,000","7","2012","화랑4안길 19",""
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","58.11","202109","5","6,250","7","2012","화랑4안길 19",""
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","58.11","202109","5","9,500","8","2012","화랑4안길 19","20210916"
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","58.44","202109","5","9,500","8","2012","화랑4안길 19","20210916"
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","58.44","202109","5","6,250","8","2012","화랑4안길 19","20210928"
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","28.81","202109","5","4,500","7","2012","화랑4안길 19","20210916"
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","58.11","202109","5","9,500","7","2012","화랑4안길 19","20210916"
"충청북도 진천군 광혜원면 광혜원리","529-49","529","49","광혜원 주상복합","58.11","202109","5","9,500","7","2012","화랑4안길 19","20210916"
"충청북도 청주상당구 용암동","1612","1612","0","	(1612)	","36.4","202010","12","6,000","3","2008","중흥로 24",""
"충청북도 청주상당구 용암동","1612","1612","0","	(1612)	","38.64","202010","26","6,500","5","2008","중흥로 24",""
"충청북도 청주상당구 용암동","1612","1612","0","	(1612)	","38.64","202106","18","4,200","3","2008","중흥로 24",""
"충청북도 청주상당구 용암동","1612","1612","0","	(1612)	","36.4","202109","3","7,800","9","2008","중흥로 24",""
"충청북도 청주서원구 개신동","436-4","436","4","	(436-4)	","25.65","202012","28","3,000","5","2012","예체로 23",""
"충청북도 청주서원구 개신동","436-4","436","4","	(436-4)	","25.65","202102","16","4,500","5","2012","예체로 23",""
"충청북도 청주서원구 개신동","436-4","436","4","	(436-4)	","25.65","202103","25","4,300","6","2012","예체로 23",""
"충청북도 청주서원구 개신동","436-4","436","4","	(436-4)	","26.22","202105","19","5,500","5","2012","예체로 23",""
"충청북도 청주서원구 개신동","436-4","436","4","	(436-4)	","25.65","202107","8","5,000","7","2012","예체로 23",""
"충청북도 청주서원구 개신동","436-4","436","4","	(436-4)	","24.85","202107","31","5,100","5","2012","예체로 23",""
"충청북도 청주서원구 개신동","709","709","0","	(709)	","33.28","202107","16","6,000","3","2013","복대로17번길 27",""
"충청북도 청주서원구 분평동","1425","1425","0","THE STYLE","35.64","202101","29","5,500","5","2005","1순환로 1059",""
"충청북도 청주서원구 분평동","1425","1425","0","THE STYLE","35.64","202103","30","5,200","4","2005","1순환로 1059",""
"충청북도 청주서원구 분평동","1425","1425","0","THE STYLE","35.64","202109","9","5,000","5","2005","1순환로 1059",""
"충청북도 청주서원구 분평동","1425","1425","0","THE STYLE","35.64","202109","17","5,650","5","2005","1순환로 1059",""
"충청북도 청주서원구 분평동","1425","1425","0","THE STYLE","57.54","202109","27","9,500","3","2005","1순환로 1059",""
"충청북도 청주서원구 사직동","12-12","12","12","	(12-12)	","59.4","202011","26","8,500","2","2011","사운로 65",""
"충청북도 청주서원구 사직동","12-12","12","12","	(12-12)	","56.1","202107","16","11,500","2","2011","사운로 65",""
"충청북도 청주서원구 사직동","12-12","12","12","	(12-12)	","56.1","202107","31","9,100","6","2011","사운로 65",""
"충청북도 청주서원구 사직동","6-90","6","90","주1","63.22","202109","30","29,500","8","2021","사운로74번길 10",""
"충청북도 청주서원구 사직동","6-168","6","168","주1","73.39","202109","30","31,000","6","2021","사운로68번길 9",""
"충청북도 청주서원구 사창동","296-7","296","7","	(296-7)	","49.94","202104","3","8,000","2","2013","내수동로 149",""
"충청북도 청주서원구 사창동","304-1","304","1","사창 하트리움 에덴","58.53","202108","6","12,200","3","2014","사직대로 160",""
"충청북도 청주서원구 사창동","304-1","304","1","사창 하트리움 에덴","59.77","202108","6","13,100","3","2014","사직대로 160",""
"충청북도 청주서원구 성화동","454","454","0","어웰빌리지","59.42","202012","3","13,500","5","2015"," ",""
"충청북도 청주서원구 성화동","454","454","0","어웰빌리지","59.77","202101","26","9,000","2","2015"," ",""
"충청북도 청주서원구 성화동","454","454","0","어웰빌리지","58.15","202101","27","9,000","3","2015"," ",""
"충청북도 청주서원구 성화동","454","454","0","어웰빌리지","59.6","202104","8","12,000","2","2015"," ",""
"충청북도 청주서원구 성화동","454","454","0","어웰빌리지","59.6","202108","16","9,000","3","2015"," ",""
"충청북도 청주서원구 성화동","454","454","0","어웰빌리지","56.61","202108","26","13,000","4","2015"," ",""
"충청북도 청주서원구 성화동","489","489","0","예지웰프라임A동","56.95","202011","10","16,000","6","2015","장전로 89",""
"충청북도 청주서원구 성화동","489","489","0","예지웰프라임A동","57.45","202012","28","16,500","6","2015","장전로 89",""
"충청북도 청주서원구 성화동","489","489","0","예지웰프라임A동","61.25","202104","26","17,000","6","2015","장전로 89",""
"충청북도 청주서원구 성화동","489","489","0","예지웰프라임A동","63.42","202108","20","18,000","2","2015","장전로 89",""
"충청북도 청주서원구 성화동","484","484","0","예지웰프라임B동","57.46","202011","5","12,000","6","2015","신화로32번길 37",""
"충청북도 청주서원구 성화동","484","484","0","예지웰프라임B동","55.22","202011","6","15,500","4","2015","신화로32번길 37",""
